sampleT,,
Wavelength (nm),%T,
850,46.89754868,
848,47.54185867,
846,47.97916031,
844,47.81741333,
842,47.87362671,
840,47.60219193,
838,47.31309891,
836,47.60118103,
834,47.87265778,
832,48.13862228,
830,47.89612961,
828,47.6295166,
826,47.87167358,
824,47.95594025,
822,47.86287689,
820,47.92500687,
818,47.63636017,
816,48.22918701,
814,48.1444397,
812,47.70549774,
810,47.60917664,
808,48.42793274,
806,48.42022705,
804,47.72270584,
802,48.63389587,
800,48.627491,
798,48.38143158,
796,48.23985291,
794,48.5715332,
792,48.31829071,
790,48.39097977,
788,48.27944183,
786,48.22201538,
784,48.36449051,
782,48.25430298,
780,48.25156784,
778,48.59223175,
776,48.56041718,
774,48.51870728,
772,48.49591827,
770,48.63048553,
768,48.69412231,
766,48.68603516,
764,48.99485779,
762,48.77816772,
760,48.89862823,
758,49.16628647,
756,48.9199295,
754,49.03048706,
752,49.13751984,
750,49.01435852,
748,49.1513443,
746,49.30652618,
744,49.20397568,
742,49.28092957,
740,49.30683899,
738,49.32346725,
736,49.44437027,
734,49.44794464,
732,49.41617203,
730,49.57483292,
728,49.41148758,
726,49.59008408,
724,49.7673378,
722,49.81008911,
720,49.84637451,
718,49.79300308,
716,49.75069046,
714,49.88360214,
712,50.02470779,
710,50.12481308,
708,50.25403595,
706,50.00860214,
704,50.20913315,
702,50.26510239,
700,50.44312286,
698,50.38586807,
696,50.57045746,
694,50.59227371,
692,50.69561768,
690,50.75020599,
688,50.9173584,
686,50.77339935,
684,51.12038422,
682,51.11928558,
680,51.26420975,
678,51.3519516,
676,51.24625397,
674,51.39212799,
672,51.66886902,
670,51.54307556,
668,51.66966248,
666,51.69284439,
664,51.83690643,
662,52.00008011,
660,52.07342529,
658,52.16601944,
656,52.09225464,
654,52.22444534,
652,52.36376572,
650,52.31683731,
648,52.70402527,
646,52.64886093,
644,52.78649139,
642,52.91375351,
640,53.04946136,
638,53.12927246,
636,53.28227234,
634,53.44855118,
632,53.40424728,
630,53.63349152,
628,53.6943512,
626,54.00614929,
624,54.0318985,
622,54.09616089,
620,54.24178314,
618,54.44808197,
616,54.33772278,
614,54.55173111,
612,54.69834137,
610,54.80527115,
608,54.96774292,
606,55.07615662,
604,55.16993332,
602,55.30599976,
600,55.32640076,
598,55.52729797,
596,55.65022659,
594,55.69865799,
592,55.90145493,
590,55.94732285,
588,56.18932724,
586,56.18995285,
584,56.46304321,
582,56.50948715,
580,56.68400574,
578,56.66983032,
576,56.81628418,
574,56.89854431,
572,57.15197372,
570,57.13030624,
568,57.33184814,
566,57.40542984,
564,57.4520874,
562,57.61831284,
560,57.81533051,
558,57.95970154,
556,58.05754089,
554,58.14862061,
552,58.16390991,
550,58.37739182,
548,58.44823074,
546,58.46391296,
544,58.66237259,
542,58.7636528,
540,58.86636353,
538,58.93217468,
536,59.00837326,
534,59.03468323,
532,59.17693329,
530,59.29700089,
528,59.45938873,
526,59.37914276,
524,59.46040344,
522,59.68845367,
520,59.71997452,
518,59.8468895,
516,59.90120316,
514,59.96479416,
512,60.12078476,
510,60.21103668,
508,60.28717041,
506,60.44666672,
504,60.42702103,
502,60.62804031,
500,60.59114456,
498,60.81847382,
496,60.75680923,
494,60.89454269,
492,61.07390976,
490,61.11348343,
488,61.29431915,
486,61.52465439,
484,61.65018845,
482,61.76387787,
480,61.86928177,
478,62.0716095,
476,62.04653549,
474,62.21845245,
472,62.38707352,
470,62.60452271,
468,62.91588593,
466,62.79211807,
464,62.80534363,
462,63.34295273,
460,63.47128296,
458,63.56139374,
456,63.94044876,
454,64.04348755,
452,64.5812149,
450,64.89104462,
448,64.8904953,
446,65.07299805,
444,65.33403778,
442,65.54498291,
440,66.06814575,
438,66.25231171,
436,66.39458466,
434,66.67959595,
432,67.23149109,
430,67.38293457,
428,67.74391174,
426,67.80423737,
424,68.40647888,
422,68.79655457,
420,69.09503937,
418,69.35894012,
416,69.67229462,
414,69.7453537,
412,70.20251465,
410,70.43852997,
408,70.90506744,
406,71.11898041,
404,71.14675903,
402,71.67103577,
400,72.39331818,
398,72.25740814,
396,72.98069763,
394,73.09957123,
392,72.99547577,
390,73.23973083,
388,72.95928955,
386,72.49345398,
384,72.95171356,
382,74.06645203,
380,74.51119995,
378,74.35694885,
376,74.5287323,
374,75.03437042,
372,74.85198975,
370,74.9197998,
368,73.64857483,
366,72.79870605,
364,74.31251526,
362,75.2088623,
360,73.51329041,
358,72.67121887,
356,72.2843399,
354,71.28340149,
352,71.63951874,
350,70.25973511,

