sampleR,,
Wavelength (nm),%R,
850,53.63256836,
848,53.1638031,
846,52.90095901,
844,53.02264023,
842,52.85435867,
840,52.55266953,
838,52.02996063,
836,52.36991501,
834,51.96021652,
832,52.2766304,
830,51.70956802,
828,52.30360031,
826,52.14875793,
824,51.32776642,
822,50.58455658,
820,51.62460709,
818,51.12085342,
816,50.60649109,
814,50.74178696,
812,50.90870285,
810,51.00131607,
808,50.55568314,
806,50.33121872,
804,50.95396805,
802,50.4332962,
800,49.63311005,
798,50.00624084,
796,50.19992065,
794,49.75732803,
792,49.61735153,
790,49.07092667,
788,48.96629715,
786,49.33631897,
784,49.11293411,
782,48.67287445,
780,48.80230713,
778,48.39594269,
776,48.20234299,
774,48.33140945,
772,48.07743454,
770,47.84541702,
768,47.94955063,
766,47.54274368,
764,47.70499039,
762,47.56187057,
760,47.34529114,
758,47.08369827,
756,46.95028687,
754,47.01082611,
752,46.80360413,
750,46.67163467,
748,46.62052536,
746,46.33723831,
744,46.20822525,
742,46.21991348,
740,45.86337662,
738,45.93487549,
736,45.5882988,
734,45.60224533,
732,45.17575836,
730,45.32281876,
728,45.01560974,
726,44.93855667,
724,44.90314865,
722,44.56920624,
720,44.49085617,
718,44.43730164,
716,44.13118362,
714,43.90727615,
712,43.87352753,
710,43.95359421,
708,43.61436081,
706,43.26395035,
704,43.27804565,
702,43.1117897,
700,42.84118271,
698,42.90969467,
696,42.54323578,
694,42.53418732,
692,42.31778336,
690,42.12699509,
688,42.11087418,
686,41.80441284,
684,41.72412872,
682,41.51608276,
680,41.47358704,
678,41.11715317,
676,41.00613403,
674,40.96022797,
672,40.76970291,
670,40.52223969,
668,40.39151001,
666,40.10778809,
664,40.00330734,
662,40.02036285,
660,39.7720871,
658,39.69403458,
656,39.46096039,
654,39.18463516,
652,39.06681442,
650,38.83845901,
648,38.71714401,
646,38.56327438,
644,38.35036087,
642,38.26450729,
640,37.97978592,
638,37.82083511,
636,37.74744415,
634,37.44665909,
632,37.27827835,
630,37.1507225,
628,37.13459015,
626,36.82674789,
624,36.63382721,
622,36.42679596,
620,36.28232574,
618,36.1408844,
616,35.8543663,
614,35.7747345,
612,35.57587051,
610,35.37461853,
608,35.13747025,
606,35.0969429,
604,34.90084076,
602,34.7070694,
600,34.52732468,
598,34.33723831,
596,34.12228394,
594,33.93402863,
592,33.85469055,
590,33.58520889,
588,33.49495697,
586,33.27922058,
584,33.08669281,
582,32.86080551,
580,32.68800354,
578,32.54455185,
576,32.36985016,
574,32.17403793,
572,32.02975464,
570,31.72104263,
568,31.60721588,
566,31.46237183,
564,31.27594566,
562,31.03278351,
560,30.76385498,
558,30.73271751,
556,30.53990555,
554,30.24704361,
552,30.06096458,
550,29.96543694,
548,29.74277687,
546,29.51313019,
544,29.42102623,
542,29.22773933,
540,29.01078987,
538,28.79716492,
536,28.67769241,
534,28.41194534,
532,28.24311829,
530,28.11122513,
528,27.86112785,
526,27.69100952,
524,27.55013657,
522,27.34573555,
520,27.05814743,
518,26.88667679,
516,26.70867157,
514,26.55952263,
512,26.33739471,
510,26.19025421,
508,26.05061531,
506,25.78157234,
504,25.53400612,
502,25.31921768,
500,25.30835915,
498,25.01544952,
496,24.90005112,
494,24.71946144,
492,24.42005539,
490,24.33080482,
488,24.33679771,
486,24.07999802,
484,23.79095078,
482,23.56427956,
480,23.42891312,
478,23.31454659,
476,23.0174408,
474,22.82824326,
472,22.77315521,
470,22.65776634,
468,22.55341339,
466,22.42009926,
464,22.15272903,
462,22.03558731,
460,21.84022141,
458,21.62081718,
456,21.52348518,
454,21.19363022,
452,21.35897064,
450,21.03057098,
448,21.06396484,
446,20.62750244,
444,20.58911133,
442,20.47787666,
440,20.24686432,
438,19.92471695,
436,19.87723541,
434,19.86877632,
432,19.79778671,
430,19.4398365,
428,19.30541801,
426,19.23203278,
424,19.26148605,
422,19.22590065,
420,18.81840134,
418,18.36542892,
416,18.19203377,
414,18.51000786,
412,18.25675583,
410,17.77784538,
408,17.93685913,
406,17.89698219,
404,17.50073814,
402,17.57692909,
400,17.33401871,
398,17.70490456,
396,17.14971542,
394,16.83267403,
392,16.42169189,
390,16.03793526,
388,16.86410522,
386,15.85041428,
384,15.69834328,
382,16.49162483,
380,16.86886978,
378,17.13328743,
376,16.0052433,
374,15.80381203,
372,15.25053406,
370,15.1216774,
368,15.51418877,
366,15.03619957,
364,14.23742771,
362,17.07660484,
360,13.88236141,
358,15.30686951,
356,16.44803429,
354,15.25451088,
352,13.90306664,
350,15.37685585,

