sample4R,,sample4R2,,
Wavelength (nm),%R,Wavelength (nm),%R,
800,18.89240456,800,18.76626015,
798,18.83630562,798,18.79143906,
796,18.83036041,796,18.80468941,
794,18.84567833,794,18.72070694,
792,18.7926445,792,18.7286377,
790,18.8059845,790,18.74259949,
788,18.72574615,788,18.69470596,
786,18.71434021,786,18.68444443,
784,18.73217392,784,18.67916679,
782,18.62574005,782,18.61909103,
780,18.66598129,780,18.64719582,
778,18.6300087,778,18.6308136,
776,18.60054588,776,18.55934334,
774,18.57151222,774,18.5258503,
772,18.64157867,772,18.56308365,
770,18.58095169,770,18.52131081,
768,18.55898285,768,18.51448059,
766,18.53220177,766,18.51638794,
764,18.50441933,764,18.46396446,
762,18.51211166,762,18.50059128,
760,18.47450638,760,18.43420792,
758,18.47867966,758,18.43486977,
756,18.44645882,756,18.3834362,
754,18.43240738,754,18.34699631,
752,18.34989548,752,18.29438591,
750,18.36849213,750,18.31320953,
748,18.36115074,748,18.31433678,
746,18.31737328,746,18.24427032,
744,18.27224541,744,18.24398994,
742,18.31987762,742,18.23467636,
740,18.27330208,740,18.20625877,
738,18.27702904,738,18.20661354,
736,18.15996552,736,18.09112358,
734,18.14343834,734,18.08579254,
732,18.12801933,732,18.05939674,
730,18.11235046,730,18.03431892,
728,18.09640503,728,18.03013229,
726,18.06373596,726,17.9790802,
724,18.04410553,724,18.01238441,
722,17.99931717,722,17.96034241,
720,18.00711823,720,17.92533302,
718,17.98954964,718,19.04016113,
716,18.38968849,716,18.57114601,
714,17.49246407,714,17.42223358,
712,18.18053055,712,17.73072243,
710,17.59464073,710,18.17806435,
708,18.098526,708,18.36641502,
706,17.36861801,706,17.31011963,
704,18.00719643,704,17.7881813,
702,18.15946579,702,18.17066765,
700,17.89153671,700,17.65452385,
698,17.39250183,698,17.36456871,
696,17.74803925,696,17.80023956,
694,18.04449463,694,17.57504654,
692,17.89606667,692,17.53157616,
690,17.54788017,690,17.1356945,
688,17.56883049,688,17.26052094,
686,17.33382607,686,17.53457642,
684,17.32444191,684,16.94258118,
682,17.86541557,682,17.36122322,
680,17.54095459,680,17.73536301,
678,17.31966019,678,17.317276,
676,17.25683594,676,17.10753059,
674,17.32010841,674,17.42306709,
672,17.01220131,672,17.11533928,
670,16.83372879,670,17.20025635,
668,16.77527618,668,17.51471138,
666,17.3762989,666,17.15995598,
664,17.11047363,664,16.63386154,
662,16.61834526,662,16.70768929,
660,16.87160873,660,17.01135826,
658,17.20410919,658,17.08113861,
656,17.12555504,656,16.90625381,
654,17.11436272,654,16.83687592,
652,17.16640091,652,17.15087509,
650,16.79552078,650,17.20577049,
648,16.78658485,648,16.62911034,
646,16.69795799,646,16.76668549,
644,16.39683151,644,16.84841156,
