sample4T,,
Wavelength (nm),%T,
800,62.76702118,
798,62.78273392,
796,62.93567276,
794,62.99828339,
792,62.97323608,
790,63.1571579,
788,63.16287994,
786,63.30881882,
784,63.36308289,
782,63.44086075,
780,63.42301178,
778,63.55534744,
776,63.64101791,
774,63.74369431,
772,63.82200623,
770,63.85160828,
768,63.95896149,
766,64.02089691,
764,64.11195374,
762,64.20339203,
760,64.29085541,
758,64.39332581,
756,64.48324585,
754,64.57233429,
752,64.66005707,
750,64.75818634,
748,64.87369537,
746,64.96407318,
744,65.07258606,
742,65.18367004,
740,65.27623749,
738,65.413414,
736,65.48643494,
734,65.56193542,
732,65.69283295,
730,65.79272461,
728,65.90925598,
726,65.99008179,
724,66.08695221,
722,66.2199707,
720,66.39413452,
718,66.66492462,
716,67.40385437,
714,66.73768616,
712,66.3992691,
710,66.64331818,
708,66.74380493,
706,66.61154938,
704,67.133255,
702,67.37210083,
700,67.40299225,
698,67.57701874,
696,67.82460022,
694,68.07292175,
692,68.16657257,
690,68.72248077,
688,68.57956696,
686,68.34281158,
684,68.84037018,
682,68.81043243,
680,69.36782837,
678,69.4526825,
676,68.51836395,
674,69.34078979,
672,69.11706543,
670,69.80809784,
668,69.72870636,
666,70.0114975,
664,70.44539642,
662,70.40280151,
660,70.13785553,
658,70.44313812,
656,70.57692719,
654,70.64274597,
652,71.38467407,
650,71.42131805,
648,71.3854599,
646,71.23188019,
644,71.94683838,
642,71.24840546,
640,71.6958847,
638,71.7073822,
636,72.41768646,
634,72.14720917,
632,72.31724548,
630,72.91937256,
628,72.37735748,
626,73.00032806,
624,72.91371155,
622,73.37018585,
620,73.35111237,
618,73.5925827,
616,74.16824341,
614,74.05454254,
612,73.55716705,
610,74.47397614,
608,74.28701782,
606,74.2912674,
604,74.85214996,
602,74.76609039,
600,74.66094208,
598,75.00144958,
596,75.25705719,
594,75.5161972,
592,75.92149353,
590,76.03282166,
588,75.89096069,
586,76.13450623,
584,75.98273468,
582,76.34870911,
580,76.22911835,
578,76.79980469,
576,76.60121918,
574,76.59741974,
572,76.77293396,
570,77.02285767,
568,77.29380798,
566,77.66703033,
564,77.80640411,
562,77.8319931,
560,78.03559113,
558,77.58128357,
556,77.89932251,
554,78.24142456,
552,78.46212006,
550,78.72457886,
548,78.8457489,
546,78.87585449,
544,79.41389465,
542,79.36253357,
540,79.37506866,
538,79.65920258,
536,79.8174057,
534,79.24539185,
532,79.57633972,
530,80.07219696,
528,80.6556015,
526,80.38690948,
524,80.74987793,
522,80.82338715,
520,80.77033997,
518,80.85138702,
516,81.46755219,
514,81.07570648,
512,80.9681015,
510,81.2263031,
508,81.49852753,
506,81.53504944,
504,81.54998779,
502,81.54879761,
500,81.786026,
498,82.03279877,
496,82.02358246,
494,82.30505371,
492,82.92839813,
490,81.93300629,
488,82.79548645,
486,82.78897858,
484,82.49602509,
482,83.30177307,
480,83.08080292,
478,82.97741699,
476,83.39331818,
474,83.65795898,
472,83.05706024,
470,83.47014618,
468,83.31760406,
466,83.39427185,
464,83.33745575,
462,83.52174377,
460,83.88616943,
458,84.23806,
456,84.64328003,
454,83.98061371,
452,84.93408203,
450,84.4540329,
448,84.75320435,
446,84.50569916,
444,83.87650299,
442,84.56213379,
440,84.54154968,
438,85.55283356,
436,85.07413483,
434,84.94546509,
432,85.28791046,
430,86.44474792,
428,85.28225708,
426,85.51022339,
424,86.6707077,
422,84.98381042,
420,84.75205994,
418,87.17295074,
416,86.69217682,
414,87.36171722,
412,85.73876953,
410,85.52263641,
408,89.05698395,
406,88.31377411,
404,86.75741577,
402,89.17893219,
400,89.45831299,
398,88.31874084,
396,88.34880829,
394,91.11235046,
392,90.63943481,
390,93.03132629,
388,92.31794739,
386,92.03780365,
384,89.50745392,
382,98.32740784,
380,98.51706696,
378,98.97849274,
376,99.28218842,
374,92.99260712,
372,93.10446167,
370,101.2044754,
368,103.2133713,
366,87.44678497,
364,94.12005615,
362,100.0906601,
360,101.3210297,
358,99.04312134,
356,93.58241272,
354,104.3964157,
352,95.00701141,
350,105.1948547,
348,105.3496933,
346,107.1789474,
344,128.7645416,
342,131.3959503,
340,172.1113434,
338,124.9261703,
336,102.0831833,
334,134.6057281,
332,119.56987,
330,137.3800812,
328,138.3996429,
326,146.8299255,
324,347.4810181,
322,164.2330475,
320,180.5833282,
318,453.2337646,
316,228.1124115,
314,212.2937012,
312,195.0981445,
310,193.1807861,
308,75.11598969,
306,164.9732056,
304,216.6769714,
302,175.7111053,
300,483.2549438,

