sample5R,,
Wavelength (nm),%R,
800,26.32145309,
798,26.25430298,
796,26.17510223,
794,26.09960747,
792,26.00374794,
790,25.97755241,
788,25.85263252,
786,25.78743744,
784,25.71789932,
782,25.63266754,
780,25.54832077,
778,25.46204376,
776,25.36661911,
774,25.2953434,
772,25.25195503,
770,25.13959694,
768,25.06150246,
766,25.00373077,
764,24.90447044,
762,24.85692596,
760,24.76241684,
758,24.70157242,
756,24.60206795,
754,24.50881958,
752,24.42508888,
750,24.34717941,
748,24.27866554,
746,24.21808624,
744,24.12397766,
742,24.02822304,
740,23.98487854,
738,23.91566277,
736,23.77975655,
734,23.71302986,
732,23.61830902,
730,23.54161453,
728,23.4741993,
726,23.38692856,
724,23.32179451,
722,23.24932671,
720,23.19439125,
718,23.6179657,
716,23.69709778,
714,22.92782974,
712,23.16423607,
710,23.26718521,
708,23.25126266,
706,22.7972908,
704,22.93134689,
702,23.05371857,
700,22.72414589,
698,22.3677578,
696,22.8070488,
694,22.81130028,
692,22.514328,
690,22.44895935,
688,22.45549202,
686,22.11192894,
684,22.08635902,
682,22.26730537,
680,22.30486298,
678,21.96834183,
676,21.94564247,
674,21.9113884,
672,21.20721245,
670,21.01765251,
668,21.22079659,
666,21.2917881,
664,20.82507324,
662,20.95269775,
660,21.03382683,
658,21.17445564,
656,20.96162033,
654,20.87602234,
652,21.01895332,
650,20.76070404,
648,20.4683857,
646,20.17611504,
644,20.45970917,
642,20.22962952,
640,19.94770432,
638,19.89487648,
636,19.6731987,
634,19.65752602,
632,19.62557602,
630,19.91788292,
628,19.96071434,
626,19.99642944,
624,19.86917305,
622,19.46372032,
620,19.63832283,
618,19.70015526,
616,19.63866997,
614,19.38551903,
612,18.92478371,
610,19.48439789,
608,19.3235302,
606,18.83665848,
604,19.29814148,
602,18.83635139,
600,18.75727654,
598,18.65543556,
596,19.04868126,
594,18.90814972,
592,18.83684158,
590,18.62594414,
588,18.46877861,
586,18.35414124,
584,18.20376587,
582,18.13405228,
580,18.21651077,
578,18.01228333,
576,17.90420151,
574,17.68062592,
572,17.76536942,
570,17.31964874,
568,17.36802101,
566,17.40821838,
564,17.48640251,
562,17.31934929,
560,17.04051399,
558,17.07276917,
556,16.90596771,
554,16.97576714,
552,16.81832695,
550,16.79449463,
548,16.8257885,
546,16.7472477,
544,16.90726471,
542,16.84713745,
540,17.14115334,
538,16.78790092,
536,16.80633736,
534,16.5182724,
532,16.87722969,
530,16.52482796,
528,16.64794731,
526,16.33266449,
524,16.6701622,
522,16.35787582,
520,16.35784149,
518,16.38540268,
516,16.1880722,
514,16.06647491,
512,15.82692432,
510,15.99311543,
508,16.22801781,
506,16.18460655,
504,15.79456329,
502,15.97213745,
500,15.80608463,
498,16.06554413,
496,16.09433365,
494,16.03684425,
492,16.33677101,
490,15.74202919,
488,15.2221899,
486,16.25060463,
484,15.90860081,
482,16.15561867,
480,15.86118603,
478,16.26002312,
476,16.41187668,
474,15.9291296,
472,16.01675797,
470,15.89918423,
468,15.7345953,
466,15.71344471,
464,15.76492023,
462,15.7377882,
460,16.14940834,
458,16.50949669,
456,15.76005554,
454,15.83385658,
452,16.45107079,
450,16.56455612,
448,16.33771896,
446,16.14952469,
444,15.36914253,
442,15.91006947,
440,16.76924706,
438,16.65403175,
436,16.67354202,
434,15.50376606,
432,15.87007618,
430,15.38131237,
428,16.61541367,
426,17.08219147,
424,15.48814774,
422,18.07565308,
420,16.35869217,
418,16.21177864,
416,16.15517235,
414,17.46603584,
412,17.32335472,
410,17.05428886,
408,18.24148941,
406,17.57236481,
404,17.01189232,
402,16.1172142,
400,18.69841576,
398,17.93238449,
396,16.63547707,
394,19.6029129,
392,19.21976662,
390,19.34367752,
388,19.72694588,
386,20.67379951,
384,20.20968437,
382,24.55060577,
380,21.28053093,
378,25.56926346,
376,26.05774689,
374,20.24633026,
372,23.04843903,
370,29.38436508,
368,34.23981857,
366,32.4910202,
364,31.66963768,
362,37.5701828,
360,44.90384674,
358,39.05735397,
356,39.63731384,
354,46.83502197,
352,43.95607758,
350,43.41586685,
348,62.29190063,
346,67.32214355,
344,63.72665787,
342,68.64298248,
340,88.92671967,
338,80.92282104,
336,79.16136169,
334,85.17501068,
332,95.97143555,
330,101.9507141,
328,85.85663605,
326,95.06372833,
324,155.925827,
322,110.4301224,
320,140.8198853,
318,369.6163635,
316,84.89318848,
314,141.1270294,
312,129.3729401,
310,120.9081879,
308,65.04679871,
306,114.3784637,
304,146.158844,
302,180.1291046,
300,331.0582275,
