wavelength_nm,HATCN5_Ag4_T_pct,HATCN5_Ag4_Rmeas_pct,HATCN5_Ag4_Rcorr_pct,HATCN5_Ag4_A_pct,HATCN5_Ag5_T_pct,HATCN5_Ag5_Rmeas_pct,HATCN5_Ag5_Rcorr_pct,HATCN5_Ag5_A_pct,HATCN5_Ag6_T_pct,HATCN5_Ag6_Rmeas_pct,HATCN5_Ag6_Rcorr_pct,HATCN5_Ag6_A_pct,HATCN5_Ag7_T_pct,HATCN5_Ag7_Rmeas_pct,HATCN5_Ag7_Rcorr_pct,HATCN5_Ag7_A_pct,HATCN5_Ag8_T_pct,HATCN5_Ag8_Rmeas_pct,HATCN5_Ag8_Rcorr_pct,HATCN5_Ag8_A_pct,HATCN5_Ag10_T_pct,HATCN5_Ag10_Rmeas_pct,HATCN5_Ag10_Rcorr_pct,HATCN5_Ag10_A_pct,HATCN5_Ag12_T_pct,HATCN5_Ag12_Rmeas_pct,HATCN5_Ag12_Rcorr_pct,HATCN5_Ag12_A_pct,MoOx5_bare_T_pct,MoOx5_bare_Rmeas_pct,MoOx5_bare_Rcorr_pct,MoOx5_bare_A_pct,MoOx5_Ag4_T_pct,MoOx5_Ag4_Rmeas_pct,MoOx5_Ag4_Rcorr_pct,MoOx5_Ag4_A_pct,MoOx5_Ag5_T_pct,MoOx5_Ag5_Rmeas_pct,MoOx5_Ag5_Rcorr_pct,MoOx5_Ag5_A_pct,MoOx5_Ag6_T_pct,MoOx5_Ag6_Rmeas_pct,MoOx5_Ag6_Rcorr_pct,MoOx5_Ag6_A_pct,MoOx5_Ag7_T_pct,MoOx5_Ag7_Rmeas_pct,MoOx5_Ag7_Rcorr_pct,MoOx5_Ag7_A_pct,MoOx5_Ag8_T_pct,MoOx5_Ag8_Rmeas_pct,MoOx5_Ag8_Rcorr_pct,MoOx5_Ag8_A_pct,MoOx5_Ag10_T_pct,MoOx5_Ag10_Rmeas_pct,MoOx5_Ag10_Rcorr_pct,MoOx5_Ag10_A_pct,MoOx5_Ag12_T_pct,MoOx5_Ag12_Rmeas_pct,MoOx5_Ag12_Rcorr_pct,MoOx5_Ag12_A_pct
850,57.4360,19.6047,19.8302,22.7338,59.7473,25.8595,26.1036,14.1492,58.1212,30.1396,30.3705,11.5083,52.9713,39.5196,39.7115,7.3172,45.3587,46.9479,47.0885,7.5527,39.5999,53.6326,53.7398,6.6604,30.3284,63.6517,63.7146,5.9570,,,,,61.5234,14.0798,14.3385,24.1380,61.0605,14.8940,15.1489,23.7906,60.1905,17.0161,17.2638,22.5457,60.2281,24.1993,24.4472,15.3247,46.8975,31.3300,31.4804,21.6220,41.4082,39.6813,39.7985,18.7933,,,,
848,57.5433,19.4756,19.7020,22.7548,59.8248,25.7105,25.9552,14.2200,58.5056,29.9581,30.1922,11.3022,53.0340,39.1106,39.3029,7.6631,45.7182,47.3429,47.4858,6.7959,39.5421,53.1638,53.2707,7.1872,29.6458,63.7490,63.8091,6.5450,,,,,61.5028,13.5904,13.8490,24.6482,60.8553,14.8519,15.1051,24.0397,59.9101,17.0147,17.2601,22.8298,60.5269,24.0305,24.2810,15.1921,47.5419,31.1515,31.3060,21.1521,41.2904,39.5505,39.6671,19.0425,,,,
846,57.4561,19.7878,20.0135,22.5304,59.5997,25.6973,25.9402,14.4601,58.3008,29.9099,30.1423,11.5568,52.7349,38.9638,39.1539,8.1112,45.5100,46.9912,47.1328,7.3572,39.8505,52.9010,53.0095,7.1399,30.4588,63.3879,63.4513,6.0899,,,,,61.7683,13.7196,13.9805,24.2512,61.0421,14.9552,15.2099,23.7479,60.7587,16.9746,17.2270,22.0144,60.5794,24.1499,24.4008,15.0198,47.9792,30.6495,30.8069,21.2139,41.7012,39.6532,39.7721,18.5266,,,,
844,57.6354,19.6788,19.9060,22.4586,60.1584,25.7277,25.9752,13.8664,58.5247,30.1451,30.3793,11.0960,53.5005,39.4237,39.6194,6.8801,46.4392,46.8369,46.9844,6.5765,40.0253,53.0226,53.1322,6.8425,30.5820,63.4650,63.5289,5.8890,,,,,61.7537,13.9236,14.1844,24.0619,61.0092,15.2940,15.5485,23.4423,60.3688,17.2714,17.5206,22.1107,60.1139,23.8837,24.1308,15.7552,47.8174,30.9880,31.1444,21.0382,41.6712,39.5059,39.6247,18.7041,,,,
842,57.6784,19.3798,19.6073,22.7143,60.4259,25.7468,25.9965,13.5776,58.5595,29.8157,30.0502,11.3903,53.6454,38.7075,38.9043,7.4503,45.8832,46.8992,47.0432,7.0737,40.0178,52.8544,52.9639,7.0183,31.0950,63.0845,63.1506,5.7544,,,,,62.0294,14.1969,14.4600,23.5106,60.8967,15.1131,15.3667,23.7366,60.3467,17.1437,17.3928,22.2605,60.3017,24.2676,24.5163,15.1820,47.8736,30.8188,30.9755,21.1509,41.7256,39.2867,39.4058,18.8686,,,,
840,57.5528,19.9184,20.1449,22.3022,60.2950,25.5368,25.7854,13.9195,58.8419,29.7930,30.0298,11.1282,53.4534,38.4916,38.6870,7.8596,45.7869,46.6096,46.7530,7.4601,40.5778,52.5527,52.6653,6.7569,30.2837,63.1238,63.1865,6.5298,,,,,61.8686,13.8230,14.0848,24.0466,61.1063,15.3471,15.6025,23.2913,60.2085,17.2546,17.5025,22.2890,60.3677,23.9722,24.2214,15.4109,47.6022,30.4730,30.6280,21.7698,41.6325,39.0223,39.1409,19.2266,,,,
838,57.3569,19.3884,19.6134,23.0298,59.9480,25.2623,25.5081,14.5439,58.3251,29.3903,29.6229,12.0520,53.0765,38.0719,38.2646,8.6589,45.4796,45.7766,45.9181,8.6023,40.1097,52.0300,52.1400,7.7503,30.6570,63.3639,63.4282,5.9149,,,,,60.6098,13.7005,13.9517,25.4385,60.9302,14.9094,15.1633,23.9065,60.2033,17.1006,17.3485,22.4483,60.2065,24.5550,24.8030,14.9905,47.3131,30.9220,31.0751,21.6118,42.3784,38.6217,38.7445,18.8771,,,,
836,57.5322,19.3507,19.5771,22.8907,60.1575,25.5694,25.8169,14.0256,58.6271,28.9503,29.1854,12.1874,53.4787,38.5216,38.7172,7.8041,45.7862,46.7416,46.8850,7.3288,40.6724,52.3699,52.4831,6.8446,30.5450,62.7633,62.8271,6.6279,,,,,61.5199,13.9864,14.2453,24.2348,60.9859,14.9656,15.2200,23.7940,59.9602,17.1768,17.4227,22.6171,60.4207,23.8830,24.1328,15.4466,47.6012,30.7894,30.9444,21.4544,42.3145,38.8543,38.9768,18.7087,,,,
834,57.6388,19.3015,19.5287,22.8324,60.3025,25.5623,25.8110,13.8865,58.7009,29.2021,29.4379,11.8613,53.5223,38.3231,38.5191,7.9586,46.0050,45.9500,46.0948,7.9003,39.8198,51.9602,52.0687,8.1115,30.8424,62.2172,62.2823,6.8753,,,,,61.3692,13.8322,14.0898,24.5410,60.9189,15.0454,15.2993,23.7819,60.3605,16.5749,16.8241,22.8153,60.9142,23.5744,23.8283,15.2575,47.8727,30.5518,30.7086,21.4188,42.2723,38.4278,38.5501,19.1776,,,,
832,57.6455,20.2105,20.4379,21.9166,60.2865,25.0887,25.3374,14.3762,58.9352,29.5039,29.7415,11.3233,53.5650,38.0835,38.2798,8.1552,46.1728,46.0628,46.2086,7.6186,40.5882,52.2766,52.3893,7.0225,31.4053,62.5642,62.6317,5.9630,,,,,61.4804,13.8993,14.1579,24.3617,61.1647,14.8428,15.0987,23.7365,60.1865,16.3415,16.5894,23.2241,60.5460,23.9126,24.1634,15.2905,48.1386,30.3329,30.4915,21.3699,41.6509,38.8106,38.9293,19.4198,,,,
830,57.5491,19.4582,19.6848,22.7661,60.4132,25.3469,25.5966,13.9902,58.9586,29.1181,29.3560,11.6854,53.7422,37.5418,37.7394,8.5184,46.0637,46.2894,46.4345,7.5017,40.5312,51.7096,51.8220,7.6469,30.9543,62.4299,62.4954,6.5503,,,,,61.2038,13.5172,13.7735,25.0227,61.1399,14.7465,15.0023,23.8578,59.9901,17.1308,17.3770,22.6329,60.7264,23.9784,24.2307,15.0429,47.8961,30.8879,31.0449,21.0590,42.3619,38.3329,38.4557,19.1824,,,,
