sample7R1,,
Wavelength (nm),%T,
850,61.52341843,
848,61.50283813,
846,61.76833344,
844,61.753685,
842,62.02942276,
840,61.86862564,
838,60.60977554,
836,61.51990128,
834,61.36921692,
832,61.48043823,
830,61.20383072,
828,61.79824448,
826,61.47390747,
824,61.45542908,
822,61.49499512,
820,61.04814911,
818,62.22010422,
816,61.28449249,
814,61.32973862,
812,61.78101349,
810,61.74411011,
808,61.73293686,
806,61.26552963,
804,60.99636459,
802,61.15315628,
800,60.67422104,
798,61.0908432,
796,60.7015686,
794,60.79987717,
792,61.16829681,
790,60.981987,
788,60.81666183,
786,61.36473846,
784,61.05567932,
782,61.02659225,
780,61.07625961,
778,61.06070328,
776,61.34365845,
774,60.78969193,
772,60.9313736,
770,60.87986755,
768,60.7780571,
766,60.68737411,
764,60.77542114,
762,60.78158569,
760,60.67802429,
758,60.67102432,
756,60.55302048,
754,60.81964874,
752,60.9150238,
750,60.64725494,
748,60.71021652,
746,60.30880737,
744,60.28439331,
742,60.3922081,
740,60.51098251,
738,60.30398178,
736,60.12975693,
734,60.24022675,
732,60.15101624,
730,60.01225662,
728,59.88508606,
726,60.01206589,
724,59.97872162,
722,59.74890137,
720,59.74369049,
718,60.02910233,
716,59.77690887,
714,59.61037827,
712,59.65979004,
710,59.59589386,
708,59.51602936,
706,59.56796265,
704,59.33174896,
702,59.22800827,
700,59.19308472,
698,59.24928665,
696,59.16825485,
694,59.03949738,
692,58.80830383,
690,58.93226242,
688,58.76926804,
686,58.69547272,
684,58.61933136,
682,58.68907166,
680,58.39635849,
678,58.42015839,
676,58.41965103,
674,58.19174576,
672,58.21344376,
670,58.05143738,
668,58.06610107,
666,57.80569458,
664,57.73884583,
662,57.81235504,
660,57.61041641,
658,57.66033936,
656,57.39551163,
654,57.38095474,
652,57.28822327,
650,57.36991882,
648,57.26655579,
646,57.05460358,
644,57.02167892,
642,56.95136642,
640,56.83897018,
638,56.72810745,
636,56.65262985,
634,56.71043396,
632,56.61122894,
630,56.49049759,
628,56.42879105,
626,56.28538132,
624,56.30908203,
622,56.1294899,
620,56.15368652,
618,56.06934357,
616,56.06146622,
614,55.92301559,
612,55.86582947,
610,55.90924072,
608,55.80729294,
606,55.72447205,
604,55.88592148,
602,55.65555191,
600,55.5610199,
598,55.5815506,
596,55.47855377,
594,55.40192032,
592,55.45618057,
590,55.44423294,
588,55.39339066,
586,55.23228455,
584,55.31021881,
582,55.38849258,
580,55.26698303,
578,55.31074905,
576,55.41958237,
574,55.26531219,
572,55.3324585,
570,55.33871078,
568,55.31000519,
566,55.43799591,
564,55.38251495,
562,55.39994812,
560,55.5245285,
558,55.5547905,
556,55.47952652,
554,55.68562698,
552,55.61406708,
550,55.73160553,
548,55.92546463,
546,55.80878448,
544,55.96578598,
542,56.05400085,
540,55.98849106,
538,56.10936737,
536,56.21298981,
534,56.34733582,
532,56.35235977,
530,56.55083084,
528,56.76091385,
526,56.85949326,
524,56.86582184,
522,57.09105682,
520,57.22902298,
518,57.32913208,
516,57.47714233,
514,57.69050217,
512,57.7481041,
510,57.98026276,
508,58.01329803,
506,58.35878754,
504,58.44997025,
502,58.70425034,
500,58.94467163,
498,59.10308838,
496,59.16273117,
494,59.42574692,
492,59.80387878,
490,59.84656906,
488,60.28896713,
486,60.47292328,
484,60.6751976,
482,60.86171722,
480,61.08348846,
478,61.5848465,
476,61.61974716,
474,61.8925972,
472,62.21774673,
470,62.20419312,
468,62.61634827,
466,62.88035583,
464,63.46207809,
462,63.62408829,
460,63.77164841,
458,63.88705826,
456,64.35784149,
454,64.83647156,
452,65.47367859,
450,65.58097839,
448,65.56546021,
446,65.97108459,
444,66.28395081,
442,66.74201202,
440,67.06256104,
438,67.27827454,
436,67.88195038,
434,68.22904968,
432,68.3418808,
430,68.61348724,
428,68.90843964,
426,69.24552155,
424,69.92780304,
422,69.96855927,
420,70.0258255,
418,70.48423004,
416,70.92076874,
414,71.1195755,
412,71.50621033,
410,71.62844849,
408,72.05886078,
406,72.6975174,
404,72.74589539,
402,73.17215729,
400,73.3897934,
398,73.42208862,
396,73.21465302,
394,73.85187531,
392,73.30879211,
390,73.66336823,
388,74.71578979,
386,74.31475067,
384,73.61135864,
382,73.85680389,
380,73.90753937,
378,74.12725067,
376,72.32202911,
374,73.5604248,
372,72.95336151,
370,74.28942871,
368,74.02523041,
366,72.95079803,
364,72.6587677,
362,72.49520111,
360,73.94237518,
358,71.17219543,
356,72.15289307,
354,68.89686584,
352,71.13454437,
350,70.27536774,

