sample3T,,
Wavelength (nm),%T,
850,61.06046295,
848,60.85526276,
846,61.04214096,
844,61.00919342,
842,60.89670563,
840,61.10628128,
838,60.93019867,
836,60.98593521,
834,60.91887283,
832,61.16474915,
830,61.13993454,
828,60.92150116,
826,61.0407486,
824,60.80903244,
822,60.871418,
820,60.92656326,
818,61.05768204,
816,61.09492874,
814,61.17041779,
812,60.81443405,
810,60.60916901,
808,60.76214981,
806,60.826828,
804,61.08197021,
802,60.85935974,
800,60.6156044,
798,60.74836731,
796,60.85913086,
794,60.97690964,
792,60.94447327,
790,60.85882187,
788,60.84709167,
786,61.03380203,
784,60.71092987,
782,60.84077454,
780,60.91886139,
778,60.72853851,
776,60.83692932,
774,60.83225632,
772,60.79242706,
770,60.83266068,
768,60.93500137,
766,60.55524826,
764,60.72585678,
762,60.79790497,
760,60.89762878,
758,60.76058197,
756,60.72968674,
754,60.789711,
752,60.78652573,
750,60.73490524,
748,60.71612167,
746,60.60763168,
744,60.68039703,
742,60.65193558,
740,60.66338348,
738,60.56196594,
736,60.62203217,
734,60.58094406,
732,60.44075394,
730,60.44641113,
728,60.36880112,
726,60.55147552,
724,60.54937363,
722,60.37760544,
720,60.38797379,
718,60.37666702,
716,60.33376312,
714,60.1854248,
712,60.24507904,
710,60.20786667,
708,60.2011261,
706,60.11048508,
704,60.01451492,
702,59.953125,
700,59.91473389,
698,59.90499115,
696,59.82729721,
694,59.85588455,
692,59.67962646,
690,59.76146317,
688,59.64189911,
686,59.58905792,
684,59.64792252,
682,59.45845413,
680,59.49254608,
678,59.43404388,
676,59.25981903,
674,59.31487656,
672,59.16326141,
670,59.05712891,
668,59.09128952,
666,58.97478485,
664,58.85512161,
662,58.8902359,
660,58.82431412,
658,58.72045898,
656,58.54471207,
654,58.52046204,
652,58.45244598,
650,58.36066437,
648,58.27447128,
646,58.18373108,
644,58.08569336,
642,58.0486412,
640,57.98599243,
638,57.99239349,
636,57.7792511,
634,57.68583298,
632,57.65609741,
630,57.51820374,
628,57.48443604,
626,57.38262558,
624,57.4095192,
622,57.23427582,
620,57.16596985,
618,57.09786987,
616,56.99373627,
614,56.94861603,
612,56.79231262,
610,56.82322311,
608,56.66142273,
606,56.62106323,
604,56.49478912,
602,56.45419312,
600,56.31825256,
598,56.22537613,
596,56.10865402,
594,56.09753799,
592,55.95924759,
590,55.84740067,
588,55.8743782,
586,55.71759415,
584,55.6339035,
582,55.6004715,
580,55.49180984,
578,55.47622299,
576,55.39406967,
574,55.31879807,
572,55.25317383,
570,55.28044128,
568,55.17193222,
566,55.14368439,
564,55.05306625,
562,54.98989105,
560,54.96211243,
558,55.00773239,
556,54.89154434,
554,54.92102051,
552,54.86369705,
550,54.8449173,
548,54.83519363,
546,54.79494858,
544,54.8014946,
542,54.78020859,
540,54.78484726,
538,54.77478409,
536,54.84182358,
534,54.80708313,
532,54.86700058,
530,54.90166473,
528,54.94589996,
526,54.92689133,
524,55.03526306,
522,55.13327026,
520,55.18301773,
518,55.13752747,
516,55.29769516,
514,55.39276123,
512,55.56187057,
510,55.74541092,
508,55.75926208,
506,55.99143982,
504,55.98748779,
502,56.24079132,
500,56.39233398,
498,56.57284164,
496,56.64936829,
494,56.90140533,
492,57.07447052,
490,57.28038025,
488,57.46287155,
486,57.76660538,
484,57.98287201,
482,58.25615692,
480,58.51418304,
478,58.81339264,
476,59.07209396,
474,59.3241806,
472,59.58857727,
470,59.91079712,
468,60.20199203,
466,60.51784897,
464,60.86820984,
462,61.30750275,
460,61.56256104,
458,61.87313843,
456,62.23644638,
454,62.60252762,
452,62.99879456,
450,63.40594482,
448,63.7384758,
446,64.14564514,
444,64.55002594,
442,64.97442627,
440,65.23142242,
438,65.61531067,
436,66.23734283,
434,66.52038574,
432,66.78946686,
430,67.23448944,
428,67.64474487,
426,68.01644897,
424,68.64220428,
422,68.94363403,
420,69.22120667,
418,69.3385849,
416,69.7397995,
414,70.25450134,
412,70.33808899,
410,71.02731323,
408,70.89636993,
406,71.53507233,
404,71.80039978,
402,71.87929535,
400,72.81808472,
398,72.61728668,
396,72.93553925,
394,73.02060699,
392,73.40589142,
390,73.33844757,
388,73.41765594,
386,73.33955383,
384,73.32943726,
382,73.76473999,
380,74.01976776,
378,73.30815125,
376,72.48830414,
374,73.85121918,
372,73.37007141,
370,71.90555573,
368,72.35977936,
366,73.31665802,
364,72.45802307,
362,71.40142059,
360,72.09465027,
358,70.80628967,
356,70.21801758,
354,69.05976868,
352,69.51402283,
350,68.4140625,
348,59.37761688,
346,59.3804245,
344,57.64621353,
342,60.10396957,
340,63.6904068,
338,61.24365234,
336,59.34395599,
334,58.74971008,
332,60.95682907,
330,61.1377182,
328,57.57457733,
326,60.72198105,
324,55.39668274,
322,56.44845963,
320,52.07234573,
318,51.22429657,
316,50.25114441,
314,48.1455574,
312,46.5983963,
310,46.82027435,
308,42.64513397,
306,39.93473434,
304,36.46915436,
302,36.44952393,
300,35.51937103,

