sample6R,,
Wavelength (nm),%R,
850,30.13956833,
848,29.9581356,
846,29.90994453,
844,30.14506721,
842,29.81569481,
840,29.79303551,
838,29.39026642,
836,28.9503212,
834,29.2021389,
832,29.50387955,
830,29.11812973,
828,28.99238396,
826,28.87477493,
824,28.84094429,
822,28.61388016,
820,28.59837151,
818,28.15613747,
816,28.95321274,
814,28.4445858,
812,28.4168396,
810,28.20846748,
808,28.82501411,
806,28.3969574,
804,28.19207954,
802,28.34091759,
800,27.97576714,
798,28.0125103,
796,27.93827438,
794,27.71474457,
792,27.61291504,
790,27.72298241,
788,27.22506905,
786,27.37188721,
784,27.33699608,
782,27.25054932,
780,27.17443466,
778,26.97459221,
776,26.83287621,
774,26.80924797,
772,26.83030701,
770,26.56560898,
768,26.69074249,
766,26.59722519,
764,26.62340736,
762,26.30043602,
760,26.22818375,
758,26.12998772,
756,26.03833008,
754,26.10957336,
752,25.99451447,
750,25.83769035,
748,25.76389694,
746,25.72815323,
744,25.48035431,
742,25.46363449,
740,25.45424461,
738,25.23088837,
736,25.30535507,
734,25.2222805,
732,25.04477501,
730,25.09937286,
728,24.84909821,
726,24.79445267,
724,24.75475121,
722,24.63953972,
720,24.57365036,
718,24.49912643,
716,24.2625618,
714,24.18773651,
712,24.17228317,
710,23.99693489,
708,23.94203758,
706,23.90898705,
704,23.85187531,
702,23.65371704,
700,23.58135414,
698,23.65427589,
696,23.4122982,
694,23.47616005,
692,23.3391037,
690,23.25285339,
688,23.13202286,
686,22.98000717,
684,22.96728516,
682,22.84224701,
680,22.78974342,
678,22.72494698,
676,22.61556816,
674,22.47944832,
672,22.47121429,
670,22.46734047,
668,22.25048447,
666,22.13562012,
664,21.95320892,
662,22.06450653,
660,21.94841766,
658,21.79494858,
656,21.67963219,
654,21.61945152,
652,21.49492836,
650,21.43261337,
648,21.36424637,
646,21.35907555,
644,21.17886162,
642,21.08055878,
640,21.00488472,
638,20.89023209,
636,20.87134552,
634,20.66904449,
632,20.64936256,
630,20.52106857,
628,20.43149757,
626,20.39463234,
624,20.35474205,
622,20.25390625,
620,20.1436348,
618,20.06005287,
616,19.96952057,
614,19.84508514,
612,19.68608856,
610,19.64997673,
608,19.6073761,
606,19.59481049,
604,19.39868355,
602,19.30380821,
600,19.26850891,
598,19.14000702,
596,19.13539124,
594,18.95363998,
592,18.90622139,
590,18.81488991,
588,18.6773243,
586,18.67241096,
584,18.59575272,
582,18.44212151,
580,18.43700409,
578,18.3375473,
576,18.27855873,
574,18.16389465,
572,18.16578484,
570,18.02560425,
568,17.90363121,
566,17.75525665,
564,17.71794319,
562,17.65125656,
560,17.58914375,
558,17.50916481,
556,17.40822029,
554,17.27821159,
552,17.25279045,
550,17.21468735,
548,17.09413147,
546,17.03471565,
544,16.94530869,
542,16.82187462,
540,16.74067307,
538,16.64474297,
536,16.58610916,
534,16.49814224,
532,16.53811264,
530,16.38941383,
528,16.30957603,
526,16.26132202,
524,16.19479942,
522,16.07808495,
520,15.9538641,
518,15.82244301,
516,15.7782402,
514,15.78953552,
512,15.71441174,
510,15.73701096,
508,15.5704174,
506,15.59445095,
504,15.48578548,
502,15.4349966,
500,15.29882526,
498,15.13898945,
496,15.08674812,
494,15.13333607,
492,15.08935356,
490,15.06212234,
488,14.91644859,
486,14.7986784,
484,14.833498,
482,14.83394051,
480,14.64873123,
478,14.71784115,
476,14.45898724,
474,14.35473824,
472,14.40649891,
470,14.28369141,
468,14.37182426,
466,14.39347458,
464,14.20389366,
462,14.22158337,
460,14.1675396,
458,14.06167316,
456,14.21379757,
454,13.81543255,
452,13.97479916,
450,13.76543236,
448,13.90596199,
446,13.71168804,
444,13.65374947,
442,13.64810467,
440,13.79235363,
438,13.69233894,
436,13.58197212,
434,13.41974926,
432,13.7191658,
430,13.41335297,
428,13.56228733,
426,13.34296799,
424,13.45479679,
422,13.55013657,
420,13.30116367,
418,13.05658627,
416,12.89207172,
414,13.03173923,
412,13.20933723,
410,12.85551357,
408,13.01430893,
406,12.99231815,
404,13.07104111,
402,13.23620224,
400,13.13999271,
398,13.325037,
396,12.85510063,
394,12.38359547,
392,12.51157856,
390,13.04412174,
388,12.86178207,
386,12.01422882,
384,12.37683296,
382,13.23030281,
380,13.43990898,
378,12.62823772,
376,13.08787632,
374,12.24390125,
372,12.16437626,
370,12.43658066,
368,12.88387203,
366,13.00503445,
364,12.61725998,
362,13.04804802,
360,13.40613556,
358,13.96765137,
356,13.67486095,
354,13.75290585,
352,14.27359867,
350,11.73766518,

