sampleT,,
Wavelength (nm),%T,
850,35.56218338,
848,34.73605347,
846,35.09632492,
844,35.95041275,
842,36.6978569,
840,36.45796585,
838,35.3833046,
836,35.69326782,
834,36.28094101,
832,36.32024002,
830,36.40671539,
828,36.42009735,
826,36.28921127,
824,36.85315323,
822,36.46146774,
820,36.83613205,
818,36.24956512,
816,37.0881424,
814,37.05724335,
812,37.13169861,
810,37.01156998,
808,37.0266571,
806,37.68884659,
804,37.47117996,
802,37.37942123,
800,37.64982986,
798,38.03649139,
796,37.75398636,
794,37.89502335,
792,38.18138885,
790,38.4986763,
788,37.89831161,
786,38.59510422,
784,38.55081177,
782,38.91959381,
780,39.07299805,
778,39.23519897,
776,38.81415558,
774,38.98218918,
772,39.17791367,
770,39.22034836,
768,39.36302567,
766,39.23542786,
764,39.47606277,
762,39.37665939,
760,39.48961639,
758,39.65069199,
756,40.14757919,
754,39.99254227,
752,40.1568222,
750,40.12791061,
748,40.27312851,
746,40.35681534,
744,40.3050499,
742,40.58482742,
740,40.72776031,
738,40.73363495,
736,40.87868881,
734,40.9916954,
732,40.90095139,
730,41.32109451,
728,41.43340302,
726,41.27733231,
724,41.51008606,
722,41.50278473,
720,41.71595764,
718,41.83831406,
716,41.73921204,
714,41.85729599,
712,42.13924408,
710,42.27700806,
708,42.21539307,
706,42.21599197,
704,42.34555817,
702,42.40678406,
700,42.41547012,
698,42.65106201,
696,42.6251297,
694,42.6831131,
692,42.87900162,
690,42.95582581,
688,43.16360855,
686,43.07157898,
684,43.15003204,
682,43.24765778,
680,43.38581467,
678,43.4292717,
676,43.40354919,
674,43.49932098,
672,43.56942749,
670,43.76115036,
668,43.84117889,
666,43.80020523,
664,43.98347855,
662,44.09253693,
660,44.08966446,
658,44.26763535,
656,44.17808533,
654,44.17634583,
652,44.48288345,
650,44.41872406,
648,44.53129578,
646,44.54568481,
644,44.7312355,
642,44.77888107,
640,44.84163666,
638,44.85708618,
636,44.9883728,
634,45.08291626,
632,45.22248077,
630,45.24620438,
628,45.31868744,
626,45.35032654,
624,45.49854279,
622,45.46220016,
620,45.61979294,
618,45.65102768,
616,45.73034668,
614,45.89646912,
612,45.94413376,
610,46.09914017,
608,46.17314911,
606,46.25955963,
604,46.34251404,
602,46.40768051,
600,46.42861557,
598,46.61323929,
596,46.60300446,
594,46.73276138,
592,46.71743393,
590,46.82205582,
588,46.88131332,
586,46.88434982,
584,47.10531998,
582,47.30531311,
580,47.25199127,
578,47.27505875,
576,47.38908386,
574,47.45985413,
572,47.57410049,
570,47.72373581,
568,47.80270767,
566,47.79346848,
564,47.91762161,
562,48.08320618,
560,48.0452919,
558,48.27405167,
556,48.25403976,
554,48.43328476,
552,48.53907394,
550,48.54902649,
548,48.62184525,
546,48.76028824,
544,48.88594437,
542,48.99145126,
540,49.00485992,
538,49.24790955,
536,49.12022018,
534,49.35764313,
532,49.38956451,
530,49.57036591,
528,49.63830185,
526,49.73026276,
524,49.82178497,
522,49.9533577,
520,50.11745071,
518,50.0950737,
516,50.23099136,
514,50.33847046,
512,50.44862747,
510,50.77994919,
508,50.65044785,
506,50.78132629,
504,50.89476776,
502,50.97496414,
500,51.20424652,
498,51.43358231,
496,51.51766586,
494,51.64461899,
492,51.78697586,
490,52.05197144,
488,52.10979462,
486,52.36104202,
484,52.41769409,
482,52.68447876,
480,52.75409317,
478,52.83932495,
476,53.15869904,
474,53.29471207,
472,53.50343704,
470,53.66688538,
468,53.79238129,
466,54.06901932,
464,54.23150635,
462,54.49559021,
460,54.76163483,
458,54.92940521,
456,55.25094223,
454,55.50076294,
452,55.85616302,
450,55.97087097,
448,56.35191727,
446,56.62228012,
444,56.61497116,
442,57.10353851,
440,57.30626678,
438,57.8132019,
436,57.80389786,
434,58.37340927,
432,58.47428894,
430,58.97488403,
428,59.10723877,
426,59.51947021,
424,59.92782211,
422,60.37374878,
420,60.48260498,
418,60.81306839,
416,61.06399155,
414,61.9148674,
412,62.17137146,
410,62.68651962,
408,63.00453949,
406,63.07904816,
404,63.48271942,
402,64.42790985,
400,64.74921417,
398,64.71087646,
396,65.77859497,
394,65.55883789,
392,65.57792664,
390,66.1124649,
388,65.89966583,
386,66.57225037,
384,66.12917328,
382,66.39024353,
380,67.6364212,
378,67.45157623,
376,67.18218994,
374,67.17616272,
372,67.04917908,
370,67.18869019,
368,65.43984985,
366,67.06179047,
364,66.54187775,
362,66.94644928,
360,68.60042572,
358,65.48965454,
356,66.79125214,
354,64.7556076,
352,62.93848038,
350,63.38430786,

