sampleR,,
Wavelength (nm),%R,
850,39.51962662,
848,39.11056519,
846,38.96378326,
844,39.42366409,
842,38.7075386,
840,38.49155807,
838,38.07194519,
836,38.52159119,
834,38.3231163,
832,38.08346558,
830,37.54175186,
828,38.32340622,
826,38.14617538,
824,37.42259979,
822,37.28526306,
820,36.88500977,
818,37.53012848,
816,37.41046524,
814,37.98947144,
812,37.51671982,
810,37.27890396,
808,36.99665451,
806,36.59235382,
804,37.2263298,
802,36.86064911,
800,36.03339386,
798,36.41565704,
796,36.29484177,
794,35.83715439,
792,35.82387924,
790,35.9442749,
788,35.51976776,
786,35.61959457,
784,35.14767456,
782,35.24253845,
780,35.33371353,
778,35.24489594,
776,34.97920609,
774,34.74526596,
772,34.89798737,
770,34.44990921,
768,34.34593201,
766,34.14957428,
764,34.29344177,
762,33.97821426,
760,34.16816711,
758,34.00177002,
756,33.70897293,
754,33.73411942,
752,33.60723114,
750,33.57984543,
748,33.02991104,
746,33.04434586,
744,32.95212555,
742,32.8447113,
740,32.86709595,
738,32.55634689,
736,32.40621567,
734,32.46318817,
732,32.1464386,
730,32.08741379,
728,32.06755447,
726,31.95530701,
724,31.79517174,
722,31.61094856,
720,31.64873695,
718,31.68429756,
716,31.21797752,
714,31.16340256,
712,31.14326096,
710,30.96692276,
708,30.77774429,
706,30.57067108,
704,30.51923752,
702,30.53285217,
700,30.35505104,
698,30.16811943,
696,30.12629509,
694,30.01947403,
692,29.74019051,
690,29.82492447,
688,29.66196251,
686,29.39963341,
684,29.30106735,
682,29.18354034,
680,29.02833176,
678,28.89056778,
676,28.79288864,
674,28.7808094,
672,28.65916443,
670,28.64824486,
668,28.45923996,
666,28.33915329,
664,28.11383247,
662,28.08150673,
660,27.87199402,
658,27.59417343,
656,27.50246239,
654,27.40777397,
652,27.22612381,
650,27.21821022,
648,27.02943993,
646,27.07230759,
644,26.80073357,
642,26.58717728,
640,26.52109337,
638,26.51494217,
636,26.45241928,
634,26.18302345,
632,25.99621964,
630,25.91429138,
628,25.74201775,
626,25.60281181,
624,25.55071068,
622,25.28135681,
620,25.25788307,
618,25.10150337,
616,25.00832748,
614,24.94096565,
612,24.78201675,
610,24.65296745,
608,24.57109451,
606,24.32482529,
604,24.20577812,
602,24.21645927,
600,24.08126068,
598,23.86935616,
596,23.72657585,
594,23.65421677,
592,23.45567894,
590,23.38100433,
588,23.28246498,
586,23.152565,
584,22.93120384,
582,22.86822891,
580,22.74403954,
578,22.57726479,
576,22.56125641,
574,22.56056404,
572,22.2249527,
570,22.14361763,
568,21.99475288,
566,21.83003235,
564,21.74631119,
562,21.6781044,
560,21.51070213,
558,21.41168022,
556,21.3008976,
554,21.12600327,
552,20.99649429,
550,21.0065155,
548,20.8745594,
546,20.72121048,
544,20.58276176,
542,20.54271889,
540,20.32043839,
538,20.2000103,
536,20.10137939,
534,19.94669342,
532,19.87215614,
530,19.71343613,
528,19.61137581,
526,19.51480103,
524,19.49642754,
522,19.35165596,
520,19.19884682,
518,19.12280846,
516,18.90096092,
514,18.8405056,
512,18.77766609,
510,18.75483704,
508,18.54299736,
506,18.49596405,
504,18.42432785,
502,18.30836296,
500,18.10852814,
498,18.11985207,
496,17.95874977,
494,17.80942917,
492,17.8852272,
490,17.63419151,
488,17.50336266,
486,17.43887901,
484,17.41048622,
482,17.25228691,
480,17.23802567,
478,17.17908287,
476,16.93699455,
474,16.90620613,
472,16.75181961,
470,16.67654419,
468,16.80571365,
466,16.52413559,
464,16.40777779,
462,16.29914284,
460,16.25719833,
458,16.06824875,
456,16.19239235,
454,15.99357891,
452,16.08175087,
450,16.14467812,
448,16.10532379,
446,15.69099903,
444,15.79528141,
442,15.45157719,
440,15.75645638,
438,15.38220978,
436,15.53054905,
434,15.38789749,
432,15.32069397,
430,15.1689167,
428,15.33442879,
426,14.87586498,
424,15.38460827,
422,14.99501801,
420,14.99856377,
418,14.5667572,
416,14.50496864,
414,14.52824783,
412,14.73922157,
410,14.44484329,
408,14.09032154,
406,14.38093948,
404,14.63256359,
402,13.98710346,
400,14.43665218,
398,14.34823227,
396,14.38461113,
394,14.11464691,
392,13.29636097,
390,13.67483425,
388,13.49492645,
386,13.75510693,
384,12.49561787,
382,13.7858181,
380,13.60381126,
378,14.14462948,
376,14.46740341,
374,14.10493851,
372,12.71915245,
370,13.03264904,
368,13.64455223,
366,14.984828,
364,12.62093639,
362,12.77031898,
360,13.99963093,
358,16.00641251,
356,14.75757694,
354,14.47768402,
352,14.10216522,
350,14.59262371,

