glassT,,
Wavelength (nm),%T,
850,90.84184265,
848,90.61231995,
846,90.66355133,
844,90.45075989,
842,90.78833771,
840,90.78765869,
838,90.21105194,
836,90.50515747,
834,90.7201767,
832,90.68934631,
830,90.45189667,
828,90.44361115,
826,90.29251099,
824,90.17896271,
822,90.61884308,
820,90.51168823,
818,90.58849335,
816,90.43473816,
814,90.56571198,
812,90.66493225,
810,90.33149719,
808,90.68976593,
806,90.41229248,
804,90.38585663,
802,90.48239899,
800,90.33100891,
798,90.69129944,
796,90.94593811,
794,90.88648224,
792,90.98092651,
790,90.89094543,
788,90.93365479,
786,91.10533905,
784,90.78772736,
782,91.06310272,
780,91.07288361,
778,91.13306427,
776,91.04673004,
774,91.02833557,
772,90.92819977,
770,91.01735687,
768,91.18579865,
766,90.99060059,
764,91.00173187,
762,91.15366364,
760,91.19920349,
758,91.21974945,
756,91.20391846,
754,91.27155304,
752,91.22422791,
750,91.37414551,
748,91.23847198,
746,91.37311554,
744,91.25193024,
742,91.28579712,
740,91.42780304,
738,91.2417984,
736,91.31254578,
734,91.47388458,
732,91.32962799,
730,91.44743347,
728,91.36574554,
726,91.47635651,
724,91.52909851,
722,91.37929535,
720,91.55571747,
718,91.62319183,
716,91.52087402,
714,91.50014496,
712,91.55892944,
710,91.55117035,
708,91.57767487,
706,91.4318924,
704,91.49394989,
702,91.53038025,
700,91.35990906,
698,91.4860611,
696,91.64162445,
694,91.52970886,
692,91.59391785,
690,91.63869476,
688,91.65727997,
686,91.64338684,
684,91.64846802,
682,91.51629639,
680,91.68418884,
678,91.70484161,
676,91.65856171,
674,91.61618042,
672,91.63492584,
670,91.66529846,
668,91.59363556,
666,91.66773224,
664,91.64019775,
662,91.74435425,
660,91.72115326,
658,91.63162231,
656,91.5699234,
654,91.54465485,
652,91.65974426,
650,91.6108017,
648,91.61978149,
646,91.6348114,
644,91.59367371,
642,91.61534119,
640,91.56558228,
638,91.66840363,
636,91.5657196,
634,91.53488922,
632,91.63079834,
630,91.58809662,
628,91.64255524,
626,91.63601685,
624,91.641922,
622,91.60391998,
620,91.62451172,
618,91.63894653,
616,91.60233307,
614,91.703125,
612,91.6929245,
610,91.73374176,
608,91.69120026,
606,91.71018219,
604,91.74358368,
602,91.77800751,
600,91.634758,
598,91.69609833,
596,91.68365479,
594,91.63320923,
592,91.67616272,
590,91.62419128,
588,91.61587524,
586,91.53849792,
584,91.59282684,
582,91.67237091,
580,91.62128448,
578,91.59845734,
576,91.69737244,
574,91.55696869,
572,91.66738129,
570,91.53005219,
568,91.69732666,
566,91.62154388,
564,91.59752655,
562,91.65524292,
560,91.65075684,
558,91.69378662,
556,91.57634735,
554,91.72394562,
552,91.69019318,
550,91.6593399,
548,91.62593079,
546,91.64718628,
544,91.62038422,
542,91.66989136,
540,91.58856201,
538,91.62108612,
536,91.64719391,
534,91.65975189,
532,91.5947113,
530,91.6470871,
528,91.55322266,
526,91.63404083,
524,91.64141846,
522,91.62008667,
520,91.5558548,
518,91.60364532,
516,91.58432007,
514,91.6554184,
512,91.6072464,
510,91.65270233,
508,91.60372162,
506,91.65048218,
504,91.56806946,
502,91.59281921,
500,91.55101013,
498,91.56705475,
496,91.5066452,
494,91.58368683,
492,91.56612396,
490,91.5457077,
488,91.61458588,
486,91.51798248,
484,91.49250793,
482,91.5260849,
480,91.40953827,
478,91.51517487,
476,91.39990997,
474,91.37755585,
472,91.45841217,
470,91.26543427,
468,91.42035675,
466,91.31999207,
464,91.37689209,
462,91.27951813,
460,91.37709808,
458,91.25019073,
456,91.29642487,
454,91.16868591,
452,91.30230713,
450,91.19259644,
448,91.16704559,
446,91.20158386,
444,91.05664825,
442,90.95278931,
440,91.1036377,
438,90.89433289,
436,91.25095367,
434,91.0841217,
432,90.86439514,
430,90.91350555,
428,90.65235901,
426,90.79808807,
424,90.8780899,
422,90.72498322,
420,90.67422485,
418,90.36515045,
416,90.63339233,
414,90.42343903,
412,90.20776367,
410,90.32035065,
408,90.08486176,
406,90.24899292,
404,90.0398407,
402,90.1287384,
400,90.48326874,
398,89.93869019,
396,89.60051727,
394,89.85479736,
392,89.39603424,
390,89.44532013,
388,89.10652161,
386,88.63671112,
384,88.6146698,
382,88.80670166,
380,88.51724243,
378,87.78366089,
376,87.55297852,
374,87.82299042,
372,86.64848328,
370,86.6163559,
368,85.67625427,
366,86.38490295,
364,86.74085999,
362,85.37857056,
360,85.1370697,
358,84.19228363,
356,84.22106171,
354,82.8991394,
352,83.06430817,
350,82.82417297,
348,72.13902283,
346,69.07393646,
344,71.03198242,
342,69.34483337,
340,71.42607117,
338,73.10983276,
336,72.07740784,
334,70.29608917,
332,68.38166046,
330,69.56017303,
328,70.36203003,
326,68.73202515,
324,67.20288086,
322,67.29703522,
320,63.99575043,
318,65.33019257,
316,64.38551331,
314,62.65322495,
312,58.87020111,
310,58.76700211,
308,56.54106903,
306,54.11043167,
304,52.17772293,
302,50.8897438,
300,48.69891739,

