glassR,,
Wavelength (nm),%R,
850,7.727143764,
848,7.914230347,
846,7.878227711,
844,8.24715519,
842,7.850575447,
840,8.300551414,
838,7.780771732,
836,8.094390869,
834,7.621220589,
832,8.000023842,
830,7.926519394,
828,8.113838196,
826,7.961653233,
824,7.971476555,
822,8.157914162,
820,7.674904823,
818,7.808142185,
816,8.291153908,
814,8.176794052,
812,8.556482315,
810,7.918988705,
808,8.174293518,
806,8.079469681,
804,8.136639595,
802,7.992852688,
800,8.154186249,
798,8.105905533,
796,7.700333595,
794,7.950860023,
792,7.757603168,
790,7.927453518,
788,7.691306114,
786,7.795915604,
784,7.742752075,
782,7.862711906,
780,7.879000664,
778,7.907725334,
776,7.775983334,
774,7.862267494,
772,7.849820137,
770,7.89739275,
768,7.93118763,
766,7.798961639,
764,8.020735741,
762,7.760151386,
760,7.746166706,
758,7.703155518,
756,7.711575985,
754,7.829043865,
752,7.908043861,
750,7.78092432,
748,7.842607975,
746,7.653961182,
744,7.734059334,
742,7.894804955,
740,7.795144558,
738,7.76179409,
736,7.766604424,
734,7.735604286,
732,7.692154408,
730,7.791326046,
728,7.696028709,
726,7.725709915,
724,7.80343771,
722,7.813543797,
720,7.761218548,
718,7.679062843,
716,7.691839218,
714,7.744897366,
712,7.681891441,
710,7.829783916,
708,7.639332771,
706,7.726076126,
704,7.732652664,
702,7.669707298,
700,7.741738319,
698,7.748268604,
696,7.615134716,
694,7.776926994,
692,7.697069645,
690,7.884074688,
688,7.748784065,
686,7.698191643,
684,7.76619482,
682,7.826193333,
680,7.644212246,
678,7.773453712,
676,7.678371429,
674,7.76114893,
672,7.777065754,
670,7.81673336,
668,7.698454857,
666,7.724393368,
664,7.643821239,
662,7.670371056,
660,7.734778404,
658,7.772227287,
656,7.711707115,
654,7.653398037,
652,7.697211742,
650,7.627968311,
648,7.691117287,
646,7.709921837,
644,7.703401089,
642,7.729007244,
640,7.752989292,
638,7.743286133,
636,7.773676395,
634,7.734456062,
632,7.753673077,
630,7.737314701,
628,7.729857445,
626,7.703569412,
624,7.734676361,
622,7.746711254,
620,7.7573843,
618,7.787922859,
616,7.746227741,
614,7.760684013,
612,7.671438694,
610,7.755038738,
608,7.743442059,
606,7.754586697,
604,7.739508152,
602,7.804423332,
600,7.764110565,
598,7.792239666,
596,7.734131813,
594,7.796201706,
592,7.793553829,
590,7.756631851,
588,7.839379311,
586,7.789739132,
584,7.813271999,
582,7.778223515,
580,7.805406094,
578,7.755666256,
576,7.822646141,
574,7.79691267,
572,7.821039677,
570,7.800576687,
568,7.784102917,
566,7.7491045,
564,7.790288925,
562,7.830859661,
560,7.860794544,
558,7.831010818,
556,7.856649399,
554,7.851707935,
552,7.85248518,
550,7.871751308,
548,7.83753109,
546,7.814265251,
544,7.788023949,
542,7.85997057,
540,7.853446007,
538,7.820928097,
536,7.803670883,
534,7.850913525,
532,7.900663376,
530,7.884039879,
528,7.924967766,
526,7.877845287,
524,7.903213024,
522,7.863828659,
520,7.834139347,
518,7.799925804,
516,7.854522705,
514,7.779346943,
512,7.894888401,
510,7.912844658,
508,7.865429878,
506,7.909666538,
504,7.905995846,
502,7.974938869,
500,7.959014893,
498,7.9632864,
496,7.860302925,
494,7.933131695,
492,7.896327019,
490,7.962735176,
488,7.897914886,
486,7.943243504,
484,8.003263474,
482,8.014810562,
480,7.972779274,
478,8.062713623,
476,7.961427212,
474,8.011917114,
472,7.952970982,
470,8.080814362,
468,8.11892128,
466,8.048913956,
464,8.057301521,
462,8.134741783,
460,8.117156029,
458,8.028719902,
456,8.19642067,
454,8.059746742,
452,8.293097496,
450,8.158784866,
448,8.140003204,
446,8.173724174,
444,8.16160202,
442,8.1299963,
440,8.28182888,
438,8.162982941,
436,8.221206665,
434,8.14900589,
432,8.338283539,
430,8.061079979,
428,8.320037842,
426,8.372512817,
424,8.367601395,
422,8.648601532,
420,8.560959816,
418,8.383673668,
416,8.428939819,
414,8.446861267,
412,8.572128296,
410,8.502709389,
408,8.379495621,
406,8.266541481,
404,8.620069504,
402,8.567253113,
400,8.375713348,
398,9.141080856,
396,8.775204659,
394,8.785315514,
392,8.712544441,
390,9.358240128,
388,9.370650291,
386,8.369021416,
384,8.539256096,
382,9.290748596,
380,9.615671158,
378,9.2022686,
376,9.632716179,
374,9.911821365,
372,9.782786369,
370,9.701026917,
368,9.959391594,
366,9.758364677,
364,8.451992035,
362,9.723214149,
360,10.31745434,
358,10.26145744,
356,9.719639778,
354,9.776535988,
352,10.8862772,
350,8.810975075,
348,15.15116501,
346,11.20057297,
344,14.10603523,
342,11.96287155,
340,16.73647881,
338,11.33910275,
336,11.40492344,
334,11.74825382,
332,11.057374,
330,13.82670975,
328,10.99440193,
326,11.55959415,
324,10.56009579,
322,12.22543144,
320,7.325418949,
318,10.17765236,
316,11.69325256,
314,9.562080383,
312,9.798679352,
310,10.20950794,
308,8.836779594,
306,11.02774143,
304,9.799185753,
302,8.399168968,
300,6.804973602,

