angle_deg,HATCN 5 / Ag 8,MoOx 5 / Ag 8,ITO 70 (열처리 X),ITO 70 (열처리 O),IZO 70
0,2.6490,7.5520,0.4540,0.2102,0.6304
1,2.6494,7.5526,0.4541,0.2102,0.6305
2,2.6505,7.5543,0.4545,0.2103,0.6308
3,2.6525,7.5573,0.4551,0.2105,0.6313
4,2.6553,7.5614,0.4560,0.2108,0.6321
5,2.6589,7.5670,0.4571,0.2111,0.6330
6,2.6634,7.5740,0.4585,0.2115,0.6342
7,2.6688,7.5825,0.4602,0.2120,0.6356
8,2.6752,7.5928,0.4621,0.2126,0.6372
9,2.6827,7.6050,0.4643,0.2133,0.6390
10,2.6912,7.6194,0.4668,0.2140,0.6411
11,2.7009,7.6362,0.4695,0.2149,0.6434
12,2.7120,7.6558,0.4725,0.2158,0.6459
13,2.7245,7.6784,0.4759,0.2168,0.6488
14,2.7385,7.7046,0.4795,0.2179,0.6518
15,2.7542,7.7348,0.4834,0.2191,0.6552
16,2.7719,7.7695,0.4876,0.2204,0.6589
17,2.7917,7.8095,0.4921,0.2218,0.6628
18,2.8140,7.8557,0.4970,0.2234,0.6671
19,2.8390,7.9089,0.5022,0.2251,0.6718
20,2.8672,7.9705,0.5077,0.2269,0.6769
21,2.8991,8.0421,0.5136,0.2288,0.6825
22,2.9354,8.1255,0.5200,0.2310,0.6885
23,2.9770,8.2235,0.5267,0.2333,0.6952
24,3.0250,8.3394,0.5340,0.2360,0.7027
25,3.0813,8.4782,0.5419,0.2389,0.7112
26,3.1480,8.6464,0.5506,0.2423,0.7209
27,3.2287,8.8541,0.5604,0.2462,0.7323
28,3.3288,9.1163,0.5716,0.2509,0.7463
29,3.4569,9.4579,0.5852,0.2570,0.7641
30,3.6287,9.9222,0.6027,0.2651,0.7881
31,3.8744,10.5946,0.6277,0.2771,0.8237
32,4.2663,11.6767,0.6695,0.2974,0.8842
33,5.0504,13.8602,0.7643,0.3436,1.0215
34,6.7183,19.1730,1.2257,0.5714,1.7060
35,6.1933,17.4154,1.1743,0.5223,1.5543
36,6.6469,17.9619,1.1912,0.5035,1.4872
37,7.5405,19.4222,1.2389,0.5002,1.4659
38,8.7480,21.4257,1.3059,0.5063,1.4728
39,10.2002,23.7750,1.3868,0.5188,1.4986
40,11.8337,26.3286,1.4789,0.5360,1.5381
41,13.5773,28.9695,1.5804,0.5569,1.5880
42,15.3488,31.5961,1.6902,0.5808,1.6464
43,17.0597,34.1204,1.8074,0.6073,1.7121
44,18.6237,36.4696,1.9315,0.6362,1.7841
45,19.9677,38.5877,2.0619,0.6673,1.8618
46,21.0406,40.4358,2.1980,0.7005,1.9450
47,21.8180,41.9923,2.3394,0.7356,2.0333
48,22.3016,43.2510,2.4857,0.7727,2.1266
49,22.5144,44.2188,2.6362,0.8118,2.2250
50,22.4936,44.9127,2.7905,0.8529,2.3283
51,22.2834,45.3568,2.9479,0.8959,2.4367
52,21.9286,45.5795,3.1079,0.9411,2.5503
53,21.4709,45.6112,3.2696,0.9884,2.6693
54,20.9464,45.4825,3.4324,1.0379,2.7938
55,20.3850,45.2226,3.5954,1.0897,2.9242
56,19.8103,44.8588,3.7578,1.1441,3.0607
57,19.2402,44.4156,3.9184,1.2009,3.2036
58,18.6882,43.9148,4.0763,1.2606,3.3534
59,18.1638,43.3753,4.2304,1.3231,3.5104
60,17.6734,42.8135,4.3795,1.3888,3.6752
61,17.2214,42.2431,4.5222,1.4579,3.8484
62,16.8103,41.6755,4.6573,1.5305,4.0305
63,16.4412,41.1204,4.7833,1.6071,4.2222
64,16.1144,40.5855,4.8987,1.6879,4.4244
65,15.8294,40.0770,5.0019,1.7733,4.6377
66,15.5850,39.6000,5.0914,1.8636,4.8633
67,15.3798,39.1583,5.1655,1.9595,5.1021
68,15.2117,38.7548,5.2226,2.0613,5.3553
69,15.0784,38.3913,5.2608,2.1698,5.6241
70,14.9769,38.0690,5.2786,2.2855,5.9097
71,14.9037,37.7881,5.2742,2.4093,6.2137
72,14.8548,37.5479,5.2461,2.5420,6.5373
73,14.8249,37.3467,5.1925,2.6848,6.8821
74,14.8079,37.1813,5.1122,2.8387,7.2493
75,14.7960,37.0466,5.0038,3.0052,7.6399
76,14.7793,36.9353,4.8661,3.1860,8.0541
77,14.7455,36.8363,4.6983,3.3831,8.4913
78,14.6790,36.7337,4.4997,3.5991,8.9489
79,14.5602,36.6040,4.2699,3.8372,9.4211
80,14.3644,36.4135,4.0090,4.1018,9.8975
