angle_deg,HATCN 5 / Ag 8_air,MoOx 5 / Ag 8_air,ITO 70 (열처리 X)_air,ITO 70 (열처리 O)_air,IZO 70_air,HATCN 5 / Ag 8_n1.8,MoOx 5 / Ag 8_n1.8,ITO 70 (열처리 X)_n1.8,ITO 70 (열처리 O)_n1.8,IZO 70_n1.8
0,2.6490,7.5520,0.4540,0.2102,0.6304,5.1915,14.5182,0.6367,0.2792,0.8228
1,2.6494,7.5526,0.4541,0.2102,0.6305,5.1917,14.5185,0.6368,0.2792,0.8228
2,2.6505,7.5543,0.4545,0.2103,0.6308,5.1924,14.5195,0.6371,0.2793,0.8231
3,2.6525,7.5573,0.4551,0.2105,0.6313,5.1935,14.5213,0.6376,0.2795,0.8236
4,2.6553,7.5614,0.4560,0.2108,0.6321,5.1951,14.5237,0.6383,0.2797,0.8243
5,2.6589,7.5670,0.4571,0.2111,0.6330,5.1972,14.5268,0.6391,0.2800,0.8252
6,2.6634,7.5740,0.4585,0.2115,0.6342,5.1997,14.5306,0.6402,0.2804,0.8263
7,2.6688,7.5825,0.4602,0.2120,0.6356,5.2027,14.5352,0.6415,0.2809,0.8276
8,2.6752,7.5928,0.4621,0.2126,0.6372,5.2062,14.5405,0.6430,0.2814,0.8291
9,2.6827,7.6050,0.4643,0.2133,0.6390,5.2101,14.5466,0.6447,0.2820,0.8308
10,2.6912,7.6194,0.4668,0.2140,0.6411,5.2145,14.5534,0.6465,0.2827,0.8328
11,2.7009,7.6362,0.4695,0.2149,0.6434,5.2195,14.5611,0.6486,0.2835,0.8349
12,2.7120,7.6558,0.4725,0.2158,0.6459,5.2249,14.5695,0.6510,0.2843,0.8372
13,2.7245,7.6784,0.4759,0.2168,0.6488,5.2308,14.5788,0.6535,0.2852,0.8398
14,2.7385,7.7046,0.4795,0.2179,0.6518,5.2373,14.5890,0.6563,0.2862,0.8425
15,2.7542,7.7348,0.4834,0.2191,0.6552,5.2442,14.6001,0.6592,0.2873,0.8455
16,2.7719,7.7695,0.4876,0.2204,0.6589,5.2518,14.6120,0.6625,0.2885,0.8487
17,2.7917,7.8095,0.4921,0.2218,0.6628,5.2598,14.6250,0.6659,0.2897,0.8521
18,2.8140,7.8557,0.4970,0.2234,0.6671,5.2685,14.6389,0.6696,0.2910,0.8558
19,2.8390,7.9089,0.5022,0.2251,0.6718,5.2776,14.6538,0.6736,0.2924,0.8596
20,2.8672,7.9705,0.5077,0.2269,0.6769,5.2874,14.6697,0.6778,0.2939,0.8637
21,2.8991,8.0421,0.5136,0.2288,0.6825,5.2978,14.6867,0.6823,0.2954,0.8681
22,2.9354,8.1255,0.5200,0.2310,0.6885,5.3087,14.7048,0.6870,0.2971,0.8726
23,2.9770,8.2235,0.5267,0.2333,0.6952,5.3203,14.7240,0.6920,0.2988,0.8774
24,3.0250,8.3394,0.5340,0.2360,0.7027,5.3325,14.7443,0.6973,0.3006,0.8825
25,3.0813,8.4782,0.5419,0.2389,0.7112,5.3453,14.7658,0.7029,0.3025,0.8877
26,3.1480,8.6464,0.5506,0.2423,0.7209,5.3588,14.7885,0.7087,0.3045,0.8933
27,3.2287,8.8541,0.5604,0.2462,0.7323,5.3729,14.8124,0.7149,0.3066,0.8990
28,3.3288,9.1163,0.5716,0.2509,0.7463,5.3877,14.8376,0.7213,0.3088,0.9050
29,3.4569,9.4579,0.5852,0.2570,0.7641,5.4032,14.8640,0.7281,0.3111,0.9113
30,3.6287,9.9222,0.6027,0.2651,0.7881,5.4193,14.8918,0.7352,0.3135,0.9178
31,3.8744,10.5946,0.6277,0.2771,0.8237,5.4361,14.9208,0.7426,0.3159,0.9245
32,4.2663,11.6767,0.6695,0.2974,0.8842,5.4536,14.9511,0.7503,0.3185,0.9315
33,5.0504,13.8602,0.7643,0.3436,1.0215,5.4718,14.9828,0.7583,0.3211,0.9388
34,6.7183,19.1730,1.2257,0.5714,1.7060,5.4908,15.0157,0.7667,0.3239,0.9463
35,6.1933,17.4154,1.1743,0.5223,1.5543,5.5104,15.0501,0.7754,0.3267,0.9540
36,6.6469,17.9619,1.1912,0.5035,1.4872,5.5308,15.0858,0.7845,0.3297,0.9620
37,7.5405,19.4222,1.2389,0.5002,1.4659,5.5519,15.1229,0.7939,0.3327,0.9702
38,8.7480,21.4257,1.3059,0.5063,1.4728,5.5738,15.1613,0.8036,0.3358,0.9787
39,10.2002,23.7750,1.3868,0.5188,1.4986,5.5964,15.2012,0.8137,0.3390,0.9873
40,11.8337,26.3286,1.4789,0.5360,1.5381,5.6198,15.2424,0.8242,0.3423,0.9962
41,13.5773,28.9695,1.5804,0.5569,1.5880,5.6439,15.2850,0.8350,0.3457,1.0054
42,15.3488,31.5961,1.6902,0.5808,1.6464,5.6689,15.3289,0.8462,0.3492,1.0147
43,17.0597,34.1204,1.8074,0.6073,1.7121,5.6946,15.3743,0.8578,0.3528,1.0243
44,18.6237,36.4696,1.9315,0.6362,1.7841,5.7212,15.4211,0.8697,0.3564,1.0340
