wavelength_nm,n,k
4.000000000000000000e+02,5.075804676361460321e-02,2.104989868682670018e+00
4.010000000000000000e+02,5.098090736846760257e-02,2.118558889183970173e+00
4.020000000000000000e+02,5.116347986816170007e-02,2.132152580867289871e+00
4.030000000000000000e+02,5.130437920958270254e-02,2.145746679032409787e+00
4.040000000000000000e+02,5.140222033961650006e-02,2.159316918979110156e+00
4.050000000000000000e+02,5.145561820514869822e-02,2.172839036007149893e+00
4.060000000000000000e+02,5.146318775306529814e-02,2.186288765416310120e+00
4.070000000000000000e+02,5.142354393025209969e-02,2.199641842506379952e+00
4.080000000000000000e+02,5.133530168359499990e-02,2.212874002577109867e+00
4.090000000000000000e+02,5.119707595997959743e-02,2.225960980928289867e+00
4.100000000000000000e+02,5.100748170629199746e-02,2.238878512859689973e+00
4.110000000000000000e+02,5.076513386941779865e-02,2.251602333671089973e+00
4.120000000000000000e+02,5.046864739624300211e-02,2.264108178662250115e+00
4.130000000000000000e+02,5.011663723365340078e-02,2.276371783132959958e+00
4.140000000000000000e+02,4.970815572109119757e-02,2.288371157984729898e+00
4.150000000000000000e+02,4.924677067042630002e-02,2.300107806555740098e+00
4.160000000000000000e+02,4.873871377997299886e-02,2.311597091461259801e+00
4.170000000000000000e+02,4.819025117836370220e-02,2.322854554445569875e+00
4.180000000000000000e+02,4.760764899423079732e-02,2.333895737252920100e+00
4.190000000000000000e+02,4.699717335620649805e-02,2.344736181627590010e+00
4.200000000000000000e+02,4.636509039292310147e-02,2.355391429313860030e+00
4.210000000000000000e+02,4.571766623301300181e-02,2.365877022055990153e+00
4.220000000000000000e+02,4.506116700510839901e-02,2.376208501598250145e+00
4.230000000000000000e+02,4.440185883784179832e-02,2.386401409684910213e+00
4.240000000000000000e+02,4.374600785984539969e-02,2.396471288060240123e+00
4.250000000000000000e+02,4.309988019975159734e-02,2.406433678468519854e+00
4.260000000000000000e+02,4.246974198619259816e-02,2.416304122654020059e+00
4.270000000000000000e+02,4.186185934780080331e-02,2.426098162360990074e+00
4.280000000000000000e+02,4.128249841320839886e-02,2.435831339333720091e+00
4.290000000000000000e+02,4.073792531104789699e-02,2.445519195316479877e+00
4.300000000000000000e+02,4.023440616995149766e-02,2.455177272053529869e+00
4.310000000000000000e+02,3.977805910435250336e-02,2.464820855592460003e+00
4.320000000000000000e+02,3.937159790210480181e-02,2.474459350957110004e+00
4.330000000000000000e+02,3.901433202448310184e-02,2.484096282147580048e+00
4.340000000000000000e+02,3.870542291856309686e-02,2.493734917467279821e+00
4.350000000000000000e+02,3.844403203142029990e-02,2.503378525219610129e+00
4.360000000000000000e+02,3.822932081013030031e-02,2.513030373707989984e+00
4.370000000000000000e+02,3.806045070176879846e-02,2.522693731235829961e+00
4.380000000000000000e+02,3.793658315341139758e-02,2.532371866106529978e+00
4.390000000000000000e+02,3.785687961213370090e-02,2.542068046623509936e+00
4.400000000000000000e+02,3.782050152501129775e-02,2.551785541090190179e+00
4.410000000000000000e+02,3.782661033911970117e-02,2.561527617809959967e+00
4.420000000000000000e+02,3.787436750153470172e-02,2.571297545086240088e+00
4.430000000000000000e+02,3.796293445933190264e-02,2.581098591222439786e+00
4.440000000000000000e+02,3.809147265958669898e-02,2.590934024521970080e+00
4.450000000000000000e+02,3.825914354937490214e-02,2.600807113288240213e+00
4.460000000000000000e+02,3.846510857577210146e-02,2.610721125824659872e+00
4.470000000000000000e+02,3.870852918585380303e-02,2.620679330434649845e+00
4.480000000000000000e+02,3.898856682669579743e-02,2.630684995421599837e+00
4.490000000000000000e+02,3.930438294537350052e-02,2.640741389088939961e+00
4.500000000000000000e+02,3.965513898896259881e-02,2.650851779740070135e+00
4.510000000000000000e+02,4.003999594394860168e-02,2.661019433790300148e+00
4.520000000000000000e+02,4.045750359372449895e-02,2.671245112142309974e+00
4.530000000000000000e+02,4.090439561483089764e-02,2.681522130908769785e+00
4.540000000000000000e+02,4.137706991360900338e-02,2.691842429775320067e+00
4.550000000000000000e+02,4.187192439640009811e-02,2.702197948427590202e+00
