wavelength_nm,n,k
4.000000000000000000e+02,6.395156601862401757e-01,2.269371447941160636e+00
4.020000000000000000e+02,6.289568760486393684e-01,2.296392316909124265e+00
4.040000000000000000e+02,6.304605771201733377e-01,2.319784266139958362e+00
4.060000000000000000e+02,6.608580127725384168e-01,2.247555503325580073e+00
4.080000000000000000e+02,6.280754563983931282e-01,2.352535078686295300e+00
4.100000000000000000e+02,5.944097758645675578e-01,2.409657113549567242e+00
4.120000000000000000e+02,6.192634651647248578e-01,2.411475667408058410e+00
4.140000000000000000e+02,6.085621013348971875e-01,2.436123936486711106e+00
4.160000000000000000e+02,6.150353256388290113e-01,2.431058221268657338e+00
4.180000000000000000e+02,6.158261819469000864e-01,2.458646672016519208e+00
4.200000000000000000e+02,5.790071383554158402e-01,2.549938676214656752e+00
4.220000000000000000e+02,5.870668511249214072e-01,2.531903266979898426e+00
4.240000000000000000e+02,5.634079286649487095e-01,2.569458394393013378e+00
4.260000000000000000e+02,5.900031731288983838e-01,2.543298275165887912e+00
4.280000000000000000e+02,5.692089387603797013e-01,2.617203761049857302e+00
4.300000000000000000e+02,6.035885054548600914e-01,2.549547193034958248e+00
4.320000000000000000e+02,5.816949335227097340e-01,2.596296396633165138e+00
4.340000000000000000e+02,5.793953180482390719e-01,2.602882599745385939e+00
4.360000000000000000e+02,5.849438714507350090e-01,2.615948210140213614e+00
4.380000000000000000e+02,6.126459966591505379e-01,2.571862588667726435e+00
4.400000000000000000e+02,5.709751826912072836e-01,2.659542063857718297e+00
4.420000000000000000e+02,5.920401558558791022e-01,2.638440951907477849e+00
4.440000000000000000e+02,5.948448871913351033e-01,2.625329138039847798e+00
4.460000000000000000e+02,5.734308861535460933e-01,2.696622589181084440e+00
4.480000000000000000e+02,5.854592313221818056e-01,2.690118809017524537e+00
4.500000000000000000e+02,5.847948368458529833e-01,2.696313916052921034e+00
4.520000000000000000e+02,5.552024915225917123e-01,2.770292184291559323e+00
4.540000000000000000e+02,6.043108884717847129e-01,2.674696815144553597e+00
4.560000000000000000e+02,5.891478312753195556e-01,2.730781918690142529e+00
4.580000000000000000e+02,5.993705873142626261e-01,2.709792936208292424e+00
4.600000000000000000e+02,5.647269771970402363e-01,2.795824000892592753e+00
4.620000000000000000e+02,5.613224745346637734e-01,2.826865438325579127e+00
4.640000000000000000e+02,5.710798103917866797e-01,2.807386270553652086e+00
4.660000000000000000e+02,5.669299502174548477e-01,2.819621225749121773e+00
4.680000000000000000e+02,5.607517019315504392e-01,2.843579611133463914e+00
4.700000000000000000e+02,5.742493276486388964e-01,2.836413709481972134e+00
4.720000000000000000e+02,5.686149542676326440e-01,2.861343611142386223e+00
4.740000000000000000e+02,5.722396356283915297e-01,2.860796731645099733e+00
4.760000000000000000e+02,5.652758924084415604e-01,2.896387143705496214e+00
4.780000000000000000e+02,5.581294727324667138e-01,2.912925573629185028e+00
4.800000000000000000e+02,5.551730784173495303e-01,2.937290696787218991e+00
4.820000000000000000e+02,5.506454170853085639e-01,2.944705346543970315e+00
4.840000000000000000e+02,5.534119533785722966e-01,2.955932291685402724e+00
4.860000000000000000e+02,5.469091157235023148e-01,2.983841166715409443e+00
4.880000000000000000e+02,5.595139078199069527e-01,2.975972970645650584e+00
4.900000000000000000e+02,5.474551698927634380e-01,3.007145210611454900e+00
4.920000000000000000e+02,5.568260872130835759e-01,3.008486156159347669e+00
4.940000000000000000e+02,5.505881075610236097e-01,3.037814572598377172e+00
4.960000000000000000e+02,5.478404094517691503e-01,3.052627213502316028e+00
4.980000000000000000e+02,5.498505507044323393e-01,3.063912221510329381e+00
5.000000000000000000e+02,5.436147537627660231e-01,3.096766223809935603e+00
5.020000000000000000e+02,5.454878181877729215e-01,3.109339935127744869e+00
5.040000000000000000e+02,5.356753536206417809e-01,3.125061815087451844e+00
5.060000000000000000e+02,5.394376734311679966e-01,3.141583389582716990e+00
5.080000000000000000e+02,5.397988226169759818e-01,3.158369437888928211e+00
5.100000000000000000e+02,5.264376083178037291e-01,3.189765983626928758e+00
5.120000000000000000e+02,5.366403234774704822e-01,3.184511235837963028e+00
5.140000000000000000e+02,5.443897986365487940e-01,3.193610826988618090e+00
5.160000000000000000e+02,5.358016902054492103e-01,3.226122852083511905e+00
5.180000000000000000e+02,5.425804672915947036e-01,3.230648188700191881e+00
5.200000000000000000e+02,5.273705834212091270e-01,3.275103021946767168e+00
5.220000000000000000e+02,5.351828079020954920e-01,3.273153551920083171e+00
