wavelength_nm,n,k
4.000000000000000000e+02,1.975520000000000054e-01,1.372854999999999936e+00
4.010000000000000000e+02,1.959319999999999951e-01,1.380239999999999911e+00
4.020000000000000000e+02,1.943020000000000025e-01,1.387620000000000076e+00
4.030000000000000000e+02,1.926569999999999949e-01,1.394987999999999895e+00
4.040000000000000000e+02,1.909929999999999961e-01,1.402338000000000084e+00
4.050000000000000000e+02,1.893040000000000000e-01,1.409664999999999946e+00
4.060000000000000000e+02,1.875860000000000027e-01,1.416963999999999890e+00
4.070000000000000000e+02,1.858360000000000012e-01,1.424228999999999967e+00
4.080000000000000000e+02,1.840489999999999904e-01,1.431456000000000062e+00
4.090000000000000000e+02,1.822219999999999951e-01,1.438642999999999894e+00
4.100000000000000000e+02,1.803609999999999935e-01,1.445793000000000106e+00
4.110000000000000000e+02,1.784709999999999908e-01,1.452914999999999957e+00
4.120000000000000000e+02,1.765579999999999927e-01,1.460013999999999923e+00
4.130000000000000000e+02,1.746270000000000044e-01,1.467098000000000013e+00
4.140000000000000000e+02,1.726850000000000052e-01,1.474170999999999898e+00
4.150000000000000000e+02,1.707349999999999979e-01,1.481241000000000030e+00
4.160000000000000000e+02,1.687839999999999896e-01,1.488312000000000079e+00
4.170000000000000000e+02,1.668360000000000121e-01,1.495389000000000079e+00
4.180000000000000000e+02,1.648959999999999870e-01,1.502477999999999980e+00
4.190000000000000000e+02,1.629680000000000017e-01,1.509581999999999979e+00
4.200000000000000000e+02,1.610570000000000057e-01,1.516707000000000027e+00
4.210000000000000000e+02,1.591660000000000019e-01,1.523854999999999960e+00
4.220000000000000000e+02,1.573009999999999964e-01,1.531031999999999949e+00
4.230000000000000000e+02,1.554609999999999881e-01,1.538237999999999994e+00
4.240000000000000000e+02,1.536440000000000028e-01,1.545471000000000039e+00
4.250000000000000000e+02,1.518420000000000047e-01,1.552726000000000051e+00
4.260000000000000000e+02,1.500489999999999879e-01,1.559997999999999996e+00
4.270000000000000000e+02,1.482610000000000039e-01,1.567283999999999899e+00
