wavelength_nm,n,k
4.000000000000000000e+02,4.572894999999999738e-02,2.122943978999999981e+00
4.010000000000000000e+02,4.551786981259788728e-02,2.135139656433458821e+00
4.020000000000000000e+02,4.533939289425540503e-02,2.147236166850777117e+00
4.030000000000000000e+02,4.518880445135869950e-02,2.159245071546885608e+00
4.040000000000000000e+02,4.506138969029391261e-02,2.171177931816715478e+00
4.050000000000000000e+02,4.495243381744720712e-02,2.183046308955197912e+00
4.060000000000000000e+02,4.485722203920471801e-02,2.194861764257264980e+00
4.070000000000000000e+02,4.477103956195260803e-02,2.206635859017847423e+00
4.080000000000000000e+02,4.468917159207701217e-02,2.218380154531876425e+00
4.090000000000000000e+02,4.460690333596409318e-02,2.230106212094283613e+00
4.100000000000000000e+02,4.451951999999999993e-02,2.241825593000000172e+00
4.110000000000000000e+02,4.442326706391738073e-02,2.253545816622133380e+00
4.120000000000000000e+02,4.431823110083489559e-02,2.265258234646494007e+00
4.130000000000000000e+02,4.420545895721771784e-02,2.276950156837068917e+00
4.140000000000000000e+02,4.408599747953101389e-02,2.288608892957845420e+00
4.150000000000000000e+02,4.396089351423994318e-02,2.300221752772809936e+00
4.160000000000000000e+02,4.383119390780967906e-02,2.311776046045949773e+00
4.170000000000000000e+02,4.369794550670538791e-02,2.323259082541251797e+00
4.180000000000000000e+02,4.356219515739222919e-02,2.334658172022702871e+00
4.190000000000000000e+02,4.342498970633538319e-02,2.345960624254290305e+00
4.200000000000000000e+02,4.328737600000000241e-02,2.357153749000000076e+00
4.210000000000000000e+02,4.315027444973259380e-02,2.368229887917008725e+00
4.220000000000000000e+02,4.301409972640501261e-02,2.379201510235248396e+00
4.230000000000000000e+02,4.287914006577043385e-02,2.390086117077840022e+00
4.240000000000000000e+02,4.274568370358204639e-02,2.400901209567904537e+00
4.250000000000000000e+02,4.261401887559303214e-02,2.411664288828562874e+00
4.260000000000000000e+02,4.248443381755657305e-02,2.422392855982935966e+00
4.270000000000000000e+02,4.235721676522585799e-02,2.433104412154145635e+00
4.280000000000000000e+02,4.223265595435406888e-02,2.443816458465311925e+00
4.290000000000000000e+02,4.211103962069438766e-02,2.454546496039556214e+00
4.300000000000000000e+02,4.199265600000000320e-02,2.465312025999999879e+00
4.310000000000000000e+02,4.187784478815224920e-02,2.476125044149831478e+00
4.320000000000000000e+02,4.176715152154506644e-02,2.486975525012512289e+00
4.330000000000000000e+02,4.166117319670056135e-02,2.497847937791571216e+00
4.340000000000000000e+02,4.156050681014081954e-02,2.508726751690537160e+00
4.350000000000000000e+02,4.146574935838794745e-02,2.519596435912939025e+00
4.360000000000000000e+02,4.137749783796404457e-02,2.530441459662305714e+00
4.370000000000000000e+02,4.129634924539119650e-02,2.541246292142166130e+00
