wavelength_nm,n,k
4.000000000000000000e+02,1.733072842152853787e-01,1.950391205871984779e+00
4.010000000000000000e+02,1.729676582529124651e-01,1.962488856823765060e+00
4.020000000000000000e+02,1.729071592071664276e-01,1.974855211893932871e+00
4.030000000000000000e+02,1.729089039618955659e-01,1.987214879984251947e+00
4.040000000000000000e+02,1.728864855146084456e-01,1.999459554048744758e+00
4.050000000000000000e+02,1.728710951407276541e-01,2.011630296976996135e+00
4.060000000000000000e+02,1.728677118866543960e-01,2.023735570042956677e+00
4.070000000000000000e+02,1.728679965523713391e-01,2.035766750856364826e+00
4.080000000000000000e+02,1.728752584528424618e-01,2.047728896395127229e+00
4.090000000000000000e+02,1.728869469398393033e-01,2.059621829720444275e+00
4.100000000000000000e+02,1.729002272693587472e-01,2.071443653246716199e+00
4.110000000000000000e+02,1.729346831627324999e-01,2.083208527875743954e+00
4.120000000000000000e+02,1.729634942839319844e-01,2.094901496052484990e+00
4.130000000000000000e+02,1.728680763047786006e-01,2.106449730291755529e+00
4.140000000000000000e+02,1.723546658952481159e-01,2.117673030351338692e+00
4.150000000000000000e+02,1.713428556218990761e-01,2.128523658891840142e+00
4.160000000000000000e+02,1.703016343870907556e-01,2.139293735332386426e+00
4.170000000000000000e+02,1.693619988349467365e-01,2.150065605548405756e+00
4.180000000000000000e+02,1.684144550337686452e-01,2.160772418342391088e+00
4.190000000000000000e+02,1.674708688605319185e-01,2.171422510066399081e+00
4.200000000000000000e+02,1.665472343699143654e-01,2.182025973178682410e+00
4.210000000000000000e+02,1.656363346689638527e-01,2.192578307413272753e+00
4.220000000000000000e+02,1.647362513505396531e-01,2.203081923952963095e+00
4.230000000000000000e+02,1.638490171128436368e-01,2.213537343606567287e+00
4.240000000000000000e+02,1.629777822211170846e-01,2.223939557878286344e+00
4.250000000000000000e+02,1.621086788263189360e-01,2.234306587907364250e+00
4.260000000000000000e+02,1.612447173657293176e-01,2.244634823640630827e+00
4.270000000000000000e+02,1.604653723619224592e-01,2.254819999568088651e+00
4.280000000000000000e+02,1.598955904830849928e-01,2.264698365905728927e+00
4.290000000000000000e+02,1.596264706964309332e-01,2.274150658960291782e+00
4.300000000000000000e+02,1.594544101942220460e-01,2.283443629576707323e+00
4.310000000000000000e+02,1.592327252939696181e-01,2.292769570732057449e+00
4.320000000000000000e+02,1.590162873122887566e-01,2.302056903606446880e+00
4.330000000000000000e+02,1.588139398515689971e-01,2.311294270558453601e+00
4.340000000000000000e+02,1.586118471181237888e-01,2.320500041482448594e+00
4.350000000000000000e+02,1.584134486633032024e-01,2.329670109832796321e+00
