wavelength_nm,n,k
4.000000000000000000e+02,7.328099999999999614e-01,1.658287999999999984e+00
4.010000000000000000e+02,7.368329999999999602e-01,1.670779999999999932e+00
4.020000000000000000e+02,7.408709999999999463e-01,1.683467000000000047e+00
4.030000000000000000e+02,7.449580000000000091e-01,1.696360000000000090e+00
4.040000000000000000e+02,7.491219999999999546e-01,1.709470000000000045e+00
4.050000000000000000e+02,7.533950000000000369e-01,1.722806999999999977e+00
4.060000000000000000e+02,7.578019999999999756e-01,1.736378999999999895e+00
4.070000000000000000e+02,7.623699999999999921e-01,1.750194999999999945e+00
4.080000000000000000e+02,7.671219999999999706e-01,1.764261999999999997e+00
4.090000000000000000e+02,7.720789999999999598e-01,1.778578999999999910e+00
4.100000000000000000e+02,7.772550000000000292e-01,1.793123999999999940e+00
4.110000000000000000e+02,7.826610000000000511e-01,1.807862999999999998e+00
4.120000000000000000e+02,7.883059999999999512e-01,1.822769000000000084e+00
4.130000000000000000e+02,7.941989999999999883e-01,1.837812999999999919e+00
4.140000000000000000e+02,8.003479999999999484e-01,1.852967999999999948e+00
4.150000000000000000e+02,8.067590000000000039e-01,1.868209000000000009e+00
4.160000000000000000e+02,8.134390000000000231e-01,1.883513999999999911e+00
4.170000000000000000e+02,8.203939999999999566e-01,1.898859999999999992e+00
4.180000000000000000e+02,8.276280000000000303e-01,1.914225000000000065e+00
4.190000000000000000e+02,8.351450000000000262e-01,1.929591000000000056e+00
4.200000000000000000e+02,8.429499999999999771e-01,1.944938999999999973e+00
4.210000000000000000e+02,8.510450000000000514e-01,1.960250999999999966e+00
4.220000000000000000e+02,8.594340000000000312e-01,1.975513999999999992e+00
4.230000000000000000e+02,8.681170000000000275e-01,1.990710999999999897e+00
4.240000000000000000e+02,8.770970000000000155e-01,2.005837999999999788e+00
4.250000000000000000e+02,8.863720000000000487e-01,2.020888999999999935e+00
4.260000000000000000e+02,8.959430000000000449e-01,2.035858000000000168e+00
4.270000000000000000e+02,9.058079999999999465e-01,2.050743000000000205e+00
4.280000000000000000e+02,9.159680000000000044e-01,2.065538000000000096e+00
4.290000000000000000e+02,9.264210000000000500e-01,2.080242000000000147e+00
4.300000000000000000e+02,9.371660000000000545e-01,2.094850999999999797e+00
4.310000000000000000e+02,9.482030000000000181e-01,2.109361999999999959e+00
4.320000000000000000e+02,9.595289999999999653e-01,2.123772999999999911e+00
4.330000000000000000e+02,9.711429999999999785e-01,2.138082999999999956e+00
4.340000000000000000e+02,9.830449999999999466e-01,2.152289000000000119e+00
4.350000000000000000e+02,9.952309999999999768e-01,2.166390999999999956e+00
4.360000000000000000e+02,1.007700999999999958e+00,2.180388000000000215e+00
4.370000000000000000e+02,1.020451999999999915e+00,2.194278999999999868e+00
4.380000000000000000e+02,1.033481000000000094e+00,2.208060000000000134e+00
4.390000000000000000e+02,1.046783000000000019e+00,2.221716999999999942e+00
4.400000000000000000e+02,1.060349999999999904e+00,2.235237000000000140e+00
4.410000000000000000e+02,1.074178000000000077e+00,2.248607999999999940e+00
4.420000000000000000e+02,1.088260000000000005e+00,2.261817000000000188e+00
4.430000000000000000e+02,1.102591000000000099e+00,2.274852000000000096e+00
4.440000000000000000e+02,1.117166000000000103e+00,2.287704000000000182e+00
4.450000000000000000e+02,1.131979999999999986e+00,2.300362999999999936e+00
4.460000000000000000e+02,1.147029000000000076e+00,2.312819999999999876e+00
4.470000000000000000e+02,1.162309000000000037e+00,2.325067999999999913e+00
4.480000000000000000e+02,1.177815999999999974e+00,2.337096999999999980e+00
4.490000000000000000e+02,1.193545999999999996e+00,2.348901999999999823e+00
4.500000000000000000e+02,1.209495999999999905e+00,2.360475999999999797e+00
4.510000000000000000e+02,1.225662999999999947e+00,2.371812999999999949e+00
4.520000000000000000e+02,1.242043000000000008e+00,2.382908000000000026e+00
4.530000000000000000e+02,1.258634999999999948e+00,2.393756000000000217e+00
4.540000000000000000e+02,1.275433000000000039e+00,2.404351999999999823e+00
4.550000000000000000e+02,1.292426999999999992e+00,2.414689000000000085e+00
4.560000000000000000e+02,1.309609000000000023e+00,2.424758999999999887e+00
4.570000000000000000e+02,1.326967000000000008e+00,2.434558000000000000e+00
4.580000000000000000e+02,1.344494000000000078e+00,2.444078000000000195e+00
4.590000000000000000e+02,1.362181000000000086e+00,2.453314000000000217e+00
4.600000000000000000e+02,1.380020000000000024e+00,2.462260999999999811e+00
4.610000000000000000e+02,1.398004999999999942e+00,2.470914000000000055e+00
4.620000000000000000e+02,1.416128999999999971e+00,2.479268999999999945e+00
4.630000000000000000e+02,1.434385999999999939e+00,2.487321000000000115e+00
4.640000000000000000e+02,1.452768999999999977e+00,2.495066000000000006e+00
4.650000000000000000e+02,1.471273999999999971e+00,2.502501000000000086e+00
4.660000000000000000e+02,1.489894999999999969e+00,2.509622999999999937e+00
4.670000000000000000e+02,1.508628999999999998e+00,2.516427999999999887e+00
4.680000000000000000e+02,1.527471999999999941e+00,2.522912999999999961e+00
4.690000000000000000e+02,1.546418000000000070e+00,2.529077000000000019e+00
4.700000000000000000e+02,1.565466000000000024e+00,2.534915999999999947e+00
4.710000000000000000e+02,1.584610000000000074e+00,2.540429000000000048e+00
4.720000000000000000e+02,1.603834999999999900e+00,2.545618000000000158e+00
4.730000000000000000e+02,1.623123000000000093e+00,2.550483999999999973e+00
4.740000000000000000e+02,1.642460000000000031e+00,2.555029000000000217e+00
4.750000000000000000e+02,1.661829000000000001e+00,2.559254999999999836e+00
4.760000000000000000e+02,1.681214999999999904e+00,2.563162000000000162e+00
4.770000000000000000e+02,1.700606000000000062e+00,2.566752000000000145e+00
4.780000000000000000e+02,1.719986999999999933e+00,2.570025999999999922e+00
4.790000000000000000e+02,1.739346000000000059e+00,2.572983999999999938e+00
4.800000000000000000e+02,1.758672000000000013e+00,2.575626999999999889e+00
4.810000000000000000e+02,1.777952999999999895e+00,2.577955000000000219e+00
4.820000000000000000e+02,1.797179000000000082e+00,2.579966999999999899e+00
4.830000000000000000e+02,1.816340000000000066e+00,2.581665999999999794e+00
4.840000000000000000e+02,1.835425000000000084e+00,2.583047999999999789e+00
4.850000000000000000e+02,1.854427000000000048e+00,2.584115999999999858e+00
4.860000000000000000e+02,1.873335999999999890e+00,2.584868000000000166e+00
4.870000000000000000e+02,1.892146000000000106e+00,2.585303000000000129e+00
4.880000000000000000e+02,1.910846000000000044e+00,2.585421000000000191e+00
4.890000000000000000e+02,1.929432999999999954e+00,2.585221999999999909e+00
4.900000000000000000e+02,1.947899000000000047e+00,2.584709000000000145e+00
4.910000000000000000e+02,1.966245999999999938e+00,2.583893999999999913e+00
4.920000000000000000e+02,1.984469999999999956e+00,2.582787999999999862e+00
4.930000000000000000e+02,2.002571999999999797e+00,2.581401000000000057e+00
4.940000000000000000e+02,2.020551000000000208e+00,2.579741999999999980e+00
4.950000000000000000e+02,2.038405000000000022e+00,2.577822999999999976e+00
4.960000000000000000e+02,2.056132999999999988e+00,2.575651999999999830e+00
4.970000000000000000e+02,2.073732999999999826e+00,2.573237999999999914e+00
4.980000000000000000e+02,2.091206000000000120e+00,2.570590000000000153e+00
4.990000000000000000e+02,2.108549000000000007e+00,2.567717000000000027e+00
5.000000000000000000e+02,2.125761999999999929e+00,2.564624999999999932e+00
5.010000000000000000e+02,2.142843000000000053e+00,2.561322999999999794e+00
5.020000000000000000e+02,2.159790000000000099e+00,2.557818999999999843e+00
5.030000000000000000e+02,2.176603000000000065e+00,2.554119000000000028e+00
5.040000000000000000e+02,2.193280000000000118e+00,2.550229999999999997e+00
5.050000000000000000e+02,2.209820999999999813e+00,2.546158999999999839e+00
5.060000000000000000e+02,2.226223000000000063e+00,2.541911999999999949e+00
5.070000000000000000e+02,2.242485999999999979e+00,2.537494999999999834e+00
5.080000000000000000e+02,2.258607000000000031e+00,2.532915000000000028e+00
5.090000000000000000e+02,2.274586999999999914e+00,2.528176000000000201e+00
5.100000000000000000e+02,2.290421999999999958e+00,2.523285000000000000e+00
5.110000000000000000e+02,2.306112000000000162e+00,2.518247000000000124e+00
5.120000000000000000e+02,2.321651999999999827e+00,2.513069000000000219e+00
5.130000000000000000e+02,2.337041000000000146e+00,2.507756000000000096e+00
