wavelength_nm,n,k
4.000000000000000000e+02,1.787709999999999910e+00,1.453800000000000092e-01
4.010000000000000000e+02,1.790289999999999937e+00,1.449699999999999878e-01
4.020000000000000000e+02,1.792890000000000095e+00,1.444400000000000128e-01
4.030000000000000000e+02,1.795520000000000005e+00,1.436699999999999922e-01
4.040000000000000000e+02,1.798149999999999915e+00,1.427900000000000003e-01
4.050000000000000000e+02,1.800789999999999891e+00,1.417299999999999949e-01
4.060000000000000000e+02,1.803390000000000049e+00,1.404799999999999938e-01
4.070000000000000000e+02,1.805970000000000075e+00,1.391199999999999937e-01
4.080000000000000000e+02,1.808499999999999996e+00,1.375399999999999956e-01
4.090000000000000000e+02,1.810980000000000034e+00,1.358099999999999863e-01
4.100000000000000000e+02,1.813420000000000032e+00,1.339599999999999957e-01
4.110000000000000000e+02,1.815730000000000066e+00,1.318799999999999972e-01
4.120000000000000000e+02,1.817979999999999929e+00,1.297099999999999920e-01
4.130000000000000000e+02,1.820140000000000091e+00,1.274000000000000132e-01
4.140000000000000000e+02,1.822160000000000002e+00,1.249099999999999933e-01
4.150000000000000000e+02,1.824109999999999898e+00,1.223400000000000043e-01
4.160000000000000000e+02,1.825879999999999947e+00,1.196300000000000002e-01
4.170000000000000000e+02,1.827520000000000033e+00,1.168300000000000033e-01
4.180000000000000000e+02,1.829069999999999974e+00,1.139600000000000057e-01
4.190000000000000000e+02,1.830389999999999961e+00,1.109399999999999969e-01
4.200000000000000000e+02,1.831620000000000026e+00,1.078899999999999998e-01
4.210000000000000000e+02,1.832680000000000087e+00,1.047899999999999943e-01
4.220000000000000000e+02,1.833550000000000013e+00,1.016399999999999942e-01
4.230000000000000000e+02,1.834330000000000016e+00,9.846000000000000585e-02
4.240000000000000000e+02,1.834899999999999975e+00,9.524000000000000521e-02
4.250000000000000000e+02,1.835320000000000062e+00,9.202000000000000457e-02
4.260000000000000000e+02,1.835639999999999938e+00,8.880000000000000393e-02
4.270000000000000000e+02,1.835720000000000018e+00,8.559999999999999554e-02
4.280000000000000000e+02,1.835709999999999953e+00,8.240999999999999714e-02
4.290000000000000000e+02,1.835560000000000080e+00,7.924000000000000488e-02
4.300000000000000000e+02,1.835229999999999917e+00,7.613000000000000322e-02
4.310000000000000000e+02,1.834829999999999961e+00,7.305000000000000382e-02
4.320000000000000000e+02,1.834260000000000002e+00,7.004000000000000503e-02
4.330000000000000000e+02,1.833579999999999988e+00,6.708000000000000074e-02
4.340000000000000000e+02,1.832829999999999959e+00,6.414999999999999869e-02
4.350000000000000000e+02,1.831909999999999927e+00,6.135999999999999788e-02
4.360000000000000000e+02,1.830940000000000012e+00,5.861000000000000237e-02
