wavelength_nm,n,k
4.000000000000000000e+02,1.908959000000000072e+00,4.172200000000000214e-02
4.010000000000000000e+02,1.904919999999999947e+00,4.085899999999999949e-02
4.020000000000000000e+02,1.900975000000000081e+00,4.005399999999999933e-02
4.030000000000000000e+02,1.897121999999999975e+00,3.930299999999999766e-02
4.040000000000000000e+02,1.893358000000000096e+00,3.860100000000000336e-02
4.050000000000000000e+02,1.889679000000000109e+00,3.794600000000000056e-02
4.060000000000000000e+02,1.886082999999999954e+00,3.733399999999999913e-02
4.070000000000000000e+02,1.882565999999999962e+00,3.676200000000000301e-02
4.080000000000000000e+02,1.879126999999999992e+00,3.622700000000000226e-02
4.090000000000000000e+02,1.875761000000000012e+00,3.572600000000000081e-02
4.100000000000000000e+02,1.872468000000000021e+00,3.525799999999999768e-02
4.110000000000000000e+02,1.869242999999999988e+00,3.481999999999999679e-02
4.120000000000000000e+02,1.866084999999999994e+00,3.441000000000000308e-02
4.130000000000000000e+02,1.862991000000000064e+00,3.402600000000000069e-02
4.140000000000000000e+02,1.859960000000000058e+00,3.366700000000000248e-02
4.150000000000000000e+02,1.856988000000000083e+00,3.333099999999999952e-02
4.160000000000000000e+02,1.854074000000000000e+00,3.301799999999999874e-02
4.170000000000000000e+02,1.851215999999999973e+00,3.272400000000000309e-02
4.180000000000000000e+02,1.848411999999999944e+00,3.244999999999999968e-02
4.190000000000000000e+02,1.845660000000000078e+00,3.219400000000000039e-02
4.200000000000000000e+02,1.842958000000000096e+00,3.195599999999999830e-02
4.210000000000000000e+02,1.840305000000000080e+00,3.173399999999999832e-02
4.220000000000000000e+02,1.837698999999999971e+00,3.152699999999999947e-02
4.230000000000000000e+02,1.835139000000000076e+00,3.133600000000000274e-02
4.240000000000000000e+02,1.832622999999999891e+00,3.115800000000000167e-02
4.250000000000000000e+02,1.830149000000000026e+00,3.099400000000000072e-02
4.260000000000000000e+02,1.827717000000000036e+00,3.084200000000000136e-02
4.270000000000000000e+02,1.825325000000000086e+00,3.070300000000000112e-02
4.280000000000000000e+02,1.822972000000000037e+00,3.057500000000000148e-02
4.290000000000000000e+02,1.820656999999999970e+00,3.045899999999999996e-02
4.300000000000000000e+02,1.818378000000000050e+00,3.035300000000000151e-02
4.310000000000000000e+02,1.816135000000000055e+00,3.025699999999999917e-02
4.320000000000000000e+02,1.813925999999999927e+00,3.017200000000000090e-02
4.330000000000000000e+02,1.811750999999999889e+00,3.009600000000000122e-02
4.340000000000000000e+02,1.809609000000000023e+00,3.002900000000000014e-02
4.350000000000000000e+02,1.807498000000000049e+00,2.997100000000000111e-02
4.360000000000000000e+02,1.805417999999999967e+00,2.992099999999999968e-02
4.370000000000000000e+02,1.803368000000000082e+00,2.987899999999999931e-02
4.380000000000000000e+02,1.801347999999999949e+00,2.984600000000000100e-02
4.390000000000000000e+02,1.799355999999999955e+00,2.981999999999999929e-02
4.400000000000000000e+02,1.797390999999999961e+00,2.980100000000000110e-02
4.410000000000000000e+02,1.795454000000000105e+00,2.979000000000000051e-02
4.420000000000000000e+02,1.793543000000000109e+00,2.978599999999999998e-02
4.430000000000000000e+02,1.791657000000000055e+00,2.978799999999999851e-02
4.440000000000000000e+02,1.789797000000000082e+00,2.979700000000000057e-02
4.450000000000000000e+02,1.787960999999999911e+00,2.981200000000000169e-02
4.460000000000000000e+02,1.786148999999999987e+00,2.983399999999999941e-02
4.470000000000000000e+02,1.784361000000000086e+00,2.986099999999999866e-02
4.480000000000000000e+02,1.782594999999999930e+00,2.989400000000000043e-02
4.490000000000000000e+02,1.780850999999999962e+00,2.993300000000000127e-02
4.500000000000000000e+02,1.779130000000000100e+00,2.997800000000000117e-02
4.510000000000000000e+02,1.777428999999999926e+00,3.002799999999999914e-02
4.520000000000000000e+02,1.775749999999999940e+00,3.008299999999999863e-02
4.530000000000000000e+02,1.774089999999999945e+00,3.014299999999999966e-02
4.540000000000000000e+02,1.772450999999999999e+00,3.020799999999999874e-02
4.550000000000000000e+02,1.770831000000000044e+00,3.027799999999999936e-02
4.560000000000000000e+02,1.769230000000000080e+00,3.035300000000000151e-02
4.570000000000000000e+02,1.767648000000000108e+00,3.043300000000000172e-02
4.580000000000000000e+02,1.766083999999999987e+00,3.051699999999999899e-02
4.590000000000000000e+02,1.764537999999999940e+00,3.060500000000000026e-02
4.600000000000000000e+02,1.763009999999999966e+00,3.069799999999999959e-02
4.610000000000000000e+02,1.761498999999999926e+00,3.079499999999999946e-02
4.620000000000000000e+02,1.760005000000000042e+00,3.089700000000000085e-02
4.630000000000000000e+02,1.758528000000000091e+00,3.100199999999999831e-02
4.640000000000000000e+02,1.757066000000000017e+00,3.111099999999999977e-02
4.650000000000000000e+02,1.755621000000000098e+00,3.122399999999999828e-02
4.660000000000000000e+02,1.754191999999999974e+00,3.134100000000000080e-02
4.670000000000000000e+02,1.752777999999999947e+00,3.146199999999999691e-02
4.680000000000000000e+02,1.751379000000000019e+00,3.158699999999999702e-02
4.690000000000000000e+02,1.749994999999999967e+00,3.171500000000000014e-02
4.700000000000000000e+02,1.748625000000000096e+00,3.184599999999999931e-02
4.710000000000000000e+02,1.747270000000000101e+00,3.198100000000000248e-02
4.720000000000000000e+02,1.745929000000000064e+00,3.212000000000000272e-02
4.730000000000000000e+02,1.744601000000000068e+00,3.226099999999999801e-02
4.740000000000000000e+02,1.743287999999999949e+00,3.240599999999999731e-02
4.750000000000000000e+02,1.741986999999999952e+00,3.255399999999999960e-02
4.760000000000000000e+02,1.740699999999999914e+00,3.270599999999999896e-02
4.770000000000000000e+02,1.739425999999999917e+00,3.286000000000000032e-02
4.780000000000000000e+02,1.738164999999999960e+00,3.301699999999999774e-02
4.790000000000000000e+02,1.736915999999999904e+00,3.317799999999999916e-02
4.800000000000000000e+02,1.735679999999999890e+00,3.334100000000000258e-02
4.810000000000000000e+02,1.734455999999999998e+00,3.350700000000000206e-02
4.820000000000000000e+02,1.733244000000000007e+00,3.367599999999999760e-02
4.830000000000000000e+02,1.732042999999999999e+00,3.384800000000000308e-02
4.840000000000000000e+02,1.730855000000000032e+00,3.402199999999999669e-02
4.850000000000000000e+02,1.729678000000000049e+00,3.419900000000000023e-02
4.860000000000000000e+02,1.728512000000000048e+00,3.437799999999999884e-02
4.870000000000000000e+02,1.727357000000000031e+00,3.456100000000000144e-02
4.880000000000000000e+02,1.726212999999999997e+00,3.474499999999999811e-02
4.890000000000000000e+02,1.725079999999999947e+00,3.493199999999999777e-02
4.900000000000000000e+02,1.723958000000000101e+00,3.512200000000000044e-02
4.910000000000000000e+02,1.722847000000000017e+00,3.531399999999999817e-02
4.920000000000000000e+02,1.721745000000000081e+00,3.550799999999999790e-02
4.930000000000000000e+02,1.720653999999999906e+00,3.570399999999999963e-02
4.940000000000000000e+02,1.719573999999999936e+00,3.590299999999999742e-02
4.950000000000000000e+02,1.718502999999999892e+00,3.610300000000000314e-02
4.960000000000000000e+02,1.717441999999999913e+00,3.630599999999999800e-02
4.970000000000000000e+02,1.716391000000000000e+00,3.651100000000000179e-02
4.980000000000000000e+02,1.715349000000000013e+00,3.671900000000000164e-02
4.990000000000000000e+02,1.714317000000000091e+00,3.692800000000000249e-02
5.000000000000000000e+02,1.713295000000000012e+00,3.713899999999999840e-02
5.010000000000000000e+02,1.712280999999999942e+00,3.735200000000000325e-02
5.020000000000000000e+02,1.711276999999999937e+00,3.756600000000000217e-02
5.030000000000000000e+02,1.710282000000000080e+00,3.778299999999999714e-02
5.040000000000000000e+02,1.709295999999999927e+00,3.800200000000000106e-02
