wavelength_nm,n,k
4.000000000000000000e+02,1.951519999999999921e+00,1.250000000000000026e-03
4.010000000000000000e+02,1.950320000000000054e+00,1.260000000000000052e-03
4.020000000000000000e+02,1.949130000000000029e+00,1.270000000000000078e-03
4.030000000000000000e+02,1.947929999999999939e+00,1.289999999999999914e-03
4.040000000000000000e+02,1.946739999999999915e+00,1.299999999999999940e-03
4.050000000000000000e+02,1.945540000000000047e+00,1.309999999999999967e-03
4.060000000000000000e+02,1.944369999999999932e+00,1.319999999999999993e-03
4.070000000000000000e+02,1.943200000000000038e+00,1.330000000000000019e-03
4.080000000000000000e+02,1.942039999999999988e+00,1.350000000000000071e-03
4.090000000000000000e+02,1.940870000000000095e+00,1.360000000000000098e-03
4.100000000000000000e+02,1.939699999999999980e+00,1.369999999999999907e-03
4.110000000000000000e+02,1.938549999999999995e+00,1.379999999999999933e-03
4.120000000000000000e+02,1.937410000000000077e+00,1.399999999999999986e-03
4.130000000000000000e+02,1.936260000000000092e+00,1.410000000000000012e-03
4.140000000000000000e+02,1.935119999999999951e+00,1.430000000000000064e-03
4.150000000000000000e+02,1.933969999999999967e+00,1.440000000000000091e-03
4.160000000000000000e+02,1.932849999999999957e+00,1.449999999999999900e-03
4.170000000000000000e+02,1.931740000000000013e+00,1.459999999999999926e-03
4.180000000000000000e+02,1.930620000000000003e+00,1.479999999999999979e-03
4.190000000000000000e+02,1.929510000000000058e+00,1.490000000000000005e-03
4.200000000000000000e+02,1.928390000000000049e+00,1.500000000000000031e-03
4.210000000000000000e+02,1.927289999999999948e+00,1.510000000000000057e-03
4.220000000000000000e+02,1.926190000000000069e+00,1.529999999999999893e-03
4.230000000000000000e+02,1.925089999999999968e+00,1.539999999999999919e-03
4.240000000000000000e+02,1.923990000000000089e+00,1.559999999999999972e-03
4.250000000000000000e+02,1.922889999999999988e+00,1.569999999999999998e-03
4.260000000000000000e+02,1.921820000000000084e+00,1.590000000000000050e-03
4.270000000000000000e+02,1.920739999999999892e+00,1.600000000000000077e-03
4.280000000000000000e+02,1.919669999999999987e+00,1.619999999999999912e-03
4.290000000000000000e+02,1.918590000000000018e+00,1.629999999999999939e-03
4.300000000000000000e+02,1.917519999999999891e+00,1.649999999999999991e-03
4.310000000000000000e+02,1.916460000000000052e+00,1.660000000000000017e-03
4.320000000000000000e+02,1.915410000000000057e+00,1.680000000000000070e-03
4.330000000000000000e+02,1.914349999999999996e+00,1.690000000000000096e-03
4.340000000000000000e+02,1.913300000000000001e+00,1.709999999999999932e-03
4.350000000000000000e+02,1.912239999999999940e+00,1.719999999999999958e-03
4.360000000000000000e+02,1.911200000000000010e+00,1.740000000000000010e-03
4.370000000000000000e+02,1.910160000000000080e+00,1.750000000000000036e-03
4.380000000000000000e+02,1.909110000000000085e+00,1.770000000000000089e-03
4.390000000000000000e+02,1.908069999999999933e+00,1.779999999999999898e-03
4.400000000000000000e+02,1.907030000000000003e+00,1.799999999999999951e-03
4.410000000000000000e+02,1.906009999999999982e+00,1.820000000000000003e-03
4.420000000000000000e+02,1.904989999999999961e+00,1.830000000000000029e-03
4.430000000000000000e+02,1.903980000000000006e+00,1.850000000000000082e-03
4.440000000000000000e+02,1.902959999999999985e+00,1.860000000000000108e-03
4.450000000000000000e+02,1.901939999999999964e+00,1.879999999999999944e-03
4.460000000000000000e+02,1.900949999999999918e+00,1.899999999999999996e-03
4.470000000000000000e+02,1.899950000000000028e+00,1.910000000000000022e-03
4.480000000000000000e+02,1.898959999999999981e+00,1.930000000000000075e-03
4.490000000000000000e+02,1.897960000000000091e+00,1.940000000000000101e-03
4.500000000000000000e+02,1.896970000000000045e+00,1.959999999999999937e-03
4.510000000000000000e+02,1.895979999999999999e+00,1.979999999999999989e-03
4.520000000000000000e+02,1.894989999999999952e+00,2.000000000000000042e-03
4.530000000000000000e+02,1.894009999999999971e+00,2.010000000000000068e-03
4.540000000000000000e+02,1.893019999999999925e+00,2.030000000000000120e-03
4.550000000000000000e+02,1.892030000000000101e+00,2.050000000000000173e-03
4.560000000000000000e+02,1.891059999999999963e+00,2.069999999999999792e-03
4.570000000000000000e+02,1.890090000000000048e+00,2.089999999999999844e-03
4.580000000000000000e+02,1.889129999999999976e+00,2.099999999999999870e-03
4.590000000000000000e+02,1.888160000000000061e+00,2.119999999999999923e-03
4.600000000000000000e+02,1.887189999999999923e+00,2.139999999999999975e-03
4.610000000000000000e+02,1.886239999999999917e+00,2.160000000000000028e-03
4.620000000000000000e+02,1.885289999999999910e+00,2.180000000000000080e-03
4.630000000000000000e+02,1.884349999999999969e+00,2.190000000000000106e-03
4.640000000000000000e+02,1.883399999999999963e+00,2.210000000000000159e-03
4.650000000000000000e+02,1.882449999999999957e+00,2.230000000000000211e-03
4.660000000000000000e+02,1.881510000000000016e+00,2.249999999999999830e-03
4.670000000000000000e+02,1.880560000000000009e+00,2.269999999999999882e-03
4.680000000000000000e+02,1.879620000000000068e+00,2.289999999999999935e-03
4.690000000000000000e+02,1.878670000000000062e+00,2.309999999999999987e-03
4.700000000000000000e+02,1.877729999999999899e+00,2.330000000000000040e-03
4.710000000000000000e+02,1.876800000000000024e+00,2.350000000000000092e-03
4.720000000000000000e+02,1.875869999999999926e+00,2.370000000000000145e-03
4.730000000000000000e+02,1.874940000000000051e+00,2.390000000000000197e-03
4.740000000000000000e+02,1.874009999999999954e+00,2.409999999999999816e-03
4.750000000000000000e+02,1.873080000000000078e+00,2.429999999999999868e-03
4.760000000000000000e+02,1.872160000000000046e+00,2.449999999999999921e-03
4.770000000000000000e+02,1.871229999999999949e+00,2.469999999999999973e-03
4.780000000000000000e+02,1.870309999999999917e+00,2.500000000000000052e-03
4.790000000000000000e+02,1.869380000000000042e+00,2.520000000000000104e-03
4.800000000000000000e+02,1.868460000000000010e+00,2.540000000000000157e-03
4.810000000000000000e+02,1.867560000000000109e+00,2.560000000000000209e-03
4.820000000000000000e+02,1.866649999999999920e+00,2.579999999999999828e-03
4.830000000000000000e+02,1.865750000000000020e+00,2.599999999999999881e-03
4.840000000000000000e+02,1.864840000000000053e+00,2.619999999999999933e-03
4.850000000000000000e+02,1.863939999999999930e+00,2.639999999999999986e-03
4.860000000000000000e+02,1.863050000000000095e+00,2.660000000000000038e-03
4.870000000000000000e+02,1.862160000000000037e+00,2.690000000000000117e-03
4.880000000000000000e+02,1.861280000000000046e+00,2.710000000000000169e-03
4.890000000000000000e+02,1.860389999999999988e+00,2.739999999999999814e-03
4.900000000000000000e+02,1.859499999999999931e+00,2.759999999999999867e-03
4.910000000000000000e+02,1.858619999999999939e+00,2.779999999999999919e-03
4.920000000000000000e+02,1.857730000000000103e+00,2.799999999999999972e-03
4.930000000000000000e+02,1.856849999999999890e+00,2.830000000000000050e-03
4.940000000000000000e+02,1.855960000000000054e+00,2.850000000000000103e-03
4.950000000000000000e+02,1.855080000000000062e+00,2.870000000000000155e-03
4.960000000000000000e+02,1.854200000000000070e+00,2.890000000000000208e-03
4.970000000000000000e+02,1.853310000000000013e+00,2.919999999999999853e-03
4.980000000000000000e+02,1.852430000000000021e+00,2.939999999999999905e-03
4.990000000000000000e+02,1.851539999999999964e+00,2.969999999999999984e-03
5.000000000000000000e+02,1.850659999999999972e+00,2.990000000000000036e-03
5.010000000000000000e+02,1.849790000000000045e+00,3.020000000000000115e-03
5.020000000000000000e+02,1.848910000000000053e+00,3.040000000000000167e-03
5.030000000000000000e+02,1.848039999999999905e+00,3.069999999999999812e-03
5.040000000000000000e+02,1.847159999999999913e+00,3.089999999999999865e-03
5.050000000000000000e+02,1.846289999999999987e+00,3.119999999999999944e-03
5.060000000000000000e+02,1.845429999999999904e+00,3.150000000000000022e-03
5.070000000000000000e+02,1.844559999999999977e+00,3.170000000000000075e-03
5.080000000000000000e+02,1.843699999999999894e+00,3.200000000000000153e-03
5.090000000000000000e+02,1.842829999999999968e+00,3.220000000000000206e-03
5.100000000000000000e+02,1.841970000000000107e+00,3.249999999999999851e-03
5.110000000000000000e+02,1.841120000000000090e+00,3.279999999999999930e-03
5.120000000000000000e+02,1.840279999999999916e+00,3.299999999999999982e-03
5.130000000000000000e+02,1.839429999999999898e+00,3.330000000000000061e-03
5.140000000000000000e+02,1.838589999999999947e+00,3.350000000000000113e-03
5.150000000000000000e+02,1.837739999999999929e+00,3.380000000000000192e-03
5.160000000000000000e+02,1.836880000000000068e+00,3.409999999999999837e-03
5.170000000000000000e+02,1.836019999999999985e+00,3.439999999999999915e-03
5.180000000000000000e+02,1.835159999999999902e+00,3.459999999999999968e-03
5.190000000000000000e+02,1.834300000000000042e+00,3.490000000000000047e-03
5.200000000000000000e+02,1.833439999999999959e+00,3.520000000000000125e-03
5.210000000000000000e+02,1.832600000000000007e+00,3.550000000000000204e-03
5.220000000000000000e+02,1.831760000000000055e+00,3.579999999999999849e-03
5.230000000000000000e+02,1.830910000000000037e+00,3.609999999999999928e-03
5.240000000000000000e+02,1.830070000000000086e+00,3.640000000000000006e-03
5.250000000000000000e+02,1.829229999999999912e+00,3.670000000000000085e-03
5.260000000000000000e+02,1.828389999999999960e+00,3.700000000000000164e-03
5.270000000000000000e+02,1.827560000000000073e+00,3.729999999999999809e-03
5.280000000000000000e+02,1.826719999999999899e+00,3.759999999999999887e-03
5.290000000000000000e+02,1.825890000000000013e+00,3.789999999999999966e-03
5.300000000000000000e+02,1.825050000000000061e+00,3.820000000000000045e-03
5.310000000000000000e+02,1.824219999999999953e+00,3.850000000000000124e-03
5.320000000000000000e+02,1.823390000000000066e+00,3.880000000000000202e-03
5.330000000000000000e+02,1.822570000000000023e+00,3.910000000000000281e-03
5.340000000000000000e+02,1.821739999999999915e+00,3.939999999999999926e-03
5.350000000000000000e+02,1.820910000000000029e+00,3.969999999999999571e-03
5.360000000000000000e+02,1.820079999999999920e+00,4.000000000000000083e-03
5.370000000000000000e+02,1.819239999999999968e+00,4.029999999999999728e-03
5.380000000000000000e+02,1.818410000000000082e+00,4.069999999999999833e-03
5.390000000000000000e+02,1.817569999999999908e+00,4.100000000000000346e-03
5.400000000000000000e+02,1.816740000000000022e+00,4.129999999999999991e-03
5.410000000000000000e+02,1.815919999999999979e+00,4.159999999999999636e-03
5.420000000000000000e+02,1.815099999999999936e+00,4.199999999999999740e-03
5.430000000000000000e+02,1.814289999999999958e+00,4.230000000000000253e-03
5.440000000000000000e+02,1.813469999999999915e+00,4.270000000000000358e-03
5.450000000000000000e+02,1.812650000000000095e+00,4.300000000000000003e-03
5.460000000000000000e+02,1.811830000000000052e+00,4.329999999999999648e-03
5.470000000000000000e+02,1.811010000000000009e+00,4.369999999999999753e-03
5.480000000000000000e+02,1.810179999999999900e+00,4.400000000000000265e-03
5.490000000000000000e+02,1.809360000000000079e+00,4.440000000000000370e-03
5.500000000000000000e+02,1.808540000000000036e+00,4.470000000000000015e-03
5.510000000000000000e+02,1.807719999999999994e+00,4.510000000000000120e-03
5.520000000000000000e+02,1.806899999999999951e+00,4.539999999999999765e-03
5.530000000000000000e+02,1.806089999999999973e+00,4.579999999999999870e-03
5.540000000000000000e+02,1.805269999999999930e+00,4.610000000000000382e-03
5.550000000000000000e+02,1.804450000000000109e+00,4.649999999999999620e-03
5.560000000000000000e+02,1.803639999999999910e+00,4.689999999999999725e-03
5.570000000000000000e+02,1.802829999999999933e+00,4.720000000000000237e-03
5.580000000000000000e+02,1.802030000000000021e+00,4.760000000000000342e-03
5.590000000000000000e+02,1.801220000000000043e+00,4.789999999999999987e-03
5.600000000000000000e+02,1.800410000000000066e+00,4.830000000000000092e-03
5.610000000000000000e+02,1.799600000000000088e+00,4.870000000000000197e-03
5.620000000000000000e+02,1.798789999999999889e+00,4.910000000000000302e-03
5.630000000000000000e+02,1.797970000000000068e+00,4.939999999999999947e-03
5.640000000000000000e+02,1.797160000000000091e+00,4.980000000000000052e-03
5.650000000000000000e+02,1.796349999999999891e+00,5.020000000000000157e-03
5.660000000000000000e+02,1.795539999999999914e+00,5.060000000000000261e-03
5.670000000000000000e+02,1.794729999999999936e+00,5.100000000000000366e-03
5.680000000000000000e+02,1.793919999999999959e+00,5.139999999999999604e-03
5.690000000000000000e+02,1.793109999999999982e+00,5.179999999999999709e-03
5.700000000000000000e+02,1.792300000000000004e+00,5.219999999999999814e-03
5.710000000000000000e+02,1.791500000000000092e+00,5.259999999999999919e-03
5.720000000000000000e+02,1.790699999999999958e+00,5.300000000000000024e-03
5.730000000000000000e+02,1.789889999999999981e+00,5.349999999999999721e-03
5.740000000000000000e+02,1.789090000000000069e+00,5.389999999999999826e-03
5.750000000000000000e+02,1.788289999999999935e+00,5.429999999999999931e-03
5.760000000000000000e+02,1.787490000000000023e+00,5.470000000000000036e-03
5.770000000000000000e+02,1.786689999999999889e+00,5.510000000000000141e-03
5.780000000000000000e+02,1.785889999999999977e+00,5.559999999999999838e-03
5.790000000000000000e+02,1.785090000000000066e+00,5.599999999999999943e-03
5.800000000000000000e+02,1.784289999999999932e+00,5.640000000000000048e-03
5.810000000000000000e+02,1.783490000000000020e+00,5.680000000000000153e-03
