wavelength_nm,n,k
4.000000000000000000e+02,2.141480000000000050e+00,1.592000000000000012e-02
4.010000000000000000e+02,2.139879999999999782e+00,1.564000000000000112e-02
4.020000000000000000e+02,2.138279999999999959e+00,1.536000000000000039e-02
4.030000000000000000e+02,2.136670000000000069e+00,1.508999999999999925e-02
4.040000000000000000e+02,2.135069999999999801e+00,1.481000000000000025e-02
4.050000000000000000e+02,2.133469999999999978e+00,1.454000000000000084e-02
4.060000000000000000e+02,2.131870000000000154e+00,1.426000000000000011e-02
4.070000000000000000e+02,2.130269999999999886e+00,1.397999999999999937e-02
4.080000000000000000e+02,2.128659999999999997e+00,1.370000000000000037e-02
4.090000000000000000e+02,2.127060000000000173e+00,1.341999999999999964e-02
4.100000000000000000e+02,2.125459999999999905e+00,1.315999999999999982e-02
4.110000000000000000e+02,2.124010000000000176e+00,1.291999999999999919e-02
4.120000000000000000e+02,2.122560000000000002e+00,1.269999999999999948e-02
4.130000000000000000e+02,2.121109999999999829e+00,1.247999999999999977e-02
4.140000000000000000e+02,2.119660000000000100e+00,1.226000000000000006e-02
4.150000000000000000e+02,2.118219999999999992e+00,1.203000000000000076e-02
4.160000000000000000e+02,2.116769999999999818e+00,1.180999999999999932e-02
4.170000000000000000e+02,2.115320000000000089e+00,1.158000000000000002e-02
4.180000000000000000e+02,2.113869999999999916e+00,1.136000000000000031e-02
4.190000000000000000e+02,2.112420000000000186e+00,1.112999999999999927e-02
4.200000000000000000e+02,2.110970000000000013e+00,1.091999999999999915e-02
4.210000000000000000e+02,2.109649999999999803e+00,1.072000000000000036e-02
4.220000000000000000e+02,2.108340000000000103e+00,1.054000000000000076e-02
4.230000000000000000e+02,2.107019999999999893e+00,1.035999999999999942e-02
4.240000000000000000e+02,2.105700000000000127e+00,1.017999999999999981e-02
4.250000000000000000e+02,2.104389999999999983e+00,1.000000000000000021e-02
4.260000000000000000e+02,2.103070000000000217e+00,9.809999999999999276e-03
4.270000000000000000e+02,2.101750000000000007e+00,9.629999999999999671e-03
4.280000000000000000e+02,2.100429999999999797e+00,9.440000000000000474e-03
4.290000000000000000e+02,2.099120000000000097e+00,9.259999999999999135e-03
4.300000000000000000e+02,2.097799999999999887e+00,9.090000000000000857e-03
4.310000000000000000e+02,2.096600000000000019e+00,8.930000000000000437e-03
4.320000000000000000e+02,2.095400000000000151e+00,8.779999999999999610e-03
4.330000000000000000e+02,2.094190000000000218e+00,8.630000000000000518e-03
4.340000000000000000e+02,2.092989999999999906e+00,8.489999999999999283e-03
4.350000000000000000e+02,2.091790000000000038e+00,8.340000000000000191e-03
4.360000000000000000e+02,2.090590000000000170e+00,8.189999999999999364e-03
4.370000000000000000e+02,2.089389999999999858e+00,8.040000000000000271e-03
4.380000000000000000e+02,2.088179999999999925e+00,7.879999999999999852e-03
4.390000000000000000e+02,2.086980000000000057e+00,7.740000000000000352e-03
4.400000000000000000e+02,2.085780000000000189e+00,7.590000000000000392e-03
4.410000000000000000e+02,2.084680000000000089e+00,7.459999999999999618e-03
4.420000000000000000e+02,2.083569999999999922e+00,7.340000000000000170e-03
4.430000000000000000e+02,2.082469999999999821e+00,7.219999999999999855e-03
4.440000000000000000e+02,2.081370000000000164e+00,7.100000000000000408e-03
4.450000000000000000e+02,2.080259999999999998e+00,6.969999999999999633e-03
4.460000000000000000e+02,2.079159999999999897e+00,6.839999999999999726e-03
4.470000000000000000e+02,2.078059999999999796e+00,6.720000000000000279e-03
4.480000000000000000e+02,2.076960000000000139e+00,6.590000000000000371e-03
4.490000000000000000e+02,2.075849999999999973e+00,6.470000000000000057e-03
4.500000000000000000e+02,2.074749999999999872e+00,6.360000000000000202e-03
4.510000000000000000e+02,2.073729999999999851e+00,6.250000000000000347e-03
4.520000000000000000e+02,2.072719999999999896e+00,6.139999999999999625e-03
4.530000000000000000e+02,2.071699999999999875e+00,6.040000000000000230e-03
4.540000000000000000e+02,2.070689999999999920e+00,5.939999999999999968e-03
4.550000000000000000e+02,2.069669999999999899e+00,5.839999999999999705e-03
4.560000000000000000e+02,2.068649999999999878e+00,5.740000000000000310e-03
4.570000000000000000e+02,2.067639999999999922e+00,5.629999999999999588e-03
4.580000000000000000e+02,2.066619999999999902e+00,5.519999999999999733e-03
4.590000000000000000e+02,2.065609999999999946e+00,5.420000000000000338e-03
4.600000000000000000e+02,2.064589999999999925e+00,5.320000000000000076e-03
4.610000000000000000e+02,2.063649999999999984e+00,5.239999999999999866e-03
4.620000000000000000e+02,2.062710000000000043e+00,5.150000000000000064e-03
4.630000000000000000e+02,2.061770000000000103e+00,5.069999999999999854e-03
4.640000000000000000e+02,2.060830000000000162e+00,4.980000000000000052e-03
4.650000000000000000e+02,2.059880000000000155e+00,4.890000000000000249e-03
4.660000000000000000e+02,2.058940000000000214e+00,4.810000000000000039e-03
4.670000000000000000e+02,2.057999999999999829e+00,4.720000000000000237e-03
4.680000000000000000e+02,2.057059999999999889e+00,4.640000000000000027e-03
4.690000000000000000e+02,2.056119999999999948e+00,4.559999999999999817e-03
4.700000000000000000e+02,2.055180000000000007e+00,4.479999999999999608e-03
4.710000000000000000e+02,2.054300000000000015e+00,4.400000000000000265e-03
