wavelength_nm,n,k
4.000000000000000000e+02,2.267536999999999914e+00,5.318799999999999917e-02
4.010000000000000000e+02,2.265225000000000044e+00,5.149100000000000205e-02
4.020000000000000000e+02,2.262916999999999845e+00,4.983800000000000036e-02
4.030000000000000000e+02,2.260613999999999901e+00,4.822800000000000004e-02
4.040000000000000000e+02,2.258316000000000212e+00,4.666000000000000009e-02
4.050000000000000000e+02,2.256024000000000029e+00,4.513400000000000051e-02
4.060000000000000000e+02,2.253738999999999937e+00,4.364900000000000030e-02
4.070000000000000000e+02,2.251459999999999795e+00,4.220499999999999946e-02
4.080000000000000000e+02,2.249188999999999883e+00,4.080099999999999699e-02
4.090000000000000000e+02,2.246926000000000201e+00,3.943599999999999883e-02
4.100000000000000000e+02,2.244670999999999861e+00,3.810999999999999804e-02
4.110000000000000000e+02,2.242426000000000030e+00,3.682300000000000156e-02
4.120000000000000000e+02,2.240190000000000126e+00,3.557400000000000145e-02
4.130000000000000000e+02,2.237964999999999982e+00,3.436199999999999671e-02
4.140000000000000000e+02,2.235749000000000208e+00,3.318800000000000222e-02
4.150000000000000000e+02,2.233546000000000031e+00,3.204900000000000110e-02
4.160000000000000000e+02,2.231352999999999920e+00,3.094699999999999881e-02
4.170000000000000000e+02,2.229172000000000153e+00,2.988000000000000031e-02
4.180000000000000000e+02,2.227003999999999984e+00,2.884799999999999864e-02
4.190000000000000000e+02,2.224848999999999855e+00,2.784999999999999976e-02
4.200000000000000000e+02,2.222706000000000071e+00,2.688600000000000018e-02
4.210000000000000000e+02,2.220578000000000163e+00,2.595599999999999991e-02
4.220000000000000000e+02,2.218463999999999992e+00,2.505900000000000141e-02
4.230000000000000000e+02,2.216364000000000001e+00,2.419500000000000123e-02
4.240000000000000000e+02,2.214280000000000026e+00,2.336200000000000082e-02
4.250000000000000000e+02,2.212210999999999927e+00,2.256100000000000119e-02
4.260000000000000000e+02,2.210157999999999845e+00,2.179100000000000134e-02
4.270000000000000000e+02,2.208121999999999918e+00,2.105200000000000127e-02
4.280000000000000000e+02,2.206102000000000007e+00,2.034400000000000097e-02
4.290000000000000000e+02,2.204099999999999948e+00,1.966499999999999845e-02
4.300000000000000000e+02,2.202116999999999880e+00,1.901500000000000065e-02
4.310000000000000000e+02,2.200152000000000108e+00,1.839500000000000163e-02
4.320000000000000000e+02,2.198205999999999882e+00,1.780299999999999938e-02
