wavelength_nm,n,k
4.000000000000000000e+02,2.362284999999999968e+00,5.906800000000000245e-02
4.010000000000000000e+02,2.358998000000000150e+00,5.753500000000000281e-02
4.020000000000000000e+02,2.355748999999999871e+00,5.605000000000000260e-02
4.030000000000000000e+02,2.352536999999999878e+00,5.460899999999999782e-02
4.040000000000000000e+02,2.349362999999999868e+00,5.321300000000000335e-02
4.050000000000000000e+02,2.346223999999999865e+00,5.185900000000000232e-02
4.060000000000000000e+02,2.343122000000000149e+00,5.054600000000000065e-02
4.070000000000000000e+02,2.340054999999999996e+00,4.927200000000000329e-02
4.080000000000000000e+02,2.337022000000000155e+00,4.803600000000000231e-02
4.090000000000000000e+02,2.334023999999999877e+00,4.683699999999999669e-02
4.100000000000000000e+02,2.331059999999999910e+00,4.567399999999999932e-02
4.110000000000000000e+02,2.328129000000000115e+00,4.454500000000000126e-02
4.120000000000000000e+02,2.325231000000000048e+00,4.344900000000000151e-02
4.130000000000000000e+02,2.322366000000000152e+00,4.238600000000000007e-02
4.140000000000000000e+02,2.319532999999999845e+00,4.135300000000000087e-02
4.150000000000000000e+02,2.316730999999999874e+00,4.034999999999999698e-02
4.160000000000000000e+02,2.313959999999999795e+00,3.937600000000000128e-02
4.170000000000000000e+02,2.311220000000000052e+00,3.843099999999999988e-02
4.180000000000000000e+02,2.308511000000000202e+00,3.751199999999999674e-02
4.190000000000000000e+02,2.305830999999999964e+00,3.661899999999999877e-02
4.200000000000000000e+02,2.303180999999999923e+00,3.575199999999999906e-02
4.210000000000000000e+02,2.300558999999999799e+00,3.490999999999999659e-02
4.220000000000000000e+02,2.297966999999999871e+00,3.409100000000000324e-02
4.230000000000000000e+02,2.295402999999999860e+00,3.329499999999999821e-02
4.240000000000000000e+02,2.292866000000000071e+00,3.252100000000000130e-02
4.250000000000000000e+02,2.290357000000000198e+00,3.176899999999999863e-02
4.260000000000000000e+02,2.287875000000000103e+00,3.103699999999999862e-02
4.270000000000000000e+02,2.285419999999999785e+00,3.032599999999999879e-02
4.280000000000000000e+02,2.282992000000000132e+00,2.963400000000000062e-02
4.290000000000000000e+02,2.280588999999999977e+00,2.896100000000000063e-02
4.300000000000000000e+02,2.278213000000000044e+00,2.830600000000000130e-02
4.310000000000000000e+02,2.275860999999999912e+00,2.767000000000000015e-02
4.320000000000000000e+02,2.273534999999999862e+00,2.705000000000000113e-02
4.330000000000000000e+02,2.271233000000000057e+00,2.644699999999999829e-02
4.340000000000000000e+02,2.268956000000000195e+00,2.586000000000000104e-02
4.350000000000000000e+02,2.266703000000000134e+00,2.528899999999999898e-02
4.360000000000000000e+02,2.264473000000000180e+00,2.473200000000000051e-02
4.370000000000000000e+02,2.262267000000000028e+00,2.419100000000000070e-02
4.380000000000000000e+02,2.260083999999999982e+00,2.366400000000000101e-02
4.390000000000000000e+02,2.257924000000000042e+00,2.315000000000000044e-02
4.400000000000000000e+02,2.255787000000000209e+00,2.264999999999999999e-02
4.410000000000000000e+02,2.253671999999999898e+00,2.216299999999999867e-02
4.420000000000000000e+02,2.251577999999999857e+00,2.168899999999999995e-02
4.430000000000000000e+02,2.249506999999999923e+00,2.122699999999999934e-02
4.440000000000000000e+02,2.247456000000000120e+00,2.077700000000000033e-02
4.450000000000000000e+02,2.245426999999999840e+00,2.033799999999999844e-02
4.460000000000000000e+02,2.243418999999999830e+00,1.991000000000000061e-02
4.470000000000000000e+02,2.241430999999999951e+00,1.949299999999999991e-02
4.480000000000000000e+02,2.239463999999999899e+00,1.908699999999999980e-02
4.490000000000000000e+02,2.237515999999999838e+00,1.869099999999999928e-02
4.500000000000000000e+02,2.235589000000000048e+00,1.830499999999999836e-02
4.510000000000000000e+02,2.233680999999999806e+00,1.792900000000000049e-02
4.520000000000000000e+02,2.231791999999999998e+00,1.756100000000000022e-02
4.530000000000000000e+02,2.229922000000000182e+00,1.720299999999999954e-02
4.540000000000000000e+02,2.228070999999999913e+00,1.685400000000000093e-02
4.550000000000000000e+02,2.226239000000000079e+00,1.651400000000000090e-02
4.560000000000000000e+02,2.224425000000000097e+00,1.618100000000000094e-02
4.570000000000000000e+02,2.222630000000000106e+00,1.585699999999999957e-02
4.580000000000000000e+02,2.220851999999999826e+00,1.554099999999999926e-02
4.590000000000000000e+02,2.219091000000000147e+00,1.523200000000000075e-02
4.600000000000000000e+02,2.217349000000000014e+00,1.493099999999999983e-02
4.610000000000000000e+02,2.215622999999999898e+00,1.463700000000000070e-02
4.620000000000000000e+02,2.213915000000000077e+00,1.434999999999999991e-02
4.630000000000000000e+02,2.212222999999999828e+00,1.406999999999999917e-02
4.640000000000000000e+02,2.210548000000000179e+00,1.379599999999999924e-02
4.650000000000000000e+02,2.208889000000000102e+00,1.352899999999999936e-02
4.660000000000000000e+02,2.207247000000000181e+00,1.326800000000000028e-02
4.670000000000000000e+02,2.205620000000000136e+00,1.301399999999999953e-02
4.680000000000000000e+02,2.204009999999999803e+00,1.276500000000000030e-02
4.690000000000000000e+02,2.202414999999999790e+00,1.252200000000000014e-02
4.700000000000000000e+02,2.200835000000000097e+00,1.228500000000000078e-02
4.710000000000000000e+02,2.199270999999999976e+00,1.205299999999999948e-02
4.720000000000000000e+02,2.197721000000000036e+00,1.182599999999999971e-02
4.730000000000000000e+02,2.196187000000000111e+00,1.160500000000000073e-02
4.740000000000000000e+02,2.194666999999999923e+00,1.138899999999999982e-02
4.750000000000000000e+02,2.193162000000000056e+00,1.117800000000000044e-02
4.760000000000000000e+02,2.191670999999999925e+00,1.097099999999999985e-02
4.770000000000000000e+02,2.190193999999999974e+00,1.076900000000000079e-02
4.780000000000000000e+02,2.188731999999999900e+00,1.057199999999999980e-02
4.790000000000000000e+02,2.187282999999999866e+00,1.037899999999999934e-02
4.800000000000000000e+02,2.185848000000000013e+00,1.018999999999999941e-02
