wavelength_nm,n,k
4.000000000000000000e+02,2.111240000000000006e+00,1.345500000000000029e-01
4.010000000000000000e+02,2.107139999999999791e+00,1.239699999999999969e-01
4.020000000000000000e+02,2.102640000000000065e+00,1.137800000000000061e-01
4.030000000000000000e+02,2.097490000000000077e+00,1.043700000000000044e-01
4.040000000000000000e+02,2.092109999999999914e+00,9.529999999999999583e-02
4.050000000000000000e+02,2.086359999999999992e+00,8.676999999999999991e-02
4.060000000000000000e+02,2.080350000000000144e+00,7.893000000000000016e-02
4.070000000000000000e+02,2.074240000000000084e+00,7.144000000000000350e-02
4.080000000000000000e+02,2.067919999999999980e+00,6.467000000000000526e-02
4.090000000000000000e+02,2.061529999999999863e+00,5.831999999999999684e-02
4.100000000000000000e+02,2.055060000000000109e+00,5.231000000000000233e-02
4.110000000000000000e+02,2.048620000000000108e+00,4.703000000000000236e-02
4.120000000000000000e+02,2.042190000000000172e+00,4.204000000000000098e-02
4.130000000000000000e+02,2.035810000000000120e+00,3.747000000000000330e-02
4.140000000000000000e+02,2.029469999999999885e+00,3.334999999999999770e-02
4.150000000000000000e+02,2.023190000000000044e+00,2.946000000000000008e-02
4.160000000000000000e+02,2.017069999999999919e+00,2.605000000000000024e-02
4.170000000000000000e+02,2.011050000000000004e+00,2.291999999999999940e-02
4.180000000000000000e+02,2.005110000000000170e+00,2.000000000000000042e-02
4.190000000000000000e+02,1.999330000000000052e+00,1.747999999999999901e-02
4.200000000000000000e+02,1.993659999999999988e+00,1.511999999999999976e-02
4.210000000000000000e+02,1.988150000000000084e+00,1.302000000000000032e-02
4.220000000000000000e+02,1.982809999999999961e+00,1.116999999999999937e-02
4.230000000000000000e+02,1.977549999999999919e+00,9.459999999999999659e-03
4.240000000000000000e+02,1.972460000000000102e+00,7.979999999999999247e-03
4.250000000000000000e+02,1.967519999999999936e+00,6.660000000000000121e-03
4.260000000000000000e+02,1.962690000000000046e+00,5.449999999999999983e-03
4.270000000000000000e+02,1.958080000000000043e+00,4.479999999999999608e-03
4.280000000000000000e+02,1.953549999999999898e+00,3.579999999999999849e-03
4.290000000000000000e+02,1.949140000000000095e+00,2.799999999999999972e-03
4.300000000000000000e+02,1.944930000000000048e+00,2.170000000000000054e-03
4.310000000000000000e+02,1.940819999999999990e+00,1.610000000000000103e-03
4.320000000000000000e+02,1.936870000000000092e+00,1.170000000000000033e-03
4.330000000000000000e+02,1.933040000000000092e+00,8.210000000000000067e-04
4.340000000000000000e+02,1.929289999999999949e+00,5.230000000000000274e-04
