wavelength_nm,n,k
4.000000000000000000e+02,1.855890000000000040e+00,2.030000000000000012e-04
4.010000000000000000e+02,1.853990000000000027e+00,1.800000000000000113e-04
4.020000000000000000e+02,1.852130000000000054e+00,1.579999999999999916e-04
4.030000000000000000e+02,1.850309999999999899e+00,1.399999999999999877e-04
4.040000000000000000e+02,1.848530000000000006e+00,1.230000000000000082e-04
4.050000000000000000e+02,1.846789999999999932e+00,1.090000000000000067e-04
4.060000000000000000e+02,1.845080000000000053e+00,9.600000000000000243e-05
4.070000000000000000e+02,1.843399999999999928e+00,8.399999999999999535e-05
4.080000000000000000e+02,1.841760000000000064e+00,7.399999999999999623e-05
4.090000000000000000e+02,1.840149999999999952e+00,6.499999999999999431e-05
4.100000000000000000e+02,1.838570000000000038e+00,5.700000000000000314e-05
4.110000000000000000e+02,1.837020000000000097e+00,5.000000000000000240e-05
4.120000000000000000e+02,1.835490000000000066e+00,4.399999999999999886e-05
4.130000000000000000e+02,1.834000000000000075e+00,3.899999999999999929e-05
4.140000000000000000e+02,1.832529999999999992e+00,3.399999999999999973e-05
4.150000000000000000e+02,1.831090000000000106e+00,3.000000000000000076e-05
4.160000000000000000e+02,1.829669999999999908e+00,2.599999999999999840e-05
4.170000000000000000e+02,1.828279999999999905e+00,2.300000000000000002e-05
4.180000000000000000e+02,1.826910000000000034e+00,2.000000000000000164e-05
4.190000000000000000e+02,1.825560000000000072e+00,1.800000000000000046e-05
4.200000000000000000e+02,1.824240000000000084e+00,1.599999999999999928e-05
4.210000000000000000e+02,1.822940000000000005e+00,1.399999999999999979e-05
4.220000000000000000e+02,1.821660000000000057e+00,1.200000000000000030e-05
4.230000000000000000e+02,1.820400000000000018e+00,1.000000000000000082e-05
4.240000000000000000e+02,1.819160000000000110e+00,9.000000000000000228e-06
4.250000000000000000e+02,1.817939999999999889e+00,7.999999999999999638e-06
4.260000000000000000e+02,1.816740000000000022e+00,6.999999999999999895e-06
4.270000000000000000e+02,1.815549999999999997e+00,6.000000000000000152e-06
