wavelength_nm,n,k
4.300000000000000000e+02,2.422920000000000074e-01,1.935600999999999905e+00
4.310000000000000000e+02,2.414139999999999897e-01,1.945565999999999907e+00
4.320000000000000000e+02,2.405390000000000028e-01,1.955484000000000000e+00
4.330000000000000000e+02,2.396649999999999892e-01,1.965357000000000021e+00
4.340000000000000000e+02,2.387930000000000053e-01,1.975186000000000108e+00
4.350000000000000000e+02,2.379229999999999956e-01,1.984973000000000098e+00
4.360000000000000000e+02,2.370530000000000137e-01,1.994717000000000073e+00
4.370000000000000000e+02,2.361840000000000050e-01,2.004421999999999926e+00
4.380000000000000000e+02,2.353149999999999964e-01,2.014088000000000100e+00
4.390000000000000000e+02,2.344449999999999867e-01,2.023715000000000153e+00
4.400000000000000000e+02,2.335750000000000048e-01,2.033306000000000058e+00
4.410000000000000000e+02,2.327039999999999942e-01,2.042861999999999956e+00
4.420000000000000000e+02,2.318320000000000103e-01,2.052383999999999986e+00
4.430000000000000000e+02,2.309589999999999976e-01,2.061872000000000149e+00
4.440000000000000000e+02,2.300840000000000107e-01,2.071327999999999836e+00
4.450000000000000000e+02,2.292069999999999941e-01,2.080754000000000214e+00
4.460000000000000000e+02,2.283280000000000032e-01,2.090148999999999813e+00
4.470000000000000000e+02,2.274480000000000113e-01,2.099515999999999938e+00
4.480000000000000000e+02,2.265649999999999886e-01,2.108855000000000146e+00
4.490000000000000000e+02,2.256799999999999917e-01,2.118167999999999829e+00
4.500000000000000000e+02,2.247929999999999928e-01,2.127454999999999874e+00
4.510000000000000000e+02,2.239029999999999909e-01,2.136716999999999977e+00
4.520000000000000000e+02,2.230109999999999870e-01,2.145955999999999975e+00
4.530000000000000000e+02,2.221170000000000089e-01,2.155171999999999866e+00
4.540000000000000000e+02,2.212200000000000000e-01,2.164365999999999790e+00
4.550000000000000000e+02,2.203209999999999891e-01,2.173540000000000028e+00
4.560000000000000000e+02,2.194200000000000039e-01,2.182692999999999994e+00
4.570000000000000000e+02,2.185169999999999890e-01,2.191826999999999970e+00
4.580000000000000000e+02,2.176119999999999999e-01,2.200943000000000094e+00
4.590000000000000000e+02,2.167060000000000097e-01,2.210042000000000062e+00
4.600000000000000000e+02,2.157969999999999888e-01,2.219123000000000179e+00
4.610000000000000000e+02,2.148869999999999947e-01,2.228188999999999975e+00
4.620000000000000000e+02,2.139759999999999995e-01,2.237239000000000200e+00
4.630000000000000000e+02,2.130640000000000034e-01,2.246274999999999800e+00
4.640000000000000000e+02,2.121500000000000052e-01,2.255295999999999967e+00
4.650000000000000000e+02,2.112370000000000081e-01,2.264304999999999790e+00
4.660000000000000000e+02,2.103220000000000089e-01,2.273301000000000016e+00
4.670000000000000000e+02,2.094080000000000108e-01,2.282284999999999897e+00
4.680000000000000000e+02,2.084930000000000117e-01,2.291256999999999877e+00
4.690000000000000000e+02,2.075790000000000135e-01,2.300218999999999792e+00
4.700000000000000000e+02,2.066659999999999886e-01,2.309169999999999945e+00
4.710000000000000000e+02,2.057529999999999915e-01,2.318111000000000033e+00
4.720000000000000000e+02,2.048409999999999953e-01,2.327042000000000055e+00
4.730000000000000000e+02,2.039310000000000012e-01,2.335964000000000151e+00
