wavelength_nm,n,k
4.300000000000000000e+02,4.571999999999999675e-02,2.473205888904645988e+00
4.310000000000000000e+02,4.559508030057349282e-02,2.483356530419505326e+00
4.320000000000000000e+02,4.547148261149219772e-02,2.493526755692103247e+00
4.330000000000000000e+02,4.534903782049553439e-02,2.503712710564631738e+00
4.340000000000000000e+02,4.522757681532292573e-02,2.513910540879283229e+00
4.350000000000000000e+02,4.510693048371379466e-02,2.524116392478249704e+00
4.360000000000000000e+02,4.498692971340756408e-02,2.534326411203723595e+00
4.370000000000000000e+02,4.486740539214364304e-02,2.544536742897897774e+00
4.380000000000000000e+02,4.474818840766146832e-02,2.554743533402963340e+00
4.390000000000000000e+02,4.462910964770044203e-02,2.564942928561113611e+00
4.400000000000000000e+02,4.451000000000000095e-02,2.575131074214540128e+00
4.410000000000000000e+02,4.439069035229956106e-02,2.585304116205435765e+00
4.420000000000000000e+02,4.427101159233853833e-02,2.595458200375992508e+00
4.430000000000000000e+02,4.415079460785635568e-02,2.605589472568402787e+00
4.440000000000000000e+02,4.402987028659243601e-02,2.615694078624858587e+00
4.450000000000000000e+02,4.390806951628620225e-02,2.625768164387552783e+00
4.460000000000000000e+02,4.378522318467707036e-02,2.635807875698676916e+00
4.470000000000000000e+02,4.366116217950446327e-02,2.645809358400423417e+00
4.480000000000000000e+02,4.353571738850780387e-02,2.655768758334985158e+00
4.490000000000000000e+02,4.340871969942650815e-02,2.665683071065164000e+00
4.500000000000000000e+02,4.327999999999999903e-02,2.675552782429676757e+00
4.510000000000000000e+02,4.314951829022827673e-02,2.685379274295623730e+00
4.520000000000000000e+02,4.301775101915365773e-02,2.695163928530708297e+00
4.530000000000000000e+02,4.288530374807904277e-02,2.704908127002634277e+00
4.540000000000000000e+02,4.275278203830731871e-02,2.714613251579105491e+00
4.550000000000000000e+02,4.262079145114139322e-02,2.724280684127825314e+00
4.560000000000000000e+02,4.248993754788415317e-02,2.733911806516497567e+00
4.570000000000000000e+02,4.236082588983849928e-02,2.743508000612826070e+00
4.580000000000000000e+02,4.223406203830731842e-02,2.753070648284514199e+00
4.590000000000000000e+02,4.211025155459352520e-02,2.762601131399266219e+00
4.600000000000000000e+02,4.198999999999999955e-02,2.772100831824785061e+00
4.610000000000000000e+02,4.187389648678732645e-02,2.781571131428774990e+00
4.620000000000000000e+02,4.176246433104682104e-02,2.791013412078939382e+00
4.630000000000000000e+02,4.165621039982746882e-02,2.800429055642982057e+00
4.640000000000000000e+02,4.155564156017827609e-02,2.809819443988606391e+00
4.650000000000000000e+02,4.146126467914822145e-02,2.819185949443779649e+00
4.660000000000000000e+02,4.137358662378631813e-02,2.828529895669172234e+00
4.670000000000000000e+02,4.129311426114154471e-02,2.837852590845860501e+00
4.680000000000000000e+02,4.122035445826290750e-02,2.847155343148449536e+00
4.690000000000000000e+02,4.115581408219939202e-02,2.856439460751542203e+00
4.700000000000000000e+02,4.109999999999999765e-02,2.865706251829742257e+00
4.710000000000000000e+02,4.105321576262240674e-02,2.874957024557653895e+00
4.720000000000000000e+02,4.101495165665905440e-02,2.884193087109880427e+00
4.730000000000000000e+02,4.098449465261106567e-02,2.893415747661025605e+00
4.740000000000000000e+02,4.096113172097957250e-02,2.902626314385693629e+00
4.750000000000000000e+02,4.094414983226569993e-02,2.911826095458487806e+00
4.760000000000000000e+02,4.093283595697056604e-02,2.921016399054011892e+00
4.770000000000000000e+02,4.092647706559530973e-02,2.930198533346869638e+00
4.780000000000000000e+02,4.092436012864104217e-02,2.939373806511665244e+00
4.790000000000000000e+02,4.092577211660889530e-02,2.948543526723002017e+00
4.800000000000000000e+02,4.093000000000000110e-02,2.957709002155483269e+00
4.810000000000000000e+02,4.093632046272303870e-02,2.966871191179637268e+00
4.820000000000000000e+02,4.094396904231695222e-02,2.976028826150536322e+00
4.830000000000000000e+02,4.095217098972824682e-02,2.985179766779941790e+00
4.840000000000000000e+02,4.096015155590342072e-02,2.994321870731499136e+00
4.850000000000000000e+02,4.096713599178897214e-02,3.003452995668855596e+00
4.860000000000000000e+02,4.097234954833140624e-02,3.012570999255657078e+00
4.870000000000000000e+02,4.097501747647722126e-02,3.021673739155550376e+00
4.880000000000000000e+02,4.097436502717292928e-02,3.030759073032181838e+00
4.890000000000000000e+02,4.096961745136502159e-02,3.039824858549197817e+00
4.900000000000000000e+02,4.096000000000000335e-02,3.048868953370244217e+00
4.910000000000000000e+02,4.094503238648544013e-02,3.057889215158968721e+00
4.920000000000000000e+02,4.092541217407313220e-02,3.066883501579016347e+00
4.930000000000000000e+02,4.090213138847595409e-02,3.075849670294034333e+00
4.940000000000000000e+02,4.087618205540676647e-02,3.084785578967669029e+00
4.950000000000000000e+02,4.084855620057843695e-02,3.093689085263566785e+00
4.960000000000000000e+02,4.082024584970383313e-02,3.102558046845373507e+00
4.970000000000000000e+02,4.079224302849581568e-02,3.111390704472801527e+00
4.980000000000000000e+02,4.076553976266726609e-02,3.120188365513516526e+00
4.990000000000000000e+02,4.074112807793103808e-02,3.128953809588090440e+00
5.000000000000000000e+02,4.071999999999999925e-02,3.137689825634719210e+00
5.010000000000000000e+02,4.070301999133521531e-02,3.146399202591598776e+00
5.020000000000000000e+02,4.069054226139052349e-02,3.155084729396925525e+00
5.030000000000000000e+02,4.068279345636795219e-02,3.163749194988895397e+00
5.040000000000000000e+02,4.068000022246952979e-02,3.172395388305703889e+00
5.050000000000000000e+02,4.068238920589729857e-02,3.181026098285546944e+00
5.060000000000000000e+02,4.069018705285327997e-02,3.189644113866620945e+00
5.070000000000000000e+02,4.070362040953950933e-02,3.198252223987121834e+00
5.080000000000000000e+02,4.072291592215802197e-02,3.206853217585245552e+00
5.090000000000000000e+02,4.074830023691083936e-02,3.215449883599188041e+00
5.100000000000000000e+02,4.077999999999999681e-02,3.224045010967144798e+00
5.110000000000000000e+02,4.081798764817369529e-02,3.232641388627312207e+00
5.120000000000000000e+02,4.086121878036477056e-02,3.241241805517886210e+00
5.130000000000000000e+02,4.090839478605223095e-02,3.249848884794699355e+00
5.140000000000000000e+02,4.095821705471509172e-02,3.258463558454792519e+00
5.150000000000000000e+02,4.100938697583235426e-02,3.267085769970075049e+00
5.160000000000000000e+02,4.106060593888303384e-02,3.275715450386750494e+00
5.170000000000000000e+02,4.111057533334612490e-02,3.284352530751022847e+00
5.180000000000000000e+02,4.115799654870064966e-02,3.292996942109096103e+00
5.190000000000000000e+02,4.120157097442560257e-02,3.301648615507173812e+00
5.200000000000000000e+02,4.123999999999999888e-02,3.310307481991460854e+00
5.210000000000000000e+02,4.127229941596999990e-02,3.318973472608160336e+00
5.220000000000000000e+02,4.129874261715038575e-02,3.327646518403476694e+00
5.230000000000000000e+02,4.131991739942310338e-02,3.336326550423613480e+00
5.240000000000000000e+02,4.133641155867007894e-02,3.345013499714774685e+00
5.250000000000000000e+02,4.134881289077325939e-02,3.353707297323164749e+00
5.260000000000000000e+02,4.135770919161457781e-02,3.362407874294987220e+00
5.270000000000000000e+02,4.136368825707597424e-02,3.371115161676446537e+00
5.280000000000000000e+02,4.136733788303938175e-02,3.379829090513745804e+00
5.290000000000000000e+02,4.136924586538674037e-02,3.388549489271169168e+00
5.300000000000000000e+02,4.136999999999999705e-02,3.397274827732048141e+00
5.310000000000000000e+02,4.137034468794629355e-02,3.406002613159657244e+00
5.320000000000000000e+02,4.137165075103366868e-02,3.414730332430768733e+00
5.330000000000000000e+02,4.137544561625534217e-02,3.423455472422153090e+00
5.340000000000000000e+02,4.138325671060457539e-02,3.432175520010582570e+00
5.350000000000000000e+02,4.139661146107459500e-02,3.440887962072828099e+00
5.360000000000000000e+02,4.141703729465864847e-02,3.449590285485661489e+00
5.370000000000000000e+02,4.144606163834997636e-02,3.458279977125854110e+00
5.380000000000000000e+02,4.148521191914181921e-02,3.466954523870177329e+00
5.390000000000000000e+02,4.153601556402741063e-02,3.475611412595402516e+00
5.400000000000000000e+02,4.159999999999999809e-02,3.484248130178301928e+00
5.410000000000000000e+02,4.167776183224480152e-02,3.492862163495645600e+00
