wavelength_nm,n,k
4.300000000000000000e+02,2.014515999999999973e+00,5.899999999999999754e-05
4.310000000000000000e+02,2.011130999999999780e+00,4.699999999999999724e-05
4.320000000000000000e+02,2.007839000000000151e+00,3.699999999999999811e-05
4.330000000000000000e+02,2.004636000000000084e+00,3.000000000000000076e-05
4.340000000000000000e+02,2.001517999999999908e+00,2.400000000000000061e-05
4.350000000000000000e+02,1.998480999999999952e+00,1.900000000000000105e-05
4.360000000000000000e+02,1.995519999999999960e+00,1.500000000000000038e-05
4.370000000000000000e+02,1.992633000000000099e+00,1.200000000000000030e-05
4.380000000000000000e+02,1.989814999999999889e+00,1.000000000000000082e-05
4.390000000000000000e+02,1.987063999999999941e+00,7.999999999999999638e-06
4.400000000000000000e+02,1.984377999999999975e+00,6.999999999999999895e-06
4.410000000000000000e+02,1.981753000000000098e+00,6.000000000000000152e-06
4.420000000000000000e+02,1.979187000000000030e+00,5.000000000000000409e-06
4.430000000000000000e+02,1.976677000000000017e+00,3.999999999999999819e-06
4.440000000000000000e+02,1.974221999999999921e+00,3.000000000000000076e-06
4.450000000000000000e+02,1.971818999999999988e+00,3.000000000000000076e-06
4.460000000000000000e+02,1.969467000000000079e+00,1.999999999999999909e-06
4.470000000000000000e+02,1.967163999999999913e+00,1.999999999999999909e-06
4.480000000000000000e+02,1.964906999999999959e+00,1.999999999999999909e-06
4.490000000000000000e+02,1.962695000000000078e+00,1.999999999999999909e-06
4.500000000000000000e+02,1.960528000000000048e+00,9.999999999999999547e-07
4.510000000000000000e+02,1.958401999999999976e+00,9.999999999999999547e-07
4.520000000000000000e+02,1.956318000000000001e+00,9.999999999999999547e-07
4.530000000000000000e+02,1.954272999999999927e+00,9.999999999999999547e-07
4.540000000000000000e+02,1.952266000000000057e+00,9.999999999999999547e-07
4.550000000000000000e+02,1.950296000000000030e+00,9.999999999999999547e-07
4.560000000000000000e+02,1.948361999999999927e+00,9.999999999999999547e-07
4.570000000000000000e+02,1.946463000000000054e+00,9.999999999999999547e-07
4.580000000000000000e+02,1.944598000000000049e+00,9.999999999999999547e-07
4.590000000000000000e+02,1.942765999999999993e+00,9.999999999999999547e-07
4.600000000000000000e+02,1.940965999999999969e+00,9.999999999999999547e-07
4.610000000000000000e+02,1.939197000000000060e+00,0.000000000000000000e+00
4.620000000000000000e+02,1.937456999999999985e+00,0.000000000000000000e+00
