wavelength_nm,n,k
4.300000000000000000e+02,2.250070000000000014e+00,4.095000000000000029e-02
4.310000000000000000e+02,2.247539999999999871e+00,3.951999999999999957e-02
4.320000000000000000e+02,2.245029999999999859e+00,3.814000000000000029e-02
4.330000000000000000e+02,2.242519999999999847e+00,3.679999999999999938e-02
4.340000000000000000e+02,2.240019999999999900e+00,3.550999999999999990e-02
4.350000000000000000e+02,2.237540000000000084e+00,3.427000000000000185e-02
4.360000000000000000e+02,2.235059999999999825e+00,3.307000000000000217e-02
4.370000000000000000e+02,2.232600000000000140e+00,3.191999999999999699e-02
4.380000000000000000e+02,2.230160000000000142e+00,3.081000000000000058e-02
4.390000000000000000e+02,2.227730000000000210e+00,2.974999999999999867e-02
4.400000000000000000e+02,2.225319999999999965e+00,2.872999999999999859e-02
4.410000000000000000e+02,2.222929999999999851e+00,2.775000000000000036e-02
4.420000000000000000e+02,2.220549999999999802e+00,2.682000000000000009e-02
4.430000000000000000e+02,2.218199999999999950e+00,2.593000000000000166e-02
4.440000000000000000e+02,2.215869999999999784e+00,2.509000000000000119e-02
4.450000000000000000e+02,2.213569999999999816e+00,2.427999999999999950e-02
4.460000000000000000e+02,2.211300000000000043e+00,2.351999999999999924e-02
4.470000000000000000e+02,2.209070000000000089e+00,2.280000000000000082e-02
4.480000000000000000e+02,2.206879999999999953e+00,2.210000000000000159e-02
4.490000000000000000e+02,2.204720000000000013e+00,2.142000000000000154e-02
4.500000000000000000e+02,2.202599999999999891e+00,2.075000000000000108e-02
4.510000000000000000e+02,2.200489999999999835e+00,2.009999999999999981e-02
4.520000000000000000e+02,2.198409999999999975e+00,1.947000000000000119e-02
4.530000000000000000e+02,2.196359999999999868e+00,1.885999999999999829e-02
4.540000000000000000e+02,2.194319999999999826e+00,1.825999999999999845e-02
4.550000000000000000e+02,2.192299999999999915e+00,1.767000000000000168e-02
4.560000000000000000e+02,2.190300000000000136e+00,1.710000000000000062e-02
4.570000000000000000e+02,2.188320000000000043e+00,1.655999999999999833e-02
4.580000000000000000e+02,2.186350000000000016e+00,1.601999999999999952e-02
4.590000000000000000e+02,2.184400000000000119e+00,1.549999999999999989e-02
4.600000000000000000e+02,2.182469999999999910e+00,1.499999999999999944e-02
4.610000000000000000e+02,2.180559999999999832e+00,1.451999999999999992e-02
4.620000000000000000e+02,2.178659999999999819e+00,1.404999999999999999e-02
4.630000000000000000e+02,2.176779999999999937e+00,1.358999999999999965e-02
