quantity,x,HATCN 5 / Ag 7,HATCN 5 / Ag 8,TCO 50 k=0.01,TCO 50 k=0.03,TCO 50 k=0.05,TCO 50 k=0.10
A_vs_wavelength_pct_at_0deg,400,8.4765,7.6060,1.6907,4.9600,8.0858,15.3177
A_vs_wavelength_pct_at_0deg,405,7.8115,7.4548,1.6050,4.7133,7.6914,14.6054
A_vs_wavelength_pct_at_0deg,410,7.4648,6.9958,1.5238,4.4794,7.3168,13.9262
A_vs_wavelength_pct_at_0deg,415,6.9413,6.7311,1.4472,4.2583,6.9620,13.2801
A_vs_wavelength_pct_at_0deg,420,6.3222,6.0405,1.3751,4.0496,6.6266,12.6671
A_vs_wavelength_pct_at_0deg,425,5.8857,5.7935,1.3072,3.8530,6.3102,12.0867
A_vs_wavelength_pct_at_0deg,430,5.6620,5.5676,1.2435,3.6683,6.0124,11.5385
A_vs_wavelength_pct_at_0deg,435,5.2538,5.1620,1.1838,3.4949,5.7326,11.0217
A_vs_wavelength_pct_at_0deg,440,4.8858,4.8135,1.1280,3.3325,5.4702,10.5353
A_vs_wavelength_pct_at_0deg,445,4.7178,4.6125,1.0759,3.1806,5.2244,10.0785
A_vs_wavelength_pct_at_0deg,450,4.3619,4.3331,1.0272,3.0388,4.9946,9.6500
A_vs_wavelength_pct_at_0deg,455,4.1889,4.0834,0.9819,2.9065,4.7800,9.2490
A_vs_wavelength_pct_at_0deg,460,4.0235,3.7155,0.9398,2.7833,4.5800,8.8740
A_vs_wavelength_pct_at_0deg,465,3.7670,3.6179,0.9006,2.6688,4.3938,8.5241
A_vs_wavelength_pct_at_0deg,470,3.5459,3.4166,0.8643,2.5624,4.2207,8.1979
A_vs_wavelength_pct_at_0deg,475,3.3150,3.2142,0.8306,2.4637,4.0599,7.8945
A_vs_wavelength_pct_at_0deg,480,3.1310,3.0920,0.7995,2.3723,3.9109,7.6124
A_vs_wavelength_pct_at_0deg,485,2.9579,2.9289,0.7707,2.2877,3.7729,7.3508
