wavelength_nm,T_#2,T_rel_#2,R_#2,A_#2,T_#3,T_rel_#3,R_#3,A_#3,T_이상적,T_rel_이상적,R_이상적,A_이상적
400,0.6536,0.6827,0.2400,0.1063,0.6579,0.6872,0.2382,0.1038,0.6852,0.7157,0.2914,0.0234
401,0.6525,0.6815,0.2414,0.1061,0.6568,0.6860,0.2396,0.1035,0.6831,0.7135,0.2937,0.0233
402,0.6514,0.6803,0.2428,0.1058,0.6557,0.6849,0.2410,0.1032,0.6809,0.7112,0.2959,0.0232
403,0.6503,0.6792,0.2442,0.1055,0.6547,0.6838,0.2424,0.1029,0.6787,0.7089,0.2981,0.0231
404,0.6492,0.6780,0.2456,0.1052,0.6536,0.6826,0.2438,0.1026,0.6766,0.7067,0.3004,0.0231
405,0.6481,0.6769,0.2470,0.1049,0.6525,0.6815,0.2452,0.1023,0.6744,0.7044,0.3026,0.0230
406,0.6470,0.6757,0.2484,0.1047,0.6514,0.6804,0.2466,0.1019,0.6723,0.7022,0.3048,0.0230
407,0.6459,0.6746,0.2498,0.1044,0.6504,0.6793,0.2480,0.1016,0.6701,0.6999,0.3070,0.0229
408,0.6448,0.6735,0.2511,0.1041,0.6493,0.6782,0.2494,0.1013,0.6680,0.6977,0.3091,0.0229
409,0.6437,0.6724,0.2525,0.1038,0.6482,0.6771,0.2508,0.1010,0.6658,0.6955,0.3113,0.0228
410,0.6427,0.6713,0.2539,0.1035,0.6472,0.6760,0.2522,0.1006,0.6637,0.6932,0.3135,0.0228
411,0.6416,0.6702,0.2552,0.1031,0.6461,0.6749,0.2535,0.1003,0.6616,0.6910,0.3157,0.0227
412,0.6406,0.6691,0.2566,0.1028,0.6451,0.6738,0.2549,0.1000,0.6594,0.6887,0.3179,0.0227
413,0.6395,0.6680,0.2580,0.1025,0.6441,0.6727,0.2563,0.0996,0.6573,0.6865,0.3201,0.0226
414,0.6385,0.6669,0.2593,0.1022,0.6430,0.6716,0.2577,0.0993,0.6552,0.6843,0.3223,0.0225
415,0.6375,0.6658,0.2607,0.1019,0.6420,0.6706,0.2590,0.0989,0.6530,0.6821,0.3245,0.0225
416,0.6364,0.6647,0.2620,0.1015,0.6410,0.6695,0.2604,0.0986,0.6509,0.6799,0.3267,0.0224
417,0.6354,0.6637,0.2634,0.1012,0.6400,0.6684,0.2618,0.0982,0.6488,0.6777,0.3288,0.0223
418,0.6344,0.6626,0.2647,0.1009,0.6390,0.6674,0.2631,0.0979,0.6468,0.6756,0.3310,0.0222
419,0.6334,0.6616,0.2661,0.1005,0.6380,0.6663,0.2645,0.0975,0.6447,0.6734,0.3331,0.0222
420,0.6324,0.6605,0.2674,0.1002,0.6370,0.6653,0.2659,0.0972,0.6427,0.6713,0.3352,0.0221
421,0.6314,0.6595,0.2687,0.0999,0.6360,0.6642,0.2672,0.0968,0.6408,0.6693,0.3372,0.0220
422,0.6304,0.6584,0.2701,0.0995,0.6350,0.6632,0.2686,0.0965,0.6388,0.6672,0.3393,0.0219
423,0.6294,0.6574,0.2714,0.0991,0.6340,0.6622,0.2699,0.0961,0.6369,0.6652,0.3413,0.0218
424,0.6284,0.6564,0.2728,0.0988,0.6330,0.6611,0.2713,0.0957,0.6350,0.6632,0.3433,0.0218
425,0.6275,0.6554,0.2741,0.0984,0.6320,0.6601,0.2726,0.0954,0.6331,0.6612,0.3453,0.0217
426,0.6265,0.6543,0.2755,0.0981,0.6310,0.6591,0.2740,0.0950,0.6312,0.6592,0.3472,0.0216
427,0.6255,0.6533,0.2768,0.0977,0.6300,0.6581,0.2754,0.0946,0.6293,0.6573,0.3492,0.0215
428,0.6245,0.6523,0.2781,0.0973,0.6291,0.6570,0.2767,0.0942,0.6274,0.6553,0.3512,0.0214
429,0.6236,0.6513,0.2795,0.0970,0.6281,0.6560,0.2781,0.0939,0.6255,0.6533,0.3532,0.0214
430,0.6226,0.6503,0.2808,0.0966,0.6271,0.6550,0.2794,0.0935,0.6236,0.6513,0.3551,0.0213
431,0.6216,0.6493,0.2821,0.0962,0.6261,0.6540,0.2808,0.0931,0.6216,0.6493,0.3571,0.0212
432,0.6207,0.6483,0.2835,0.0958,0.6252,0.6530,0.2821,0.0927,0.6197,0.6473,0.3592,0.0211
433,0.6197,0.6473,0.2848,0.0955,0.6242,0.6520,0.2835,0.0923,0.6178,0.6452,0.3612,0.0211
434,0.6188,0.6463,0.2862,0.0951,0.6232,0.6509,0.2848,0.0919,0.6158,0.6432,0.3632,0.0210
435,0.6178,0.6453,0.2875,0.0947,0.6223,0.6499,0.2862,0.0916,0.6138,0.6411,0.3652,0.0209
436,0.6169,0.6443,0.2888,0.0943,0.6213,0.6489,0.2875,0.0912,0.6119,0.6391,0.3673,0.0209
437,0.6159,0.6433,0.2902,0.0939,0.6203,0.6479,0.2889,0.0908,0.6099,0.6371,0.3693,0.0208
438,0.6150,0.6423,0.2915,0.0935,0.6194,0.6469,0.2902,0.0904,0.6080,0.6351,0.3712,0.0207
439,0.6140,0.6413,0.2929,0.0931,0.6184,0.6459,0.2916,0.0900,0.6061,0.6331,0.3732,0.0207
440,0.6131,0.6403,0.2942,0.0927,0.6175,0.6449,0.2930,0.0896,0.6042,0.6311,0.3752,0.0206
441,0.6121,0.6393,0.2955,0.0923,0.6165,0.6439,0.2943,0.0892,0.6023,0.6291,0.3771,0.0206
442,0.6112,0.6384,0.2969,0.0919,0.6155,0.6429,0.2957,0.0888,0.6005,0.6272,0.3790,0.0205
443,0.6102,0.6374,0.2982,0.0915,0.6146,0.6419,0.2970,0.0884,0.5987,0.6253,0.3808,0.0205
444,0.6093,0.6364,0.2996,0.0911,0.6136,0.6409,0.2984,0.0880,0.5969,0.6234,0.3827,0.0205
445,0.6083,0.6354,0.3009,0.0907,0.6126,0.6399,0.2997,0.0876,0.5951,0.6215,0.3845,0.0204
446,0.6074,0.6344,0.3023,0.0903,0.6117,0.6389,0.3011,0.0872,0.5933,0.6196,0.3863,0.0204
447,0.6064,0.6334,0.3036,0.0899,0.6107,0.6379,0.3025,0.0868,0.5915,0.6178,0.3881,0.0204
448,0.6055,0.6324,0.3050,0.0895,0.6098,0.6369,0.3038,0.0864,0.5897,0.6159,0.3900,0.0204
449,0.6045,0.6314,0.3063,0.0891,0.6088,0.6359,0.3052,0.0860,0.5879,0.6141,0.3918,0.0203
450,0.6036,0.6304,0.3077,0.0887,0.6078,0.6349,0.3065,0.0856,0.5861,0.6122,0.3936,0.0203
451,0.6026,0.6294,0.3090,0.0883,0.6069,0.6338,0.3079,0.0852,0.5843,0.6103,0.3954,0.0203
452,0.6017,0.6284,0.3104,0.0879,0.6059,0.6328,0.3093,0.0848,0.5825,0.6084,0.3972,0.0203
453,0.6007,0.6274,0.3117,0.0875,0.6049,0.6318,0.3106,0.0844,0.5807,0.6065,0.3990,0.0202
454,0.5998,0.6264,0.3131,0.0871,0.6039,0.6308,0.3120,0.0841,0.5789,0.6047,0.4009,0.0202
