wavelength_nm,T_Ag 8 nm 연속막,R_Ag 8 nm 연속막,A_Ag 8 nm 연속막,T_Ag 15 nm 연속막,R_Ag 15 nm 연속막,A_Ag 15 nm 연속막,"T_Ag 8 nm 상당 island막 (MG, f=0.5, 16 nm)","R_Ag 8 nm 상당 island막 (MG, f=0.5, 16 nm)","A_Ag 8 nm 상당 island막 (MG, f=0.5, 16 nm)"
400,0.8601,0.1245,0.0154,0.6914,0.2833,0.0254,0.0693,0.7577,0.1730
401,0.8595,0.1250,0.0154,0.6900,0.2846,0.0254,0.0610,0.7641,0.1749
402,0.8590,0.1256,0.0154,0.6887,0.2860,0.0254,0.0532,0.7700,0.1768
403,0.8584,0.1261,0.0155,0.6873,0.2873,0.0253,0.0460,0.7752,0.1787
404,0.8579,0.1267,0.0155,0.6860,0.2887,0.0253,0.0395,0.7798,0.1808
405,0.8573,0.1272,0.0155,0.6846,0.2900,0.0253,0.0335,0.7836,0.1830
406,0.8567,0.1278,0.0155,0.6833,0.2914,0.0253,0.0281,0.7866,0.1853
407,0.8562,0.1283,0.0155,0.6819,0.2927,0.0253,0.0234,0.7887,0.1879
408,0.8556,0.1289,0.0155,0.6806,0.2941,0.0253,0.0193,0.7899,0.1909
409,0.8550,0.1294,0.0156,0.6792,0.2955,0.0253,0.0158,0.7899,0.1943
410,0.8544,0.1300,0.0156,0.6779,0.2968,0.0253,0.0129,0.7888,0.1984
411,0.8539,0.1306,0.0156,0.6765,0.2982,0.0253,0.0106,0.7862,0.2032
412,0.8533,0.1311,0.0156,0.6751,0.2996,0.0253,0.0089,0.7821,0.2089
413,0.8527,0.1317,0.0156,0.6738,0.3009,0.0253,0.0078,0.7764,0.2158
414,0.8522,0.1322,0.0155,0.6726,0.3023,0.0251,0.0072,0.7701,0.2227
415,0.8519,0.1328,0.0153,0.6715,0.3037,0.0248,0.0073,0.7624,0.2303
416,0.8515,0.1333,0.0152,0.6704,0.3051,0.0245,0.0082,0.7533,0.2385
417,0.8511,0.1339,0.0150,0.6693,0.3065,0.0242,0.0104,0.7436,0.2460
418,0.8507,0.1344,0.0148,0.6682,0.3079,0.0239,0.0143,0.7348,0.2509
419,0.8503,0.1350,0.0147,0.6671,0.3093,0.0236,0.0203,0.7288,0.2509
420,0.8499,0.1356,0.0145,0.6660,0.3107,0.0233,0.0283,0.7268,0.2449
421,0.8495,0.1361,0.0143,0.6649,0.3121,0.0230,0.0379,0.7286,0.2335
422,0.8491,0.1367,0.0142,0.6637,0.3136,0.0227,0.0482,0.7328,0.2190
423,0.8488,0.1373,0.0140,0.6626,0.3150,0.0224,0.0588,0.7374,0.2038
424,0.8484,0.1378,0.0138,0.6615,0.3164,0.0221,0.0693,0.7413,0.1895
