wavelength_nm,T_Palik_연속_8nm,R_Palik_연속_8nm,A_Palik_연속_8nm,T_Palik_연속_15nm,R_Palik_연속_15nm,A_Palik_연속_15nm,T_Palik_island_f0.5,R_Palik_island_f0.5,A_Palik_island_f0.5,T_Palik_island_f0.3,R_Palik_island_f0.3,A_Palik_island_f0.3,T_McPeak_연속_8nm,R_McPeak_연속_8nm,A_McPeak_연속_8nm,T_McPeak_연속_15nm,R_McPeak_연속_15nm,A_McPeak_연속_15nm,T_McPeak_island_f0.5,R_McPeak_island_f0.5,A_McPeak_island_f0.5,T_McPeak_island_f0.3,R_McPeak_island_f0.3,A_McPeak_island_f0.3
400,0.8368,0.1149,0.0483,0.6761,0.2445,0.0793,0.2465,0.4366,0.3170,0.2734,0.3503,0.3763,0.8582,0.1275,0.0143,0.6852,0.2914,0.0234,0.0414,0.7917,0.1669,0.5808,0.3282,0.0910
401,0.8360,0.1157,0.0483,0.6743,0.2465,0.0793,0.2342,0.4444,0.3214,0.2892,0.3450,0.3658,0.8573,0.1284,0.0142,0.6831,0.2937,0.0233,0.0327,0.7983,0.1691,0.5960,0.3173,0.0867
402,0.8351,0.1165,0.0485,0.6722,0.2484,0.0793,0.2220,0.4519,0.3260,0.3057,0.3391,0.3552,0.8564,0.1293,0.0142,0.6809,0.2959,0.0232,0.0252,0.8032,0.1716,0.6105,0.3069,0.0826
403,0.8341,0.1173,0.0486,0.6701,0.2504,0.0794,0.2100,0.4593,0.3306,0.3223,0.3331,0.3447,0.8556,0.1302,0.0142,0.6787,0.2981,0.0231,0.0190,0.8063,0.1747,0.6241,0.2970,0.0789
404,0.8332,0.1180,0.0487,0.6681,0.2524,0.0795,0.1985,0.4665,0.3351,0.3388,0.3269,0.3343,0.8547,0.1311,0.0142,0.6766,0.3004,0.0231,0.0141,0.8072,0.1787,0.6370,0.2875,0.0754
405,0.8323,0.1188,0.0488,0.6661,0.2544,0.0795,0.1874,0.4733,0.3393,0.3552,0.3207,0.3241,0.8538,0.1320,0.0142,0.6744,0.3026,0.0230,0.0103,0.8057,0.1840,0.6493,0.2785,0.0722
406,0.8314,0.1196,0.0490,0.6640,0.2564,0.0796,0.1767,0.4799,0.3434,0.3714,0.3144,0.3142,0.8529,0.1329,0.0142,0.6723,0.3048,0.0230,0.0076,0.8014,0.1911,0.6610,0.2699,0.0691
407,0.8305,0.1204,0.0491,0.6620,0.2583,0.0797,0.1665,0.4862,0.3473,0.3874,0.3081,0.3045,0.8520,0.1339,0.0142,0.6701,0.3070,0.0229,0.0059,0.7936,0.2006,0.6721,0.2617,0.0662
408,0.8296,0.1212,0.0492,0.6600,0.2603,0.0797,0.1568,0.4922,0.3510,0.4031,0.3018,0.2951,0.8511,0.1348,0.0142,0.6680,0.3091,0.0229,0.0052,0.7818,0.2129,0.6826,0.2538,0.0635
409,0.8287,0.1220,0.0493,0.6580,0.2622,0.0798,0.1477,0.4978,0.3545,0.4186,0.2955,0.2860,0.8501,0.1357,0.0142,0.6658,0.3113,0.0228,0.0059,0.7664,0.2278,0.6927,0.2463,0.0610
