wavelength_nm,T_abs_8nm,T_rel_8nm,T_abs_15nm,T_rel_15nm
400,0.8601,0.8983,0.6914,0.7221
401,0.8595,0.8978,0.6900,0.7207
402,0.8590,0.8972,0.6887,0.7193
403,0.8584,0.8966,0.6873,0.7179
404,0.8579,0.8960,0.6860,0.7165
405,0.8573,0.8954,0.6846,0.7151
406,0.8567,0.8948,0.6833,0.7137
407,0.8562,0.8942,0.6819,0.7123
408,0.8556,0.8936,0.6806,0.7109
409,0.8550,0.8930,0.6792,0.7094
410,0.8544,0.8924,0.6779,0.7080
411,0.8539,0.8918,0.6765,0.7066
412,0.8533,0.8912,0.6751,0.7052
413,0.8527,0.8906,0.6738,0.7037
414,0.8522,0.8902,0.6726,0.7025
415,0.8519,0.8898,0.6715,0.7014
416,0.8515,0.8894,0.6704,0.7002
417,0.8511,0.8890,0.6693,0.6991
418,0.8507,0.8885,0.6682,0.6979
419,0.8503,0.8881,0.6671,0.6968
420,0.8499,0.8877,0.6660,0.6956
421,0.8495,0.8873,0.6649,0.6944
422,0.8491,0.8869,0.6637,0.6933
423,0.8488,0.8865,0.6626,0.6921
424,0.8484,0.8861,0.6615,0.6909
425,0.8480,0.8857,0.6604,0.6898
426,0.8476,0.8852,0.6593,0.6886
427,0.8471,0.8848,0.6581,0.6874
428,0.8467,0.8844,0.6570,0.6862
429,0.8463,0.8840,0.6559,0.6850
430,0.8459,0.8835,0.6547,0.6839
431,0.8451,0.8826,0.6527,0.6817
432,0.8437,0.8812,0.6496,0.6785
433,0.8424,0.8798,0.6466,0.6754
434,0.8410,0.8784,0.6436,0.6722
435,0.8397,0.8770,0.6405,0.6690
436,0.8383,0.8756,0.6375,0.6659
437,0.8369,0.8741,0.6345,0.6627
438,0.8355,0.8727,0.6314,0.6595
439,0.8341,0.8712,0.6284,0.6563
440,0.8327,0.8697,0.6253,0.6531
441,0.8313,0.8682,0.6222,0.6499
442,0.8298,0.8667,0.6192,0.6467
443,0.8284,0.8652,0.6161,0.6435
444,0.8270,0.8637,0.6131,0.6403
445,0.8255,0.8622,0.6100,0.6371
446,0.8240,0.8607,0.6069,0.6339
447,0.8226,0.8591,0.6038,0.6307
448,0.8211,0.8576,0.6008,0.6275
449,0.8196,0.8560,0.5977,0.6243
450,0.8181,0.8545,0.5946,0.6211
451,0.8166,0.8530,0.5917,0.6180
452,0.8158,0.8521,0.5903,0.6165
453,0.8150,0.8513,0.5888,0.6150
454,0.8143,0.8505,0.5874,0.6135
455,0.8135,0.8496,0.5860,0.6120
456,0.8127,0.8488,0.5845,0.6105
457,0.8119,0.8480,0.5831,0.6090
458,0.8111,0.8471,0.5817,0.6075
459,0.8103,0.8463,0.5802,0.6060
460,0.8094,0.8454,0.5788,0.6046
461,0.8086,0.8446,0.5774,0.6031
462,0.8078,0.8438,0.5760,0.6016
463,0.8070,0.8429,0.5745,0.6001
464,0.8062,0.8421,0.5731,0.5986
465,0.8054,0.8412,0.5717,0.5971
466,0.8046,0.8404,0.5703,0.5956
467,0.8038,0.8395,0.5689,0.5942
468,0.8030,0.8387,0.5675,0.5927
469,0.8022,0.8378,0.5661,0.5912
470,0.8014,0.8370,0.5646,0.5898
471,0.8005,0.8361,0.5632,0.5883
472,0.7996,0.8352,0.5615,0.5865
473,0.7986,0.8342,0.5597,0.5846
474,0.7976,0.8331,0.5578,0.5826
475,0.7966,0.8321,0.5559,0.5806
476,0.7957,0.8310,0.5541,0.5787
477,0.7947,0.8300,0.5522,0.5767
478,0.7936,0.8289,0.5503,0.5748
479,0.7926,0.8279,0.5485,0.5728
480,0.7916,0.8268,0.5466,0.5709
481,0.7906,0.8258,0.5447,0.5690
482,0.7896,0.8247,0.5429,0.5670
483,0.7886,0.8237,0.5410,0.5651
484,0.7876,0.8226,0.5392,0.5631
485,0.7866,0.8215,0.5373,0.5612
486,0.7855,0.8205,0.5355,0.5593
487,0.7845,0.8194,0.5336,0.5574
488,0.7835,0.8183,0.5318,0.5554
489,0.7824,0.8172,0.5300,0.5535
490,0.7814,0.8162,0.5281,0.5516
491,0.7804,0.8151,0.5263,0.5497
492,0.7793,0.8140,0.5245,0.5478
493,0.7783,0.8129,0.5226,0.5459
494,0.7773,0.8118,0.5208,0.5440
495,0.7762,0.8107,0.5190,0.5421
496,0.7752,0.8096,0.5172,0.5402
497,0.7742,0.8086,0.5155,0.5385
498,0.7733,0.8076,0.5139,0.5367
499,0.7723,0.8066,0.5122,0.5350
500,0.7713,0.8056,0.5106,0.5333
501,0.7704,0.8046,0.5090,0.5316
502,0.7694,0.8036,0.5073,0.5299
503,0.7684,0.8026,0.5057,0.5282
504,0.7675,0.8016,0.5041,0.5265
505,0.7665,0.8006,0.5024,0.5248
506,0.7655,0.7996,0.5008,0.5231
507,0.7645,0.7986,0.4992,0.5214
508,0.7636,0.7975,0.4976,0.5197
509,0.7626,0.7965,0.4960,0.5180
510,0.7616,0.7955,0.4944,0.5163
511,0.7606,0.7945,0.4928,0.5147
512,0.7597,0.7934,0.4912,0.5130
513,0.7587,0.7924,0.4896,0.5113
514,0.7577,0.7914,0.4880,0.5097
515,0.7567,0.7904,0.4864,0.5080
516,0.7557,0.7893,0.4848,0.5063
517,0.7547,0.7883,0.4832,0.5047
518,0.7537,0.7872,0.4816,0.5030
519,0.7527,0.7862,0.4800,0.5014
520,0.7517,0.7852,0.4784,0.4997
521,0.7507,0.7841,0.4769,0.4981
522,0.7498,0.7831,0.4755,0.4966
523,0.7488,0.7821,0.4741,0.4951
524,0.7479,0.7811,0.4727,0.4937
525,0.7469,0.7801,0.4713,0.4922
526,0.7460,0.7792,0.4699,0.4908
527,0.7450,0.7782,0.4685,0.4893
528,0.7441,0.7772,0.4671,0.4878
529,0.7431,0.7762,0.4657,0.4864
530,0.7421,0.7751,0.4643,0.4849
531,0.7412,0.7741,0.4629,0.4835
532,0.7402,0.7731,0.4615,0.4821
533,0.7393,0.7721,0.4602,0.4806
534,0.7383,0.7711,0.4588,0.4792
535,0.7373,0.7701,0.4574,0.4778
536,0.7364,0.7691,0.4561,0.4763
537,0.7354,0.7681,0.4547,0.4749
538,0.7345,0.7671,0.4533,0.4735
539,0.7335,0.7661,0.4520,0.4721
540,0.7325,0.7651,0.4506,0.4707
541,0.7316,0.7641,0.4493,0.4693
542,0.7306,0.7631,0.4479,0.4679
543,0.7296,0.7621,0.4466,0.4665
544,0.7287,0.7611,0.4453,0.4651
