angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
0.000000000000000000e+00,1.440952710990348606e+01,3.746201505807156273e+00,6.033403015684656978e+00,3.597942145599852815e+00,0.000000000000000000e+00
5.022346368715083775e-01,1.440964684994732181e+01,3.746168017894357938e+00,6.030746039802748371e+00,3.598177437647687160e+00,1.753083004639681766e-02
1.004469273743016755e+00,1.441000846980874428e+01,3.746068472324171061e+00,6.022792896857520617e+00,3.598885659152961658e+00,3.505627219431148994e-02
1.506703910614525022e+00,1.441061916292206746e+01,3.745905623761414116e+00,6.009596828246710487e+00,3.600073817907145646e+00,5.257094020117036165e-02
2.008938547486033510e+00,1.441149089902927827e+01,3.745684063787291240e+00,5.991246190137156091e+00,3.601753506068872124e+00,7.006945113570781092e-02
2.511173184357541999e+00,1.441264039476004655e+01,3.745410221396539008e+00,5.967863870983613594e+00,3.603940792395254888e+00,8.754642703234805090e-02
3.013407821229050043e+00,1.441408907155121710e+01,3.745092363270241531e+00,5.939606450010126437e+00,3.606656116817630320e+00,1.049964965440609438e-01
3.515642458100558532e+00,1.441586300003512378e+01,3.744740593407547280e+00,5.906663071578133639e+00,3.609924229510674820e+00,1.224142965931835497e-01
4.017877094972067020e+00,1.441799282979152608e+01,3.744366851586122813e+00,5.869254004512603373e+00,3.613774224358445863e+00,1.397944740197000491e-01
4.520111731843575065e+00,1.442051370315351377e+01,3.743984910020914381e+00,5.827628850563804086e+00,3.618239722119509505e+00,1.571316872264740816e-01
5.022346368715083997e+00,1.442346515156365250e+01,3.743610367488192647e+00,5.782064362594696583e+00,3.623359261921776930e+00,1.744206078209266930e-01
5.524581005586592042e+00,1.442689097281094668e+01,3.743260640099133063e+00,5.732861831457358726e+00,3.629176961373703492e+00,1.916559222526565409e-01
6.026815642458100086e+00,1.443083908734165099e+01,3.742954947825172241e+00,5.680344002036474826e+00,3.635743505292055033e+00,2.088323334464982917e-01
6.529050279329609019e+00,1.443536137172238831e+01,3.742714295817795023e+00,5.624851485430504283e+00,3.643117518663196996e+00,2.259445624305177758e-01
7.031284916201117063e+00,1.444051346726263851e+01,3.742561449509529403e+00,5.566738648210711737e+00,3.651367365062319070e+00,2.429873499584427055e-01
7.533519553072626884e+00,1.444635456175410404e+01,3.742520902449286702e+00,5.506368983900244984e+00,3.660573375514142302e+00,2.599554581260319908e-01
8.035754189944134041e+00,1.445294714228629829e+01,3.742618835806654776e+00,5.444110008306202175e+00,3.670830436034244748e+00,2.768436719808843871e-01
8.537988826815642085e+00,1.446035671712155946e+01,3.742883068474056607e+00,5.380327769009807248e+00,3.682250724956082077e+00,2.936468011251950894e-01
9.040223463687150129e+00,1.446865150469152184e+01,3.743342996715071092e+00,5.315381116447703391e+00,3.694966194574156315e+00,3.103596813109635866e-01
9.542458100558659950e+00,1.447790208788296518e+01,3.744029522341252303e+00,5.249615941972807676e+00,3.709130203731170194e+00,3.269771760271664163e-01
1.004469273743016799e+01,1.448818103193566564e+01,3.744974968454395370e+00,5.183359637425965616e+00,3.724917706003105788e+00,3.434941780784042664e-01
1.054692737430167782e+01,1.449956246446090269e+01,3.746212981861340996e+00,5.116916062545762145e+00,3.742523800586838867e+00,3.599056111545397285e-01
1.104916201117318408e+01,1.451212161632062703e+01,3.747778421365843826e+00,5.050561314160406212e+00,3.762161245973549839e+00,3.762064313908425883e-01
1.155139664804469213e+01,1.452593432236893811e+01,3.749707231241916627e+00,4.984540565622364028e+00,3.784058223861996861e+00,3.923916289181639261e-01
1.205363128491620017e+01,1.454107648135851605e+01,3.752036299326055868e+00,4.919066174370422928e+00,3.808457565782208398e+00,4.084562294026608531e-01
1.255586592178770999e+01,1.455762347464409956e+01,3.754803299293796304e+00,4.854317136694263901e+00,3.835617775840671762e+00,4.243952955746014832e-01
1.305810055865921804e+01,1.457564954367914822e+01,3.758046516840651829e+00,4.790439824144543834e+00,3.865815200136346608e+00,4.402039287457769068e-01
1.356033519553072608e+01,1.459522712668864841e+01,3.761804659639722548e+00,4.727549803862984845e+00,3.899346270137749038e+00,4.558772703150576477e-01
1.406256983240223413e+01,1.461642615532046108e+01,3.766116651109630009e+00,4.665734439126478783e+00,3.936528977055164802e+00,4.714105032616279778e-01
1.456480446927374217e+01,1.463931331251038159e+01,3.771021408186847612e+00,4.605055869537400426e+00,3.977703386131592467e+00,4.867988536254417298e-01
1.506703910614525377e+01,1.466395125326373972e+01,3.776557603460251045e+00,4.545553925367052273e+00,4.023232042834412603e+00,5.020375919744443083e-01
1.556927374301676004e+01,1.469039779053207262e+01,3.782763412177170270e+00,4.487248690779866322e+00,4.073503000983058620e+00,5.171220348581085924e-01
1.607150837988826808e+01,1.471870504886492270e+01,3.789676244782380632e+00,4.430142848696894120e+00,4.128941455088231294e+00,5.320475462468396977e-01
1.657374301675977790e+01,1.474891858903275477e+01,3.797332465788716416e+00,4.374224479929900156e+00,4.190039298167236304e+00,5.468095389568055076e-01
1.707597765363128417e+01,1.478107650735006651e+01,3.805767099910850604e+00,4.319471745075542657e+00,4.257407329984053135e+00,5.614034760597538254e-01
1.757821229050279399e+01,1.481520851397112359e+01,3.815013526510879771e+00,4.265861689852156857e+00,4.331829161150269059e+00,5.758248722773863237e-01
1.808044692737430026e+01,1.485133499498927279e+01,3.825103163517207250e+00,4.213384548374577321e+00,4.414262926377865881e+00,5.900692953598556389e-01
1.858268156424581008e+01,1.488946606373208148e+01,3.836065142081013235e+00,4.162061442717157611e+00,4.505753466732964618e+00,6.041323674479674999e-01
1.908491620111731990e+01,1.492960060720640669e+01,3.847925973328791827e+00,4.111961367259320710e+00,4.607291856518669348e+00,6.180097664186647854e-01
1.958715083798882617e+01,1.497172533421116114e+01,3.860709208667034709e+00,4.063216840911243466e+00,4.719710604469540272e+00,6.316972272133815069e-01
2.008938547486033599e+01,1.501581383217447296e+01,3.874435095182438005e+00,4.016039959260197634e+00,4.843690701838210266e+00,6.451905431488608178e-01
2.059162011173184226e+01,1.506182564029526816e+01,3.889120227772913108e+00,3.970731878255717717e+00,4.979915894325126047e+00,6.584855672100295987e-01
2.109385474860335563e+01,1.510970534705797874e+01,3.904777199738251880e+00,3.927669188493443375e+00,5.129324023332671345e+00,6.715782133245356000e-01
2.159608938547486190e+01,1.515938172062912770e+01,3.921414253642163672e+00,3.887264601434747835e+00,5.293282086601347913e+00,6.844644576185556772e-01
2.209832402234636817e+01,1.521076688103528696e+01,3.939034934343399463e+00,3.849929159668397105e+00,5.473505671076061674e+00,6.971403396534857633e-01
2.260055865921787799e+01,1.526375552335073138e+01,3.957637746166575710e+00,3.816062499350514337e+00,5.671717347896477079e+00,7.096019636431371014e-01
