n_sub,p,eta_sub_Al,Aprime_Al,eta_ext_Al,EQE_Al,eta_sub_Ag,Aprime_Ag,eta_ext_Ag,EQE_Ag
1.300000000000000044e+00,6.650000000000000355e-01,2.545774488953764236e-01,1.659048386562775868e-01,9.228700964767139192e-01,2.349419148228717447e-01,3.024157950855145827e-01,6.793277330241842549e-02,9.669106047562924244e-01,2.924090393139899269e-01
1.350000000000000089e+00,5.674999999999997824e-01,2.739293239366931143e-01,1.657270360038534951e-01,8.878605621673213433e-01,2.432110435445466179e-01,3.189764004322240276e-01,6.579309378438669142e-02,9.522522865581765084e-01,3.037460066696818783e-01
1.399999999999999911e+00,4.699999999999999734e-01,3.037928927091348985e-01,1.697294850183796999e-01,8.393507234085402224e-01,2.549887842617853950e-01,3.415836846459210929e-01,6.474222095509418740e-02,9.319602083468546683e-01,3.183424019104989511e-01
1.449999999999999956e+00,4.249999999999999889e-01,3.551349980120915850e-01,1.811984239350621917e-01,8.031155687244960761e-01,2.852144459024537060e-01,3.802224941362571942e-01,6.627047452721235299e-02,9.177174078633681953e-01,3.489368017300706892e-01
1.500000000000000000e+00,3.800000000000000044e-01,3.844789689500101026e-01,1.810440950425943885e-01,7.719696379238535355e-01,2.968060904496758190e-01,4.548819218007781884e-01,7.248190902324114226e-02,8.942464530672207257e-01,4.067765451347467587e-01
1.550000000000000044e+00,3.674999999999999933e-01,4.117535494246413186e-01,1.792035369583679927e-01,7.642775831966691635e-01,3.146940076269151287e-01,4.831441894132886827e-01,7.200156338461183303e-02,8.897422045967362525e-01,4.298737762266826024e-01
1.600000000000000089e+00,3.549999999999999822e-01,4.907922493568424027e-01,1.874601489333052873e-01,7.459365431525580847e-01,3.660998738913113226e-01,5.426903154356645942e-01,7.741128204254277279e-02,8.766941378216076552e-01,4.757734181950062924e-01
1.649999999999999911e+00,3.450000000000000289e-01,5.767722133507460214e-01,1.892409705954347099e-01,7.356816585949168541e-01,4.243207385493381056e-01,6.449751942229808854e-01,8.229988694412904149e-02,8.648644833929627351e-01,5.578161381529341822e-01
1.699999999999999956e+00,3.350000000000000200e-01,6.313366791406457290e-01,1.852333418677616084e-01,7.311534200347294954e-01,4.616039721470517887e-01,7.037447197003756649e-01,7.794869666057691049e-02,8.660003233416179169e-01,6.094431548104816132e-01
1.750000000000000000e+00,3.200000000000000067e-01,7.045822180273082491e-01,1.888162703045276891e-01,7.136563843568077825e-01,5.028295981994688191e-01,7.882315817034957206e-01,7.711381756291868506e-02,8.592048045818676538e-01,6.772523621228084822e-01
1.800000000000000044e+00,3.049999999999999933e-01,7.977863715925673782e-01,2.063895661447593122e-01,6.801344459445141100e-01,5.426019918251950847e-01,9.063724929015539722e-01,9.484795756961406088e-02,8.222812210404658595e-01,7.452930801805808247e-01
1.850000000000000089e+00,2.899999999999999800e-01,8.138885356680825023e-01,2.071701428266886913e-01,6.634777008953762767e-01,5.399968944301638540e-01,9.231840071516171919e-01,9.769004561430816302e-02,8.069903566443616949e-01,7.450005911796545588e-01
1.899999999999999911e+00,2.750000000000000222e-01,8.224174261689126686e-01,2.041217389818678063e-01,6.501362461092680123e-01,5.346833781843030042e-01,9.270369085304827061e-01,9.527246431063385312e-02,7.992500729564223638e-01,7.409343167762845184e-01
1.949999999999999956e+00,2.615000000000000102e-01,8.253453939550610130e-01,1.958626295442895127e-01,6.438594307489362567e-01,5.314064155231621456e-01,9.291546156250078958e-01,9.243339670071670788e-02,7.929960082535715271e-01,7.368159012410128161e-01
2.000000000000000000e+00,2.479999999999999982e-01,8.265366790000138186e-01,1.875901535665955022e-01,6.374210430156835860e-01,5.268518720189080407e-01,9.305851916225562626e-01,8.956914925587744492e-02,7.864128153925429299e-01,7.318241205065034727e-01
