n_sub,p,eta_sub_Al,Aprime_Al,eta_ext_Al,EQE_Al,eta_sub_Ag,Aprime_Ag,eta_ext_Ag,EQE_Ag
1.300000000000000044e+00,6.650000000000000355e-01,2.643436524424712109e-01,1.275136510560659908e-01,9.396410306784870325e-01,2.483881420343594104e-01,3.102576096370601166e-01,2.467922944151323961e-02,9.877202726273853761e-01,3.064477307754379098e-01
1.350000000000000089e+00,5.674999999999997824e-01,2.846069769589231746e-01,1.285904009083063126e-01,9.107463031743844306e-01,2.592047521229765006e-01,3.232301328544434083e-01,2.423035724052002848e-02,9.818685140937019051e-01,3.173694902561022269e-01
1.399999999999999911e+00,4.699999999999999734e-01,3.167121480835495273e-01,1.334600546963324030e-01,8.691891921737195936e-01,2.752827761443438770e-01,3.493549601261782267e-01,2.422009005445880173e-02,9.734140981442825913e-01,3.400670434434555633e-01
1.449999999999999956e+00,4.249999999999999889e-01,3.718099523933531270e-01,1.440872294426190081e-01,8.368610193399894648e-01,3.111532557606544458e-01,3.930447405026080143e-01,2.525198681334394832e-02,9.669641973704465876e-01,3.800601920307798420e-01
1.500000000000000000e+00,3.800000000000000044e-01,3.971364906508024206e-01,1.425860031475391920e-01,8.112666631330324174e-01,3.221835955786391814e-01,4.648878933082227216e-01,2.761053763287613094e-02,9.568931392127820734e-01,4.448480356097221367e-01
1.550000000000000044e+00,3.674999999999999933e-01,4.254052938799133821e-01,1.402645134132884108e-01,8.055371775394392087e-01,3.426797797423610792e-01,4.965449423869522927e-01,2.700309134341427955e-02,9.555892676000866670e-01,4.744930178260749476e-01
1.600000000000000089e+00,3.549999999999999822e-01,5.426338462761357562e-01,1.446627347371448880e-01,7.918672531289024930e-01,4.296939733054547794e-01,5.961745973282630562e-01,2.862634701144450844e-02,9.505601768100752080e-01,5.666998306460291346e-01
1.649999999999999911e+00,3.450000000000000289e-01,5.953914122155133937e-01,1.419769693230359120e-01,7.876803776901802889e-01,4.689781324474054380e-01,6.700142925330347943e-01,2.848420353442792860e-02,9.486957615298525770e-01,6.356397194905129000e-01
1.699999999999999956e+00,3.350000000000000200e-01,6.463252042063352132e-01,1.403940097162456879e-01,7.820487978075960633e-01,5.054578489423134924e-01,7.152268381342591352e-01,2.726715260983724951e-02,9.486519976203781068e-01,6.785013687477717825e-01
1.750000000000000000e+00,3.200000000000000067e-01,7.272278417955491125e-01,1.448159499572753972e-01,7.646815646888752704e-01,5.560977239495343838e-01,8.091242106824426683e-01,2.714463189577498090e-02,9.454634530184263808e-01,7.649973701526309178e-01
1.800000000000000044e+00,3.049999999999999933e-01,8.417932956443259229e-01,1.496918447324309953e-01,7.456559452072822891e-01,6.276881755328230783e-01,9.564053370395643183e-01,3.101144029276802980e-02,9.339986028690199227e-01,8.932812485714272110e-01
1.850000000000000089e+00,2.899999999999999800e-01,8.446524578282923468e-01,1.458192855974815016e-01,7.369165058997853013e-01,6.224383379224909252e-01,9.581165835015283960e-01,2.980749399405036026e-02,9.319864542975918598e-01,8.929516774613120988e-01
1.899999999999999911e+00,2.750000000000000222e-01,8.496464096317363213e-01,1.429699104615599070e-01,7.262582511712823985e-01,6.170627155731038815e-01,9.585272683290415596e-01,2.857666161312056100e-02,9.299397598798611053e-01,8.913726177482080848e-01
1.949999999999999956e+00,2.615000000000000102e-01,8.509849593837160997e-01,1.359628541407960078e-01,7.225581908765728034e-01,6.148861527154716455e-01,9.588130841108790658e-01,2.741875995814513009e-02,9.281318766271247078e-01,8.899049870904713888e-01
2.000000000000000000e+00,2.479999999999999982e-01,8.511194700177726613e-01,1.291310523745816119e-01,7.186186382270074446e-01,6.116303145126640306e-01,9.590369961667355447e-01,2.633755973635476880e-02,9.260440154787261680e-01,8.881104709228995198e-01
