file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-05_tbpe-tfe_d32_p4_eval.csv,leaky,3828.85,0.12957,2.995641863890188,3.805,0.6201227912801517,1.9872316656157707,6.0
2021-08-05_tbpe-tfe_d32_p5_eval.csv,leaky,2764.3,2.94348,1.328546008579574,3.07,1.7488291191622656,-1.0017339309139712,17.0
2021-08-05_tbpe-tfe_d34_p1_eval.csv,reliable,1462.79,0.00179,4.13884981390696,4.404999999999999,1.288058516989457,-0.2044921239857418,13.0
2021-08-05_tbpe-tfe_d34_p4_eval.csv,leaky,1019.59,0.10146,3.208653068919108,4.24,1.19770552696307,2.3669491525423734,12.0
2021-08-05_tbpe-tfe_d34_p8_eval.csv,leaky,1465.07,0.01107,4.290565831437649,4.470000000000001,1.5532688882906702,0.3590694749015087,16.0
2021-08-05_tbpe-tfe_d41_p1_eval.csv,leaky,893.62,0.80274,2.5969194300226786,3.7,0.5889171974578976,-0.2720392822892997,6.0
2021-08-05_tbpe-tfe_d42_p1_eval.csv,reliable,1923.37,4e-05,3.749846965457762,3.715,1.0117051853877077,1.2014310351675557,10.0
2021-08-05_tbpe-tfe_d42_p4_eval.csv,reliable,1840.73,0.00172,3.923097844839821,3.77,1.7596532384814394,0.4156310750988473,18.0
2021-08-05_tbpe-tfe_d42_p8_eval.csv,reliable,1701.98,3e-05,3.939490058401129,3.74,1.6019681929043148,-1.4417147664899372,16.0
2021-08-05_tbpe-tfe_d44_p1_eval.csv,reliable,5338.56,0.00486,4.099556950959586,4.41,1.695182870877615,0.7326300764463349,17.0
2021-08-05_tbpe-tfe_d44_p4_eval.csv,leaky,4514.2,0.48707,3.269897355758093,4.18,0.4511201543899757,3.901456770047608,5.0
2021-08-05_tbpe-tfe_d44_p5_eval.csv,reliable,7953.48,0.00241,4.258314176537238,4.375,1.5309806395845038,-2.04009370163992,15.0
2021-08-11_BSB4 Cs var_d11_p1_jvl_eval.csv,dead,1.55,0.0,,,,,
2021-08-11_BSB4 Cs var_d11_p4_jvl_eval.csv,dead,1.42,142.66631,,,,,
