file,npts,vmin,vmax,vstep_med,Lmax,Jmax,PDmax,pd_noise_off,L_per_PDV,noise_L_equiv,J_leak,J_rev,EQEmax,L_at_EQEmax,EQE_1,EQE_10,EQE_100,EQE_1000,lum_per_mW
2021-08-05_tbpe-tfe_d32_p4_eval.csv,29,-2.0,4.0,0.1,3828.85,74.38912,0.1179155,nan,32471.11419897597,nan,0.12957,0.31582,13238.22,1.18,9154.78823967501,1.083221272976367,2.995641863890188,3.8485758324858126,55911.94509345794
2021-08-05_tbpe-tfe_d32_p5_eval.csv,29,-2.0,4.0,0.1,2764.3,58.43033,0.085131,nan,32471.116075007172,nan,2.94348,0.69609,3.32,2398.11,nan,0.40269621122104166,1.328546008579574,3.080505816135124,55912.21682847897
2021-08-05_tbpe-tfe_d34_p1_eval.csv,29,-2.0,4.0,0.1,1462.79,24.14662,0.0454233,nan,32203.516697377778,nan,0.00179,0.04112,68.81,1.75,17.436028079491805,3.347386551700207,4.13884981390696,4.373811885830612,55471.74819871065
2021-08-05_tbpe-tfe_d34_p4_eval.csv,29,-2.0,4.0,0.1,1019.59,16.9398,0.0316608,nan,32203.407562900786,nan,0.10146,0.21998,5.54,1.98,0.310002010023759,1.2119478432253048,3.208653068919108,4.2558753531198805,55472.796517954295
2021-08-05_tbpe-tfe_d34_p8_eval.csv,29,-2.0,4.0,0.1,1465.07,24.04635,0.0454942,nan,32203.539749624768,nan,0.01107,0.03402,7.89,2.05,nan,3.5088064542645685,4.290565831437649,4.4128889525476085,55474.06285497917
2021-08-05_tbpe-tfe_d41_p1_eval.csv,34,-2.0,4.5,0.1,893.62,18.18682,0.0305495,nan,29251.53573003223,nan,0.80274,1.08336,3.84,893.62,0.09412325851814574,0.45822415285576534,2.5969194300226786,nan,49867.18750000001
2021-08-05_tbpe-tfe_d42_p1_eval.csv,34,-2.0,4.5,0.1,1923.37,38.14191,0.0592332,2.5649850754926432e-05,32471.09750303542,0.8328788048015229,4e-05,8e-05,23785.16,2.12,124.32517581632735,4.065511732074411,3.749846965457762,3.6871679207803756,55911.91860465116
2021-08-05_tbpe-tfe_d42_p4_eval.csv,34,-2.0,4.5,0.1,1840.73,36.24022,0.0566883,nan,32471.198853306953,nan,0.00172,0.01004,3509.58,0.63,1674.0814769396227,3.6735726951365693,3.923097844839821,3.7254606582897476,55915.249088699886
2021-08-05_tbpe-tfe_d42_p8_eval.csv,34,-2.0,4.5,0.1,1701.98,33.47803,0.0524153,4.676726786706702e-05,32471.07404139276,1.5185834176251818,3e-05,7e-05,60.09,0.37,2.5875611540641987,2.6897025359644355,3.9394900584011285,3.689489304350943,55912.614980289094
2021-08-05_tbpe-tfe_d44_p1_eval.csv,34,-2.0,4.5,0.1,5338.56,98.73238,0.1657757,nan,32203.517712661214,nan,0.00486,0.02482,16402.09,1.45,13020.759835932216,2.725104163917827,4.099556950959586,4.3816243421112056,55471.3216957606
