file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-08-05_tbpe-tfe_d32_p4_eval.csv,0.6201227912801517,1.9872316656157707,1.909768019652882e-05,32471.105647316515,3.8049999999999997,13,1,
2021-08-05_tbpe-tfe_d32_p5_eval.csv,1.7488291191622656,-1.0017339309139712,5.385799228836267e-05,32471.116075007172,3.07,2,2,
2021-08-05_tbpe-tfe_d34_p1_eval.csv,1.288058516989457,-0.20449212398574187,3.999748950455099e-05,32203.48409224282,4.404999999999999,3,2,
2021-08-05_tbpe-tfe_d34_p4_eval.csv,1.1977055269630699,2.3669491525423734,3.7191908468853215e-05,32203.38983050848,4.24,10,2,
2021-08-05_tbpe-tfe_d34_p8_eval.csv,1.5532688882906702,0.35906947490150876,4.8232861089602476e-05,32203.540349911098,4.470000000000001,6,2,
2021-08-05_tbpe-tfe_d41_p1_eval.csv,0.5889171974578976,-0.27203928228929974,2.013286423294565e-05,29251.53573003223,3.7,7,2,
2021-08-05_tbpe-tfe_d42_p1_eval.csv,1.0117051853877075,1.2014310351675557,3.115708747620676e-05,32471.109058582588,3.715,10,3,
2021-08-05_tbpe-tfe_d42_p4_eval.csv,1.7596532384814394,0.41563107509884734,5.419123545371521e-05,32471.177742097447,3.77,11,3,
2021-08-05_tbpe-tfe_d42_p8_eval.csv,1.6019681929043148,-1.4417147664899372,4.9335270344855715e-05,32471.05329932291,3.74,2,4,
2021-08-05_tbpe-tfe_d44_p1_eval.csv,1.6951828708776153,0.7326300764463349,5.263967662852381e-05,32203.519843794944,4.41,4,1,
2021-08-05_tbpe-tfe_d44_p4_eval.csv,0.45112015438997577,3.9014567700476084,1.4008410172305624e-05,32203.522658255126,4.18,9,1,
2021-08-05_tbpe-tfe_d44_p5_eval.csv,1.5309806395845038,-2.04009370163992,4.7540769053752405e-05,32203.53120189298,4.375,8,1,
2021-08-25_CBP with BSBCz_d11_p1_jvl_eval.csv,0.7993271159973626,-1.556650311116534,2.238824096112362e-05,35702.988787076465,1.92,0,3,
2021-08-25_CBP with BSBCz_d11_p5_jvl_eval.csv,1.8436420008239158,-2.4349335828681444,5.163852736717537e-05,35702.83845847719,1.84,0,4,
2021-08-25_CBP with BSBCz_d11_p8_jvl_eval.csv,0.9394052531964152,-1.4227590369904226,2.6311763528885705e-05,35702.86165597045,1.89,0,4,
2021-08-25_CBP with BSBCz_d12_p1_jvl_eval.csv,1.898945404566218,-1.0940077633999772,5.710681943980607e-05,33252.51560486253,1.85,0,4,
2021-08-25_CBP with BSBCz_d12_p4_jvl_eval.csv,0.8939662898712811,0.5087635621699471,2.688416634377938e-05,33252.52040326452,1.86,0,4,
2021-08-25_CBP with BSBCz_d13_p1_jvl_eval.csv,2.7658619941964897,0.41326071210921095,6.7931691589583e-05,40715.34109450354,1.15,0,3,
2021-08-25_CBP with BSBCz_d13_p4_jvl_eval.csv,2.497305597096852,-9.502938719742351,6.133588183111091e-05,40715.24729966732,1.75,0,3,
