reflector,d_ITO_nm,eta_sub,spp,wg,abs,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,tail
Al,30,0.397325,0.082470,0.483848,0.036357,0.139156,0.427376,0.413126,0.804172,0.842851,0.319517,0.334886,0.000000
Al,40,0.396541,0.083503,0.482516,0.037440,0.140725,0.427376,0.405834,0.793927,0.841361,0.314825,0.333634,0.000000
Al,50,0.396981,0.084296,0.479726,0.038997,0.142582,0.427376,0.398137,0.781984,0.839603,0.310433,0.333306,0.000000
Al,60,0.398484,0.084786,0.475610,0.041121,0.144739,0.427376,0.391166,0.769609,0.837570,0.306677,0.333758,0.000000
Al,70,0.400133,0.084938,0.471007,0.043922,0.146999,0.427376,0.386623,0.759393,0.835451,0.303858,0.334291,0.000000
Al,80,0.398180,0.084768,0.470644,0.046408,0.148292,0.427376,0.388499,0.758841,0.834244,0.302156,0.332179,0.000000
Al,90,0.386649,0.084361,0.487290,0.041699,0.146725,0.427376,0.402936,0.780013,0.835708,0.301591,0.323126,0.000000
Al,100,0.377205,0.083870,0.501472,0.037453,0.145833,0.427376,0.417887,0.800233,0.836543,0.301852,0.315548,0.000000
Al,110,0.372869,0.083474,0.508229,0.035427,0.146576,0.427376,0.428138,0.811155,0.835847,0.302455,0.311662,0.000000
Al,120,0.371120,0.083316,0.511118,0.034446,0.148129,0.427376,0.434678,0.816190,0.834396,0.302904,0.309661,0.000000
Al,130,0.370255,0.083457,0.512322,0.033966,0.149877,0.427376,0.438566,0.818092,0.832768,0.302903,0.308337,0.000000
Al,140,0.369575,0.083883,0.512769,0.033772,0.151530,0.427376,0.440445,0.818201,0.831236,0.302387,0.307204,0.000000
Al,150,0.368994,0.084536,0.512672,0.033798,0.153022,0.427376,0.440659,0.816968,0.829856,0.301456,0.306212,0.000000
Al,160,0.368715,0.085340,0.511904,0.034042,0.154409,0.427376,0.439374,0.814422,0.828578,0.300289,0.305509,0.000000
Al,170,0.369047,0.086216,0.510203,0.034534,0.155798,0.427376,0.436681,0.810437,0.827302,0.299089,0.305313,0.000000
Al,180,0.370312,0.087092,0.507277,0.035320,0.157316,0.427376,0.432659,0.804878,0.825913,0.298056,0.305845,0.000000
Al,190,0.372795,0.087902,0.502848,0.036454,0.159093,0.427376,0.427451,0.797667,0.824292,0.297366,0.307292,0.000000
Al,200,0.376704,0.088595,0.496690,0.038011,0.161253,0.427376,0.421336,0.788841,0.822330,0.297160,0.309775,0.000000
Ag,30,0.468206,0.027200,0.498098,0.006496,0.023887,0.427376,0.403018,0.945065,0.968987,0.442485,0.453686,0.000000
Ag,40,0.470567,0.027412,0.494580,0.007440,0.025711,0.427376,0.393168,0.931178,0.966699,0.438182,0.454897,0.000000
Ag,50,0.474062,0.027535,0.489549,0.008855,0.027550,0.427376,0.383951,0.911254,0.964401,0.431991,0.457185,0.000000
Ag,60,0.471044,0.027559,0.489728,0.011669,0.029072,0.427376,0.382229,0.894604,0.962508,0.421398,0.453384,0.000000
Ag,70,0.438523,0.027455,0.525609,0.008413,0.028951,0.427376,0.409759,0.933082,0.962658,0.409178,0.422148,0.000000
Ag,80,0.423229,0.027273,0.541769,0.007729,0.029697,0.427376,0.426872,0.947926,0.961733,0.401190,0.407034,0.000000
Ag,90,0.417599,0.027054,0.547741,0.007606,0.031059,0.427376,0.437295,0.952923,0.960048,0.397940,0.400915,0.000000
Ag,100,0.416543,0.026860,0.548879,0.007718,0.032819,0.427376,0.443816,0.953784,0.957879,0.397292,0.398998,0.000000
Ag,110,0.417107,0.026747,0.548198,0.007947,0.034799,0.427376,0.447918,0.952715,0.955452,0.397384,0.398526,0.000000
Ag,120,0.417759,0.026742,0.547255,0.008243,0.036859,0.427376,0.450399,0.950709,0.952939,0.397167,0.398099,0.000000
Ag,130,0.417971,0.026846,0.546599,0.008584,0.038915,0.427376,0.451656,0.948182,0.950443,0.396312,0.397257,0.000000
Ag,140,0.417806,0.027042,0.546187,0.008965,0.040934,0.427376,0.451852,0.945233,0.948005,0.394923,0.396082,0.000000
Ag,150,0.417596,0.027309,0.545707,0.009388,0.042917,0.427376,0.451014,0.941790,0.945624,0.393288,0.394889,0.000000
Ag,160,0.417767,0.027622,0.544749,0.009861,0.044884,0.427376,0.449105,0.937696,0.943273,0.391739,0.394069,0.000000
Ag,170,0.418751,0.027962,0.542889,0.010399,0.046867,0.427376,0.446066,0.932750,0.940915,0.390590,0.394009,0.000000
Ag,180,0.420952,0.028308,0.539721,0.011019,0.048907,0.427376,0.441869,0.926734,0.938501,0.390111,0.395064,0.000000
Ag,190,0.424723,0.028648,0.534879,0.011750,0.051050,0.427376,0.436575,0.919426,0.935979,0.390501,0.397532,0.000000
Ag,200,0.430306,0.028974,0.528081,0.012638,0.053343,0.427376,0.430371,0.910621,0.933295,0.391846,0.401603,0.000000
