reflector,n_sub,eta_sub,wg,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,graze70
Al,1.30,0.264561,0.631066,0.127509,0.579154,0.628567,0.916250,0.915201,0.242404,0.242126,0.045367
Al,1.31,0.268021,0.627175,0.127547,0.570269,0.618343,0.913383,0.912314,0.244806,0.244519,0.047470
Al,1.32,0.271705,0.623020,0.127661,0.561384,0.607616,0.910033,0.909303,0.247260,0.247062,0.050196
Al,1.33,0.275651,0.618554,0.127862,0.552499,0.596377,0.906156,0.906156,0.249783,0.249783,0.053591
Al,1.34,0.279908,0.613720,0.128165,0.543615,0.584609,0.901685,0.902854,0.252388,0.252716,0.057725
Al,1.35,0.284534,0.608445,0.128586,0.534730,0.572283,0.896525,0.899375,0.255092,0.255903,0.062699
Al,1.36,0.289606,0.602637,0.129147,0.526791,0.560293,0.890917,0.896048,0.258015,0.259501,0.068650
Al,1.37,0.295219,0.596175,0.129875,0.518851,0.547630,0.884344,0.892508,0.261075,0.263485,0.075754
Al,1.38,0.301494,0.588901,0.130805,0.510912,0.534206,0.876577,0.888717,0.264283,0.267943,0.084239
Al,1.39,0.308592,0.580606,0.131980,0.502973,0.519914,0.867311,0.884627,0.267646,0.272989,0.094389
Al,1.40,0.316716,0.571005,0.133455,0.495033,0.504621,0.856164,0.880178,0.271161,0.278767,0.106547
Al,1.41,0.326116,0.559726,0.135296,0.487919,0.488996,0.843065,0.875660,0.274937,0.285567,0.121081
Al,1.42,0.337040,0.546331,0.137558,0.480804,0.472162,0.827329,0.870670,0.278843,0.293450,0.138224
Al,1.43,0.349471,0.530633,0.140195,0.473690,0.454477,0.809324,0.865225,0.282836,0.302371,0.157437
Al,1.44,0.362068,0.514582,0.142720,0.466575,0.437847,0.792266,0.859721,0.286854,0.311277,0.175214
Al,1.45,0.371693,0.503920,0.144084,0.459461,0.425772,0.782561,0.855059,0.290872,0.317819,0.184742
Al,1.46,0.378342,0.497643,0.144376,0.453044,0.418223,0.779611,0.851568,0.294960,0.322184,0.186904
Al,1.47,0.383587,0.492808,0.144165,0.446627,0.412434,0.779385,0.848449,0.298962,0.325454,0.185481
Al,1.48,0.388214,0.488434,0.143722,0.440210,0.407427,0.780164,0.845477,0.302870,0.328226,0.182247
Al,1.49,0.392602,0.484143,0.143172,0.433793,0.402748,0.781167,0.842549,0.306688,0.330786,0.178051
Al,1.50,0.396981,0.479726,0.142582,0.427376,0.398137,0.781984,0.839603,0.310433,0.333306,0.173410
Al,1.51,0.401527,0.475021,0.141992,0.421603,0.394051,0.782775,0.836961,0.314305,0.336062,0.168731
Al,1.52,0.406411,0.469862,0.141436,0.415831,0.389706,0.782950,0.834242,0.318199,0.339045,0.164408
Al,1.53,0.411836,0.464038,0.140940,0.410058,0.384941,0.782311,0.831416,0.322183,0.342407,0.160890
Al,1.54,0.418078,0.457255,0.140536,0.404285,0.379559,0.780606,0.828446,0.326354,0.346355,0.158751
Al,1.55,0.425557,0.449049,0.140260,0.398513,0.373280,0.777450,0.825288,0.330849,0.351207,0.158800
Al,1.56,0.434975,0.438633,0.140170,0.393260,0.366180,0.772581,0.822192,0.336054,0.357633,0.162283
Al,1.57,0.447634,0.424520,0.140359,0.388007,0.356929,0.764247,0.818743,0.342103,0.366497,0.171339
Al,1.58,0.466270,0.403500,0.141008,0.382754,0.343952,0.749382,0.814733,0.349415,0.379886,0.190055
Al,1.59,0.497473,0.367367,0.142514,0.377501,0.323908,0.720388,0.809713,0.358374,0.402811,0.226955
Al,1.60,0.542357,0.315086,0.144663,0.372248,0.298837,0.679673,0.803886,0.368625,0.435993,0.277841
Al,1.61,0.559001,0.302557,0.144516,0.367466,0.292469,0.678832,0.800794,0.379467,0.447644,0.285762
Al,1.62,0.569117,0.294425,0.143912,0.362685,0.289941,0.684737,0.798159,0.389695,0.454245,0.284516
Al,1.63,0.577955,0.286639,0.143241,0.357903,0.288333,0.690930,0.795557,0.399326,0.459796,0.280809
Al,1.64,0.586514,0.278650,0.142584,0.353122,0.287067,0.696427,0.792898,0.408464,0.465046,0.275764
Al,1.65,0.595180,0.270250,0.141973,0.348340,0.285908,0.700986,0.790141,0.417213,0.470276,0.269709
Al,1.66,0.604170,0.261307,0.141431,0.343992,0.285100,0.704986,0.787578,0.425932,0.475831,0.262787
Al,1.67,0.613644,0.251702,0.140979,0.339645,0.284164,0.707937,0.784869,0.434422,0.481630,0.255142
Al,1.68,0.623746,0.241312,0.140636,0.335297,0.283026,0.709818,0.781982,0.442746,0.487758,0.246993
Al,1.69,0.634624,0.229993,0.140429,0.330949,0.281621,0.710596,0.778881,0.450961,0.494297,0.238679
Al,1.70,0.646443,0.217576,0.140390,0.326601,0.279901,0.710217,0.775518,0.459115,0.501328,0.230651
Al,1.71,0.659395,0.203853,0.140560,0.322611,0.278115,0.708919,0.772120,0.467458,0.509132,0.223425
Al,1.72,0.673710,0.188561,0.140998,0.318621,0.275913,0.706281,0.768327,0.475829,0.517630,0.217521
Al,1.73,0.689666,0.171371,0.141782,0.314631,0.273242,0.702179,0.764031,0.484269,0.526926,0.213399
Al,1.74,0.707593,0.151863,0.143015,0.310641,0.270046,0.696508,0.759087,0.492844,0.537125,0.211426
Al,1.75,0.727840,0.129528,0.144811,0.306651,0.266285,0.689263,0.753340,0.501673,0.548311,0.211827
Al,1.76,0.750566,0.103917,0.147138,0.303003,0.262294,0.681049,0.747126,0.511173,0.560768,0.214489
Al,1.77,0.774911,0.076181,0.148978,0.299355,0.258153,0.672925,0.741462,0.521457,0.574567,0.218179
Al,1.78,0.801322,0.046716,0.149567,0.295707,0.253751,0.664842,0.737339,0.532753,0.590846,0.223036
Al,1.79,0.831473,0.012364,0.150108,0.292059,0.248540,0.654819,0.733215,0.544464,0.609648,0.230458
Al,1.80,0.841478,0.000000,0.149688,0.288411,0.249578,0.659498,0.730289,0.554953,0.614523,0.217914
Al,1.81,0.842928,0.000000,0.148783,0.285063,0.253192,0.668708,0.728253,0.563672,0.613865,0.196734
Al,1.82,0.843670,0.000000,0.147873,0.281714,0.256756,0.676724,0.726200,0.570932,0.612673,0.174001
Al,1.83,0.844252,0.000000,0.147030,0.278365,0.260083,0.683503,0.724028,0.577049,0.611262,0.150377
