reflector,n_sub,eta_sub,spp,wg,abs,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,tail
Al,1.30,0.264561,0.084585,0.631066,0.019788,0.127509,0.579154,0.628567,0.916250,0.915201,0.242404,0.242126,0.000000
Al,1.35,0.284534,0.084474,0.608445,0.022546,0.128586,0.534730,0.572283,0.896525,0.899375,0.255092,0.255903,0.000000
Al,1.40,0.316716,0.084387,0.571005,0.027892,0.133455,0.495033,0.504621,0.856164,0.880178,0.271161,0.278767,0.000000
Al,1.45,0.371693,0.084325,0.503920,0.040062,0.144084,0.459461,0.425772,0.782561,0.855059,0.290872,0.317819,0.000000
Al,1.50,0.396981,0.084296,0.479726,0.038997,0.142582,0.427376,0.398137,0.781984,0.839603,0.310433,0.333306,0.000000
Al,1.55,0.425557,0.084305,0.449049,0.041089,0.140260,0.398513,0.373280,0.777450,0.825288,0.330849,0.351207,0.000000
Al,1.60,0.542357,0.084362,0.315086,0.058195,0.144663,0.372248,0.298837,0.679673,0.803886,0.368625,0.435993,0.000000
Al,1.65,0.595180,0.084493,0.270250,0.050076,0.141973,0.348340,0.285908,0.700986,0.790141,0.417213,0.470276,0.000000
Al,1.70,0.646443,0.084731,0.217576,0.051249,0.140390,0.326601,0.279901,0.710217,0.775518,0.459115,0.501328,0.000000
Al,1.75,0.727840,0.085176,0.129528,0.057456,0.144811,0.306651,0.266285,0.689263,0.753340,0.501673,0.548311,0.000000
Al,1.80,0.841478,0.086749,0.000000,0.071772,0.149688,0.288411,0.249578,0.659498,0.730289,0.554953,0.614523,0.000000
Al,1.85,0.828731,0.101329,0.000000,0.069940,0.145816,0.271668,0.265706,0.693543,0.718946,0.574761,0.595813,0.000000
Al,1.90,0.829345,0.100145,0.000000,0.070510,0.142967,0.256256,0.274334,0.705654,0.706744,0.585230,0.586135,0.000000
Al,1.95,0.830482,0.098389,0.000000,0.071129,0.135960,0.242074,0.277875,0.713441,0.701417,0.592501,0.582515,0.000000
Al,2.00,0.831483,0.096794,0.000000,0.071722,0.129128,0.228899,0.273300,0.713407,0.696864,0.593186,0.579431,0.000000
Ag,1.30,0.313559,0.027896,0.654396,0.004149,0.024591,0.579154,0.627862,0.981425,0.982445,0.307735,0.308055,0.000000
Ag,1.35,0.330255,0.027798,0.637555,0.004392,0.024157,0.534730,0.583562,0.979829,0.979414,0.323594,0.323457,0.000000
Ag,1.40,0.353833,0.027705,0.613588,0.004874,0.024146,0.495033,0.531137,0.974759,0.975961,0.344902,0.345327,0.000000
Ag,1.45,0.396883,0.027617,0.569370,0.006130,0.025240,0.459461,0.463381,0.957159,0.971162,0.379880,0.385438,0.000000
Ag,1.50,0.474062,0.027535,0.489549,0.008855,0.027550,0.427376,0.383951,0.911254,0.964401,0.431991,0.457185,0.000000
Ag,1.55,0.498066,0.027459,0.466273,0.008202,0.026935,0.398513,0.365407,0.931971,0.960934,0.464183,0.478609,0.000000
Ag,1.60,0.584970,0.027391,0.375399,0.012241,0.028620,0.372248,0.314605,0.889701,0.953958,0.520448,0.558037,0.000000
Ag,1.65,0.664357,0.027334,0.297092,0.011217,0.028423,0.348340,0.287175,0.902596,0.949512,0.599646,0.630815,0.000001
Ag,1.70,0.718771,0.027296,0.242785,0.011148,0.027354,0.326601,0.279479,0.921121,0.946612,0.662076,0.680397,0.000001
Ag,1.75,0.812313,0.027304,0.147882,0.012501,0.027116,0.306651,0.263627,0.917007,0.942232,0.744897,0.765387,0.000000
Ag,1.80,0.956185,0.027927,0.000000,0.015887,0.030967,0.288411,0.243298,0.875528,0.929019,0.837167,0.888314,0.000000
Ag,1.85,0.938830,0.047856,0.000000,0.013315,0.029761,0.271668,0.260890,0.906855,0.926107,0.851382,0.869456,0.000000
Ag,1.90,0.939436,0.047614,0.000000,0.012950,0.028534,0.256256,0.272403,0.918532,0.923517,0.862902,0.867586,0.000000
Ag,1.95,0.940946,0.046277,0.000000,0.012777,0.027380,0.242074,0.277346,0.923052,0.921043,0.868542,0.866651,0.000000
Ag,2.00,0.942373,0.044946,0.000000,0.012680,0.026305,0.228899,0.273479,0.923548,0.918599,0.870327,0.865663,0.000000
