sweep,value,eta_sub,spp,wg,abs,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,tail
ITO_k,0.0000,0.966131,0.027057,0.000000,0.006812,0.016640,0.288411,0.242259,0.946037,0.960563,0.913996,0.928030,0.000002
ITO_k,0.0050,0.950922,0.028401,0.000000,0.020677,0.038568,0.288411,0.243835,0.852448,0.913110,0.810611,0.868297,0.000000
ITO_k,0.0100,0.936727,0.029712,0.000000,0.033561,0.059127,0.288411,0.245238,0.805271,0.872690,0.754319,0.817472,0.000000
ITO_k,0.0150,0.923391,0.030962,0.000000,0.045646,0.078515,0.288411,0.246494,0.770683,0.837718,0.711642,0.773542,0.000000
ITO_k,0.0200,0.910787,0.032136,0.000000,0.057076,0.096887,0.288411,0.247628,0.742609,0.807072,0.676359,0.735070,0.000000
ITO_k,0.0250,0.898813,0.033227,0.000000,0.067960,0.114366,0.288411,0.248657,0.718708,0.779926,0.645984,0.701008,0.000000
ITO_k,0.0300,0.887386,0.034234,0.000000,0.078380,0.131049,0.288411,0.249597,0.697796,0.755667,0.619214,0.670568,0.000000
ITO_k,0.0350,0.876441,0.035159,0.000000,0.088400,0.147017,0.288411,0.250460,0.679171,0.733820,0.595254,0.643150,0.000000
ITO_k,0.0400,0.865924,0.036007,0.000000,0.098069,0.162336,0.288411,0.251258,0.662379,0.714017,0.573570,0.618284,0.000000
ITO_k,0.0450,0.855790,0.036785,0.000000,0.107425,0.177061,0.288411,0.251997,0.647099,0.695963,0.553781,0.595598,0.000000
ITO_k,0.0500,0.846002,0.037499,0.000000,0.116499,0.191239,0.288411,0.252685,0.633097,0.679422,0.535601,0.574793,0.000000
ITO_k,0.0550,0.836529,0.038153,0.000000,0.125318,0.204911,0.288411,0.253328,0.620191,0.664200,0.518808,0.555623,0.000000
ITO_k,0.0600,0.827346,0.038753,0.000000,0.133901,0.218112,0.288411,0.253931,0.608241,0.650135,0.503226,0.537887,0.000000
ITO_k,0.0650,0.818429,0.039304,0.000000,0.142267,0.230873,0.288411,0.254498,0.597131,0.637094,0.488710,0.521416,0.000000
ITO_k,0.0700,0.809759,0.039811,0.000000,0.150431,0.243221,0.288411,0.255032,0.586768,0.624963,0.475140,0.506069,0.000000
ITO_k,0.0750,0.801318,0.040276,0.000000,0.158406,0.255181,0.288411,0.255536,0.577071,0.613647,0.462417,0.491726,0.000000
ITO_k,0.0800,0.793092,0.040705,0.000000,0.166203,0.266775,0.288411,0.256014,0.567975,0.603061,0.450456,0.478283,0.000000
Ag_n,0.0000,0.936217,0.047846,0.000000,0.015937,0.018127,0.288411,0.255694,0.948610,0.957191,0.888105,0.896139,0.000001
Ag_n,0.0250,0.918260,0.047926,0.000000,0.033814,0.037906,0.288411,0.257135,0.893965,0.914473,0.820893,0.839725,0.000001
Ag_n,0.0500,0.901270,0.047976,0.000000,0.050754,0.056992,0.288411,0.258496,0.847792,0.876719,0.764090,0.790161,0.000000
Ag_n,0.0750,0.885130,0.048025,0.000000,0.066845,0.075420,0.288411,0.259781,0.808240,0.843112,0.715397,0.746264,0.000000
Ag_n,0.1000,0.869762,0.048073,0.000000,0.082164,0.093223,0.288411,0.260992,0.773962,0.813004,0.673163,0.707120,0.000000
Ag_n,0.1250,0.855100,0.048121,0.000000,0.096779,0.110431,0.288411,0.262133,0.743954,0.785878,0.636155,0.672004,0.000000
Ag_n,0.1500,0.841085,0.048168,0.000000,0.110747,0.127072,0.288411,0.263209,0.717454,0.761312,0.603440,0.640328,0.000000
Ag_n,0.1750,0.827665,0.048213,0.000000,0.124122,0.143174,0.288411,0.264222,0.693871,0.738963,0.574293,0.611613,0.000000
Ag_n,0.2000,0.814794,0.048259,0.000000,0.136947,0.158760,0.288411,0.265176,0.672742,0.718544,0.548146,0.585465,0.000000
Ag_n,0.2250,0.802432,0.048303,0.000000,0.149264,0.173853,0.288411,0.266074,0.653697,0.699818,0.524547,0.561556,0.000000
Ag_n,0.2500,0.790543,0.048347,0.000000,0.161110,0.188476,0.288411,0.266919,0.636437,0.682584,0.503131,0.539612,0.000000
Ag_n,0.2750,0.779094,0.048390,0.000000,0.172516,0.202647,0.288411,0.267715,0.620719,0.666673,0.483599,0.519401,0.000000
Ag_n,0.3000,0.768056,0.048433,0.000000,0.183511,0.216386,0.288411,0.268464,0.606343,0.651940,0.465706,0.500726,0.000000
Ag_n,0.3250,0.757403,0.048475,0.000000,0.194122,0.229711,0.288411,0.269170,0.593143,0.638260,0.449248,0.483420,0.000000
Ag_n,0.3500,0.747111,0.048516,0.000000,0.204373,0.242638,0.288411,0.269833,0.580977,0.625526,0.434055,0.467338,0.000000
Ag_n,0.3750,0.737158,0.048557,0.000000,0.214285,0.255182,0.288411,0.270458,0.569729,0.613646,0.419981,0.452354,0.000000
Ag_n,0.4000,0.727525,0.048597,0.000000,0.223878,0.267359,0.288411,0.271046,0.559298,0.602537,0.406903,0.438361,0.000000
Ag_n,0.4250,0.718194,0.048636,0.000000,0.233169,0.279183,0.288411,0.271599,0.549597,0.592129,0.394717,0.425264,0.000000
Ag_n,0.4500,0.709148,0.048675,0.000000,0.242176,0.290666,0.288411,0.272120,0.540552,0.582359,0.383332,0.412979,0.000000
Ag_n,0.4750,0.700373,0.048714,0.000000,0.250913,0.301822,0.288411,0.272610,0.532100,0.573172,0.372669,0.401434,0.000000
Ag_n,0.5000,0.691854,0.048752,0.000000,0.259394,0.312662,0.288411,0.273070,0.524184,0.564518,0.362659,0.390564,0.000000
