device,Theta,eta_sub,spp,wg,abs,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,tail
reference,0.50,0.424681,0.392012,0.148179,0.035129,0.148805,0.427376,0.370920,0.738022,0.833765,0.313424,0.354084,0.000000
reference,0.55,0.460084,0.351922,0.151713,0.036281,0.148805,0.427376,0.370600,0.737701,0.833765,0.339404,0.383602,0.000000
reference,0.60,0.494631,0.312801,0.155162,0.037406,0.148805,0.427376,0.370332,0.737431,0.833765,0.364756,0.412406,0.000000
reference,0.65,0.528354,0.274615,0.158528,0.038504,0.148805,0.427376,0.370104,0.737202,0.833765,0.389503,0.440523,0.000000
reference,0.70,0.561280,0.237329,0.161815,0.039576,0.148805,0.427376,0.369908,0.737005,0.833765,0.413666,0.467976,0.000000
reference,0.75,0.593439,0.200913,0.165025,0.040623,0.148805,0.427376,0.369737,0.736833,0.833765,0.437265,0.494789,0.000000
reference,0.80,0.624856,0.165337,0.168162,0.041646,0.148805,0.427376,0.369588,0.736683,0.833765,0.460321,0.520983,0.000000
reference,0.85,0.655557,0.130571,0.171226,0.042645,0.148805,0.427376,0.369455,0.736549,0.833765,0.482850,0.546581,0.000000
reference,0.90,0.685567,0.096589,0.174222,0.043622,0.148805,0.427376,0.369337,0.736431,0.833765,0.504872,0.571602,0.000000
reference,0.95,0.714907,0.063364,0.177151,0.044577,0.148805,0.427376,0.369231,0.736325,0.833765,0.526404,0.596065,0.000000
reference,1.00,0.743602,0.030871,0.180016,0.045512,0.148805,0.427376,0.369136,0.736229,0.833765,0.547461,0.619989,0.000000
proposed,0.50,0.946148,0.037657,0.000000,0.016195,0.030967,0.288411,0.250127,0.878301,0.929019,0.831003,0.878989,0.000000
proposed,0.55,0.949152,0.034745,0.000000,0.016103,0.030967,0.288411,0.248068,0.877465,0.929019,0.832848,0.881780,0.000000
proposed,0.60,0.952162,0.031827,0.000000,0.016011,0.030967,0.288411,0.246018,0.876632,0.929019,0.834696,0.884577,0.000000
proposed,0.65,0.955179,0.028903,0.000000,0.015918,0.030967,0.288411,0.243977,0.875803,0.929019,0.836548,0.887379,0.000000
proposed,0.70,0.958201,0.025974,0.000000,0.015825,0.030967,0.288411,0.241944,0.874978,0.929019,0.838404,0.890187,0.000000
proposed,0.75,0.961229,0.023038,0.000000,0.015733,0.030967,0.288411,0.239920,0.874156,0.929019,0.840264,0.893000,0.000000
proposed,0.80,0.964264,0.020097,0.000000,0.015640,0.030967,0.288411,0.237905,0.873338,0.929019,0.842128,0.895819,0.000000
proposed,0.85,0.967304,0.017150,0.000000,0.015546,0.030967,0.288411,0.235899,0.872523,0.929019,0.843995,0.898644,0.000000
proposed,0.90,0.970351,0.014197,0.000000,0.015453,0.030967,0.288411,0.233901,0.871711,0.929019,0.845866,0.901474,0.000000
proposed,0.95,0.973403,0.011237,0.000000,0.015359,0.030967,0.288411,0.231912,0.870904,0.929019,0.847741,0.904310,0.000000
proposed,1.00,0.976462,0.008272,0.000000,0.015265,0.030967,0.288411,0.229931,0.870099,0.929019,0.849619,0.907152,0.000000
