d_ETL_nm,k_ITO,Theta,eta_sub,spp,wg,abs,Aprime,p_cos_sin,p_Psub,eta_ext_series,eta_ext_closed,EQE_series,EQE_closed,tail
200,0.0032,0.667,0.952339,0.033503,0.000062,0.014096,0.029424,0.288411,0.269303,0.912067,0.932316,0.868597,0.887881,0.000000
200,0.0032,0.800,0.962929,0.022878,0.000072,0.014121,0.029424,0.288411,0.257104,0.908308,0.932316,0.874636,0.897754,0.000000
200,0.0032,0.900,0.970457,0.015325,0.000080,0.014138,0.029424,0.288411,0.248547,0.905671,0.932316,0.878915,0.904772,0.000000
200,0.0020,0.667,0.954833,0.033498,0.000044,0.011625,0.024096,0.288411,0.269180,0.929108,0.943885,0.887143,0.901253,0.000000
200,0.0020,0.800,0.965516,0.022869,0.000052,0.011563,0.024096,0.288411,0.256976,0.926243,0.943885,0.894302,0.911336,0.000000
200,0.0020,0.900,0.973111,0.015314,0.000057,0.011519,0.024096,0.288411,0.248417,0.924233,0.943885,0.899381,0.918504,0.000000
300,0.0032,0.667,0.962986,0.020925,0.000088,0.016001,0.028930,0.288411,0.278519,0.907432,0.933376,0.873845,0.898829,0.000000
300,0.0032,0.800,0.969566,0.013945,0.000104,0.016385,0.028930,0.288411,0.268222,0.902924,0.933376,0.875444,0.904969,0.000000
300,0.0032,0.900,0.974371,0.008847,0.000115,0.016666,0.028930,0.288411,0.260709,0.899635,0.933376,0.876578,0.909455,0.000000
300,0.0020,0.667,0.965882,0.020925,0.000059,0.013134,0.023604,0.288411,0.278298,0.927012,0.944968,0.895384,0.912728,0.000001
300,0.0020,0.800,0.972601,0.013938,0.000070,0.013391,0.023604,0.288411,0.267982,0.923622,0.944968,0.898315,0.919077,0.000001
300,0.0020,0.900,0.977508,0.008835,0.000078,0.013579,0.023604,0.288411,0.260457,0.921149,0.944968,0.900431,0.923714,0.000001
