ETL,d_ETL,Theta,eta_sub,spp,wg,abs,Aprime_Psub,eta_ext,EQE
B3PyMPM,50.0,0.667,(0.6364675855016926+0j),(0.35441528624428253+0j),(3.4529305119398274e-05+0j),(0.009082598948905484+0j),(0.03067450038131081+0j),0.9246311834296088,(0.5884977767970158+0j)
B3PyMPM,50.0,0.8,(0.7453378443357024+0j),(0.24536526303196973+0j),(4.10254903185619e-05+0j),(0.009255867142009216+0j),(0.030509074945099912+0j),0.9263501240676059,(0.6904438045726599+0j)
B3PyMPM,75.0,0.667,(0.7450982532124902+0j),(0.24391314778743045+0j),(4.018255926704329e-05+0j),(0.010948416440812464+0j),(0.030322131314913348+0j),0.9283282660702666,(0.6916957694567355+0j)
B3PyMPM,75.0,0.8,(0.8300435052194178+0j),(0.15917814187643606+0j),(4.533602837427739e-05+0j),(0.010733016875771802+0j),(0.03030098366107037+0j),0.9288810574192048,(0.7710116888321561+0j)
B3PyMPM,100.0,0.667,(0.8074239591076511+0j),(0.1792620053283713+0j),(5.0708011909417744e-05+0j),(0.013263327552068285+0j),(0.03117408100759389+0j),0.9266435253804907,(0.7481941839441869+0j)
B3PyMPM,100.0,0.8,(0.8704312882782075+0j),(0.11654710877483097+0j),(5.7276090348642533e-05+0j),(0.012964326856612803+0j),(0.031323892322999924+0j),0.9262750337121207,(0.8062587708939813+0j)
B3PyMPM,125.0,0.667,(0.8553112660039909+0j),(0.1290407735063383+0j),(6.360948925687719e-05+0j),(0.015584351000413882+0j),(0.0318624293957378+0j),0.9203409165570281,(0.7871779544956651+0j)
B3PyMPM,125.0,0.8,(0.8978043265072111+0j),(0.08652116349829661+0j),(7.434013383173951e-05+0j),(0.015600169860660502+0j),(0.03229561127264635+0j),0.9183824761258303,(0.824527760454176+0j)
B3PyMPM,150.0,0.667,(0.9031699646210606+0j),(0.08043148875961077+0j),(6.990393614377637e-05+0j),(0.016328642683184784+0j),(0.03179336139461397+0j),0.9137494739791419,(0.8252710800862543+0j)
B3PyMPM,150.0,0.8,(0.9279799392007821+0j),(0.055249458612090366+0j),(8.387923036152998e-05+0j),(0.01668672295676582+0j),(0.032370612041213276+0j),0.9098627857157898,(0.844334412569593+0j)
B3PyMPM,175.0,0.667,(0.9413070180503902+0j),(0.043319108911479255+0j),(6.688622077524869e-05+0j),(0.015306986817355291+0j),(0.03121421648624212+0j),0.9110797168725748,(0.8576057314955172+0j)
B3PyMPM,175.0,0.8,(0.9549127315168084+0j),(0.029453242383638712+0j),(7.955284096232349e-05+0j),(0.015554473258590495+0j),(0.03166861425363432+0j),0.9067312637132546,(0.8658492277841116+0j)
B3PyMPM,200.0,0.667,(0.963004263495282+0j),(0.022778561448058395+0j),(6.269094962543826e-05+0j),(0.014154484107034218+0j),(0.030255523475748114+0j),0.911680896825451,(0.8779525905901115+0j)
B3PyMPM,200.0,0.8,(0.9706092702397698+0j),(0.015136579271638926+0j),(7.29361879918777e-05+0j),(0.014181214300599402+0j),(0.030502430437116868+0j),0.9079018918289946,(0.8812179926774469+0j)
B3PyMPM,225.0,0.667,(0.97317286660242+0j),(0.012918149171387037+0j),(6.331394989960011e-05+0j),(0.013845670276293472+0j),(0.029728331073855863+0j),0.9123056967818305,(0.8878311501548921+0j)
B3PyMPM,225.0,0.8,(0.9776642052018207+0j),(0.008475229168247417+0j),(7.275284436039874e-05+0j),(0.013787812785571469+0j),(0.029896887978292597+0j),0.9088971056179637,(0.8885961663742218+0j)
B3PyMPM,250.0,0.667,(0.9774103264842223+0j),(0.008067407893247558+0j),(7.003724437103516e-05+0j),(0.014452228378159076+0j),(0.030029071198297452+0j),0.9108570728863247,(0.8902811089902857+0j)
