d_organic_nm,n_substrate,EQE_air,EQE_sub_confined,EQE_wg,EQE_spp,EQE_abs,eta_sub_total,Purcell_factor
10.0,1.50,0.034926,0.046609,0.004727,0.912032,0.001707,0.081535,3.393097
12.0,1.50,0.037290,0.049248,0.004542,0.907154,0.001766,0.086538,3.316560
14.0,1.50,0.039687,0.052052,0.004377,0.902058,0.001826,0.091739,3.243303
16.0,1.50,0.042109,0.055024,0.004230,0.896751,0.001887,0.097132,3.173024
18.0,1.50,0.044545,0.058166,0.004097,0.891240,0.001951,0.102712,3.105487
20.0,1.50,0.046989,0.061480,0.003979,0.885536,0.002016,0.108469,3.040503
22.0,1.50,0.049431,0.064965,0.003874,0.879648,0.002082,0.114396,2.977915
24.0,1.50,0.051865,0.068618,0.003780,0.873587,0.002151,0.120483,2.917591
26.0,1.50,0.054285,0.072436,0.003696,0.867361,0.002222,0.126721,2.859415
28.0,1.50,0.056687,0.076413,0.003623,0.860982,0.002295,0.133100,2.803283
30.0,1.50,0.059066,0.080545,0.003559,0.854458,0.002371,0.139611,2.749103
32.0,1.50,0.061421,0.084824,0.003504,0.847800,0.002451,0.146245,2.696791
34.0,1.50,0.063750,0.089242,0.003459,0.841016,0.002534,0.152992,2.646266
36.0,1.50,0.066052,0.093791,0.003422,0.834114,0.002621,0.159843,2.597458
38.0,1.50,0.068329,0.098462,0.003394,0.827102,0.002713,0.166790,2.550297
40.0,1.50,0.070581,0.103243,0.003377,0.819987,0.002812,0.173824,2.504720
42.0,1.50,0.072811,0.108126,0.003370,0.812776,0.002918,0.180936,2.460668
44.0,1.50,0.075021,0.113096,0.003376,0.805474,0.003032,0.188117,2.418084
46.0,1.50,0.077214,0.118141,0.003398,0.798088,0.003159,0.195355,2.376914
48.0,1.50,0.079395,0.123243,0.003439,0.790622,0.003301,0.202638,2.337110
50.0,1.50,0.081566,0.128381,0.003508,0.783080,0.003465,0.209947,2.298625
52.0,1.50,0.083731,0.133520,0.003620,0.775467,0.003662,0.217252,2.261413
54.0,1.50,0.085896,0.138595,0.003812,0.767785,0.003912,0.224491,2.225434
56.0,1.50,0.088063,0.143426,0.004210,0.760036,0.004264,0.231489,2.190654
58.0,1.50,0.090241,0.147097,0.005763,0.752246,0.004652,0.237338,2.156968
60.0,1.50,0.092426,0.148331,0.010654,0.744365,0.004225,0.240757,2.124496
62.0,1.50,0.094628,0.148861,0.016104,0.736434,0.003973,0.243489,2.093086
64.0,1.50,0.096851,0.149273,0.021614,0.728450,0.003813,0.246124,2.062725
66.0,1.50,0.099099,0.149690,0.027096,0.720412,0.003703,0.248789,2.033389
68.0,1.50,0.101374,0.150158,0.032519,0.712322,0.003627,0.251532,2.005052
70.0,1.50,0.103682,0.150695,0.037870,0.704181,0.003572,0.254377,1.977688
72.0,1.50,0.106026,0.151311,0.043138,0.695990,0.003535,0.257337,1.951272
74.0,1.50,0.108409,0.152009,0.048320,0.687751,0.003511,0.260418,1.925780
76.0,1.50,0.110835,0.152792,0.053411,0.679465,0.003497,0.263627,1.901190
78.0,1.50,0.113308,0.153658,0.058409,0.671133,0.003492,0.266966,1.877480
80.0,1.50,0.115830,0.154607,0.063312,0.662756,0.003495,0.270437,1.854630
82.0,1.50,0.118403,0.155638,0.068117,0.654337,0.003505,0.274042,1.832620
84.0,1.50,0.121031,0.156749,0.072823,0.645876,0.003521,0.277780,1.811432
86.0,1.50,0.123716,0.157937,0.077430,0.637375,0.003542,0.281653,1.791047
88.0,1.50,0.126460,0.159201,0.081935,0.628837,0.003568,0.285661,1.771449
90.0,1.50,0.129264,0.160538,0.086337,0.620263,0.003598,0.289802,1.752620
92.0,1.50,0.132130,0.161945,0.090636,0.611655,0.003633,0.294075,1.734544
94.0,1.50,0.135059,0.163421,0.094830,0.603017,0.003672,0.298480,1.717204
96.0,1.50,0.138051,0.164963,0.098919,0.594351,0.003715,0.303015,1.700585
98.0,1.50,0.141106,0.166570,0.102902,0.585660,0.003762,0.307676,1.684671
100.0,1.50,0.144224,0.168238,0.106778,0.576948,0.003812,0.312462,1.669445
102.0,1.50,0.147404,0.169965,0.110546,0.568219,0.003866,0.317369,1.654891
104.0,1.50,0.150643,0.171750,0.114206,0.559477,0.003923,0.322393,1.640992
106.0,1.50,0.153940,0.173591,0.117758,0.550728,0.003984,0.327530,1.627732
108.0,1.50,0.157290,0.175485,0.121202,0.541975,0.004047,0.332775,1.615091
110.0,1.50,0.160689,0.177431,0.124539,0.533226,0.004114,0.338121,1.603050
112.0,1.50,0.164133,0.179429,0.127767,0.524487,0.004185,0.343561,1.591591
114.0,1.50,0.167614,0.181475,0.130889,0.515763,0.004258,0.349089,1.580690
116.0,1.50,0.171126,0.183570,0.133906,0.507063,0.004335,0.354696,1.570325
118.0,1.50,0.174658,0.185713,0.136819,0.498395,0.004415,0.360372,1.560471
