d_organic_nm,wg_N1000,spp_N1000,sub_N1000,wg_N3000,spp_N3000,sub_N3000,wg_quad,spp_quad,sub_quad
10.0,0.004672,0.912076,0.046618,0.004709,0.912049,0.046613,0.004727,0.912032,0.046609
12.0,0.004490,0.907195,0.049257,0.004526,0.907170,0.049252,0.004542,0.907154,0.049248
14.0,0.004328,0.902096,0.052061,0.004362,0.902073,0.052055,0.004377,0.902058,0.052052
16.0,0.004183,0.896785,0.055034,0.004215,0.896765,0.055028,0.004230,0.896751,0.055024
18.0,0.004053,0.891272,0.058177,0.004084,0.891254,0.058170,0.004097,0.891240,0.058166
20.0,0.003937,0.885565,0.061491,0.003967,0.885549,0.061484,0.003979,0.885536,0.061480
22.0,0.003833,0.879675,0.064976,0.003862,0.879661,0.064969,0.003874,0.879648,0.064965
24.0,0.003740,0.873611,0.068630,0.003769,0.873598,0.068622,0.003780,0.873587,0.068618
26.0,0.003658,0.867384,0.072448,0.003686,0.867373,0.072440,0.003696,0.867361,0.072436
28.0,0.003586,0.861002,0.076427,0.003613,0.860993,0.076417,0.003623,0.860982,0.076413
30.0,0.003523,0.854476,0.080560,0.003550,0.854470,0.080549,0.003559,0.854458,0.080545
32.0,0.003469,0.847816,0.084840,0.003496,0.847811,0.084827,0.003504,0.847800,0.084824
34.0,0.003424,0.841029,0.089260,0.003451,0.841027,0.089245,0.003459,0.841016,0.089242
36.0,0.003388,0.834123,0.093812,0.003416,0.834126,0.093793,0.003422,0.834114,0.093791
38.0,0.003361,0.827108,0.098485,0.003389,0.827114,0.098463,0.003394,0.827102,0.098462
40.0,0.003343,0.819988,0.103271,0.003373,0.820001,0.103243,0.003377,0.819987,0.103243
42.0,0.003336,0.812771,0.108160,0.003369,0.812791,0.108123,0.003370,0.812776,0.108126
44.0,0.003341,0.805461,0.113139,0.003377,0.805492,0.113090,0.003376,0.805474,0.113096
46.0,0.003360,0.798061,0.118198,0.003403,0.798110,0.118129,0.003398,0.798088,0.118141
48.0,0.003396,0.790574,0.123324,0.003452,0.790651,0.123222,0.003439,0.790622,0.123243
50.0,0.003457,0.782994,0.128504,0.003537,0.783121,0.128341,0.003508,0.783080,0.128381
52.0,0.003553,0.775311,0.133725,0.003685,0.775531,0.133440,0.003620,0.775467,0.133520
