device,n_substrate,theta_horizontal,eta_sub,spp,wg,abs,Aprime,p_escape,eta_ext,EQE
reference,1.50,0.50,0.424681,0.392012,0.148178,0.035129,0.148808,0.380000,0.804640,0.341715
reference,1.50,0.51,0.431832,0.383915,0.148892,0.035361,0.148808,0.380000,0.804640,0.347469
reference,1.50,0.52,0.438947,0.375858,0.149603,0.035593,0.148808,0.380000,0.804640,0.353194
reference,1.50,0.53,0.446027,0.367840,0.150309,0.035823,0.148808,0.380000,0.804640,0.358891
reference,1.50,0.54,0.453073,0.359862,0.151013,0.036053,0.148808,0.380000,0.804640,0.364561
reference,1.50,0.55,0.460084,0.351922,0.151713,0.036281,0.148808,0.380000,0.804640,0.370202
reference,1.50,0.56,0.467061,0.344022,0.152409,0.036508,0.148808,0.380000,0.804640,0.375816
reference,1.50,0.57,0.474004,0.336160,0.153102,0.036734,0.148808,0.380000,0.804640,0.381403
reference,1.50,0.58,0.480913,0.328336,0.153792,0.036959,0.148808,0.380000,0.804640,0.386962
reference,1.50,0.59,0.487789,0.320550,0.154478,0.037183,0.148808,0.380000,0.804640,0.392494
reference,1.50,0.60,0.494631,0.312801,0.155161,0.037406,0.148808,0.380000,0.804640,0.398000
reference,1.50,0.61,0.501441,0.305090,0.155841,0.037628,0.148808,0.380000,0.804640,0.403479
reference,1.50,0.62,0.508218,0.297417,0.156518,0.037848,0.148808,0.380000,0.804640,0.408932
reference,1.50,0.63,0.514962,0.289779,0.157191,0.038068,0.148808,0.380000,0.804640,0.414359
reference,1.50,0.64,0.521674,0.282179,0.157861,0.038286,0.148808,0.380000,0.804640,0.419760
reference,1.50,0.65,0.528354,0.274615,0.158528,0.038504,0.148808,0.380000,0.804640,0.425135
reference,1.50,0.66,0.535002,0.267087,0.159191,0.038720,0.148808,0.380000,0.804640,0.430484
reference,1.50,0.67,0.541618,0.259594,0.159852,0.038936,0.148808,0.380000,0.804640,0.435808
reference,1.50,0.68,0.548203,0.252137,0.160509,0.039150,0.148808,0.380000,0.804640,0.441106
reference,1.50,0.69,0.554757,0.244716,0.161164,0.039363,0.148808,0.380000,0.804640,0.446380
reference,1.50,0.70,0.561280,0.237329,0.161815,0.039576,0.148808,0.380000,0.804640,0.451629
reference,1.50,0.71,0.567773,0.229977,0.162463,0.039787,0.148808,0.380000,0.804640,0.456853
reference,1.50,0.72,0.574234,0.222660,0.163108,0.039997,0.148808,0.380000,0.804640,0.462052
reference,1.50,0.73,0.580666,0.215377,0.163750,0.040207,0.148808,0.380000,0.804640,0.467227
reference,1.50,0.74,0.587067,0.208128,0.164389,0.040415,0.148808,0.380000,0.804640,0.472378
reference,1.50,0.75,0.593439,0.200913,0.165025,0.040623,0.148808,0.380000,0.804640,0.477505
reference,1.50,0.76,0.599781,0.193732,0.165658,0.040829,0.148808,0.380000,0.804640,0.482608
reference,1.50,0.77,0.606093,0.186584,0.166288,0.041035,0.148808,0.380000,0.804640,0.487687
reference,1.50,0.78,0.612377,0.179468,0.166916,0.041239,0.148808,0.380000,0.804640,0.492743
reference,1.50,0.79,0.618631,0.172386,0.167540,0.041443,0.148808,0.380000,0.804640,0.497775
reference,1.50,0.80,0.624856,0.165337,0.168161,0.041646,0.148808,0.380000,0.804640,0.502784
reference,1.50,0.81,0.631053,0.158320,0.168780,0.041847,0.148808,0.380000,0.804640,0.507771
reference,1.50,0.82,0.637221,0.151335,0.169396,0.042048,0.148808,0.380000,0.804640,0.512734
reference,1.50,0.83,0.643361,0.144382,0.170009,0.042248,0.148808,0.380000,0.804640,0.517674
reference,1.50,0.84,0.649473,0.137461,0.170619,0.042447,0.148808,0.380000,0.804640,0.522592
reference,1.50,0.85,0.655558,0.130571,0.171226,0.042645,0.148808,0.380000,0.804640,0.527488
