series,n_o,n_e,n_SPP_Ag,d_ETL_nm,eta_sub,spp,abs,wg
n_o=1.70,1.7000,1.3600,1.5076,60.0,0.973745,0.004094,0.022160,0.000000
n_o=1.70,1.7000,1.3600,1.5076,100.0,0.977569,0.001704,0.020727,0.000000
n_o=1.70,1.7000,1.3600,1.5076,150.0,0.973337,0.001807,0.024855,0.000000
n_o=1.70,1.7000,1.3800,1.5304,60.0,0.971207,0.005013,0.023780,0.000000
n_o=1.70,1.7000,1.3800,1.5304,100.0,0.976597,0.001822,0.021582,0.000000
n_o=1.70,1.7000,1.3800,1.5304,150.0,0.972420,0.001835,0.025744,0.000000
n_o=1.70,1.7000,1.4000,1.5532,60.0,0.967381,0.006571,0.026048,0.000000
n_o=1.70,1.7000,1.4000,1.5532,100.0,0.975460,0.001981,0.022560,0.000000
n_o=1.70,1.7000,1.4000,1.5532,150.0,0.971399,0.001874,0.026727,0.000000
n_o=1.70,1.7000,1.4200,1.5760,60.0,0.960277,0.010031,0.029692,0.000000
n_o=1.70,1.7000,1.4200,1.5760,100.0,0.974096,0.002202,0.023702,0.000000
n_o=1.70,1.7000,1.4200,1.5760,150.0,0.970248,0.001926,0.027826,0.000000
n_o=1.70,1.7000,1.4400,1.5988,60.0,0.936019,0.030830,0.033151,0.000000
n_o=1.70,1.7000,1.4400,1.5988,100.0,0.972399,0.002523,0.025077,0.000000
n_o=1.70,1.7000,1.4400,1.5988,150.0,0.968928,0.002000,0.029072,0.000000
n_o=1.70,1.7000,1.4600,1.6217,60.0,0.879741,0.094674,0.025585,0.000000
n_o=1.70,1.7000,1.4600,1.6217,100.0,0.970177,0.003020,0.026803,0.000000
n_o=1.70,1.7000,1.4600,1.6217,150.0,0.967376,0.002109,0.030515,0.000000
n_o=1.70,1.7000,1.4800,1.6446,60.0,0.831768,0.147236,0.020996,0.000000
n_o=1.70,1.7000,1.4800,1.6446,100.0,0.967019,0.003867,0.029114,0.000000
n_o=1.70,1.7000,1.4800,1.6446,150.0,0.965495,0.002274,0.032232,0.000000
n_o=1.70,1.7000,1.5000,1.6675,60.0,0.794990,0.186947,0.018064,0.000000
n_o=1.70,1.7000,1.5000,1.6675,100.0,0.961837,0.005596,0.032567,0.000000
n_o=1.70,1.7000,1.5000,1.6675,150.0,0.963103,0.002541,0.034356,0.000000
n_o=1.70,1.7000,1.5200,1.6904,60.0,0.766305,0.217670,0.016025,0.000000
n_o=1.70,1.7000,1.5200,1.6904,100.0,0.949938,0.011211,0.038851,0.000000
n_o=1.70,1.7000,1.5200,1.6904,150.0,0.959839,0.003017,0.037144,0.000000
n_o=1.70,1.7000,1.5400,1.7134,60.0,0.743140,0.242336,0.014524,0.000000
n_o=1.70,1.7000,1.5400,1.7134,100.0,0.895228,0.070033,0.034739,0.000000
