series,n_o,n_e,d_ETL_nm,n_eff,TM,TE
n_e=1.80,1.8000,1.8000,60,1.00000,1.697982e-01,2.440381e-01
n_e=1.80,1.8000,1.8000,60,1.00050,1.697982e-01,2.440381e-01
n_e=1.80,1.8000,1.8000,60,1.00100,1.697982e-01,2.440381e-01
n_e=1.80,1.8000,1.8000,60,1.00150,1.697982e-01,2.440381e-01
n_e=1.80,1.8000,1.8000,60,1.00200,1.697982e-01,2.440381e-01
n_e=1.80,1.8000,1.8000,60,1.00250,1.698470e-01,2.441867e-01
n_e=1.80,1.8000,1.8000,60,1.00300,1.698957e-01,2.443352e-01
n_e=1.80,1.8000,1.8000,60,1.00350,1.699443e-01,2.444838e-01
n_e=1.80,1.8000,1.8000,60,1.00400,1.699928e-01,2.446323e-01
n_e=1.80,1.8000,1.8000,60,1.00450,1.700413e-01,2.447809e-01
n_e=1.80,1.8000,1.8000,60,1.00500,1.700898e-01,2.449295e-01
n_e=1.80,1.8000,1.8000,60,1.00550,1.701381e-01,2.450780e-01
n_e=1.80,1.8000,1.8000,60,1.00600,1.701864e-01,2.452265e-01
n_e=1.80,1.8000,1.8000,60,1.00650,1.702346e-01,2.453751e-01
n_e=1.80,1.8000,1.8000,60,1.00700,1.702828e-01,2.455236e-01
n_e=1.80,1.8000,1.8000,60,1.00750,1.703309e-01,2.456721e-01
n_e=1.80,1.8000,1.8000,60,1.00800,1.703789e-01,2.458206e-01
n_e=1.80,1.8000,1.8000,60,1.00850,1.704269e-01,2.459691e-01
n_e=1.80,1.8000,1.8000,60,1.00900,1.704748e-01,2.461176e-01
n_e=1.80,1.8000,1.8000,60,1.00950,1.705227e-01,2.462661e-01
n_e=1.80,1.8000,1.8000,60,1.01000,1.705705e-01,2.464146e-01
n_e=1.80,1.8000,1.8000,60,1.01050,1.706182e-01,2.465631e-01
n_e=1.80,1.8000,1.8000,60,1.01100,1.706659e-01,2.467116e-01
n_e=1.80,1.8000,1.8000,60,1.01150,1.707135e-01,2.468600e-01
n_e=1.80,1.8000,1.8000,60,1.01200,1.707611e-01,2.470085e-01
n_e=1.80,1.8000,1.8000,60,1.01250,1.708085e-01,2.471569e-01
n_e=1.80,1.8000,1.8000,60,1.01300,1.708560e-01,2.473054e-01
