series,n_o,n_e,n_SPP_Ag,d_SPP_below_10pct_nm,d_eta_sub_above_90pct_nm,max_eta_sub
no1.80,1.8000,1.4000,1.5713,48.0,50.0,0.9795
no1.80,1.8000,1.4200,1.5944,52.0,54.0,0.9795
no1.80,1.8000,1.4400,1.6176,56.0,60.0,0.9794
no1.80,1.8000,1.4600,1.6408,62.0,66.0,0.9793
no1.80,1.8000,1.4800,1.6641,68.0,72.0,0.9792
no1.80,1.8000,1.5000,1.6873,78.0,82.0,0.9790
no1.80,1.8000,1.5200,1.7106,88.0,94.0,0.9789
no1.80,1.8000,1.5400,1.7340,102.0,112.0,0.9787
no1.80,1.8000,1.5600,1.7574,122.0,136.0,0.9785
no1.80,1.8000,1.5800,1.7808,146.0,166.0,0.9781
no1.80,1.8000,1.6000,1.8042,156.0,172.0,0.9781
no1.80,1.8000,1.6200,1.8277,156.0,168.0,0.9784
no1.80,1.8000,1.6400,1.8512,154.0,166.0,0.9784
no1.80,1.8000,1.6600,1.8748,154.0,164.0,0.9783
no1.80,1.8000,1.6800,1.8984,152.0,162.0,0.9782
no1.80,1.8000,1.7000,1.9220,152.0,162.0,0.9780
no1.80,1.8000,1.7200,1.9457,152.0,160.0,0.9777
no1.80,1.8000,1.7400,1.9694,152.0,160.0,0.9774
no1.80,1.8000,1.7600,1.9931,152.0,160.0,0.9769
no1.80,1.8000,1.7800,2.0169,152.0,160.0,0.9762
no1.80,1.8000,1.8000,2.0408,152.0,160.0,0.9750
B3PyMPM,1.8205,1.6086,1.8190,154.0,166.0,0.9670
B4PyMPM,1.8245,1.5600,1.7627,126.0,142.0,0.9666
TPBi,1.7391,1.7138,1.9236,160.0,168.0,0.9825
TCTA,1.8038,1.7141,1.9396,152.0,160.0,0.9767
