d_ETL_nm,d_HTL_nm,air,sub_confined,wg,spp,abs,eta_sub,Purcell,sum_of_channels
10,10,0.094142,0.145333,0.002297,0.754157,0.004071,0.239475,3.522013,1.000000
10,20,0.090472,0.148568,0.002641,0.753968,0.004352,0.239039,3.392543,1.000000
10,30,0.087797,0.144157,0.009153,0.754624,0.004268,0.231955,3.294936,1.000000
10,40,0.086455,0.134058,0.020782,0.755058,0.003647,0.220512,3.223202,1.000000
10,50,0.086618,0.127989,0.027356,0.754542,0.003495,0.214608,3.173334,1.000000
10,60,0.088401,0.124917,0.030585,0.752576,0.003521,0.213318,3.142555,1.000000
10,70,0.091891,0.123930,0.031691,0.748841,0.003647,0.215821,3.128838,1.000000
10,80,0.097123,0.124385,0.031469,0.743182,0.003841,0.221508,3.130552,1.000000
10,90,0.103992,0.125827,0.030440,0.735659,0.004081,0.229820,3.145983,1.000000
10,100,0.112091,0.127950,0.028957,0.726652,0.004350,0.240042,3.172633,1.000000
10,110,0.120536,0.130595,0.027271,0.716968,0.004630,0.251131,3.206395,1.000000
10,120,0.127961,0.133742,0.025567,0.707817,0.004912,0.261703,3.241272,1.000000
10,130,0.132872,0.137443,0.023989,0.700488,0.005207,0.270315,3.270556,1.000000
10,140,0.134249,0.141621,0.022688,0.695847,0.005595,0.275870,3.289232,1.000000
10,150,0.131923,0.144543,0.023108,0.694051,0.006374,0.276466,3.295735,1.000000
10,160,0.126525,0.139775,0.033616,0.694741,0.005343,0.266299,3.291293,1.000000
10,170,0.119154,0.136626,0.042155,0.697223,0.004842,0.255780,3.279016,1.000000
10,180,0.111091,0.135219,0.048343,0.700834,0.004513,0.246310,3.261988,1.000000
10,190,0.103488,0.134566,0.052687,0.704982,0.004276,0.238054,3.242957,1.000000
10,200,0.097171,0.133964,0.055581,0.709179,0.004105,0.231135,3.224122,1.000000
10,210,0.092600,0.133074,0.057319,0.713021,0.003986,0.225674,3.207223,1.000000
10,220,0.089973,0.131820,0.058128,0.716167,0.003912,0.221793,3.193669,1.000000
10,230,0.089353,0.130262,0.058184,0.718322,0.003880,0.219614,3.184656,1.000000
10,240,0.090745,0.128508,0.057632,0.719230,0.003884,0.219254,3.181200,1.000000
10,250,0.094101,0.126677,0.056589,0.718711,0.003922,0.220778,3.184045,1.000000
10,260,0.099237,0.124885,0.055164,0.716730,0.003984,0.224122,3.193373,1.000000
10,270,0.105704,0.123266,0.053464,0.713506,0.004062,0.228969,3.208292,1.000000
10,280,0.112680,0.121981,0.051601,0.709599,0.004139,0.234660,3.226409,1.000000
10,290,0.119070,0.121212,0.049689,0.705825,0.004204,0.240282,3.244074,1.000000
10,300,0.123853,0.121119,0.047817,0.702962,0.004248,0.244972,3.257657,1.000000
10,310,0.126438,0.121797,0.046038,0.701456,0.004272,0.248235,3.264989,1.000000
10,320,0.126736,0.123274,0.044364,0.701343,0.004283,0.250010,3.265810,1.000000
10,330,0.124997,0.125526,0.042791,0.702395,0.004290,0.250523,3.261181,1.000000
10,340,0.121618,0.128494,0.041305,0.704277,0.004306,0.250112,3.252697,1.000000
10,350,0.117043,0.132068,0.039895,0.706652,0.004343,0.249110,3.241963,1.000000
10,360,0.111754,0.136042,0.038564,0.709220,0.004421,0.247796,3.230400,1.000000
10,370,0.106313,0.140009,0.037361,0.711716,0.004601,0.246322,3.219218,1.000000
10,380,0.101347,0.141388,0.038474,0.713912,0.004879,0.242734,3.209444,1.000000
