aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag,lens_shape
0.02,0.267532,0.270060,0.227249,0.324624,0.310401,cap
0.10,0.269280,0.388907,0.327257,0.674317,0.644772,cap
0.15,0.270897,0.475041,0.399737,0.778736,0.744616,cap
0.20,0.272682,0.542713,0.456681,0.834345,0.797788,cap
0.25,0.274359,0.590649,0.497019,0.865856,0.827919,cap
0.30,0.275978,0.622365,0.523707,0.884073,0.845338,cap
0.35,0.277609,0.641913,0.540156,0.894261,0.855079,cap
0.40,0.279087,0.653288,0.549727,0.899672,0.860253,cap
0.45,0.280436,0.660176,0.555524,0.902723,0.863171,cap
0.50,0.281869,0.664760,0.559381,0.904590,0.864956,cap
0.55,0.283096,0.667183,0.561420,0.905204,0.865543,cap
0.60,0.284205,0.667310,0.561527,0.904194,0.864577,cap
0.65,0.285190,0.665166,0.559722,0.901224,0.861737,cap
0.70,0.286052,0.661865,0.556945,0.896763,0.857471,cap
0.75,0.286687,0.658792,0.554359,0.891397,0.852340,cap
0.80,0.287285,0.656649,0.552556,0.885674,0.846868,cap
0.85,0.287752,0.656076,0.552074,0.880689,0.842102,cap
0.90,0.288078,0.656954,0.552812,0.877409,0.838966,cap
0.95,0.288138,0.658480,0.554097,0.876030,0.837647,cap
1.00,0.288424,0.659690,0.555115,0.875462,0.837104,cap
1.05,0.289090,0.660044,0.555412,0.874281,0.835975,ellipsoid
1.10,0.289453,0.659841,0.555242,0.873599,0.835323,ellipsoid
1.15,0.289852,0.658686,0.554270,0.872998,0.834748,ellipsoid
1.20,0.290285,0.656773,0.552660,0.872415,0.834191,ellipsoid
1.25,0.290691,0.654268,0.550553,0.871353,0.833175,ellipsoid
1.30,0.291170,0.651534,0.548252,0.870091,0.831968,ellipsoid
1.35,0.291510,0.648763,0.545920,0.868983,0.830909,ellipsoid
1.40,0.291913,0.646111,0.543689,0.867902,0.829875,ellipsoid
1.45,0.292271,0.643521,0.541509,0.866703,0.828728,ellipsoid
1.50,0.292603,0.641070,0.539447,0.865575,0.827650,ellipsoid
