aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag,lens_shape
1.05,0.286627,0.639706,0.538299,0.846513,0.809423,cap (overlapping)
1.10,0.284225,0.625902,0.526683,0.835100,0.798511,cap (overlapping)
1.15,0.281127,0.618585,0.520526,0.837627,0.800927,cap (overlapping)
1.20,0.277659,0.615314,0.517773,0.844983,0.807960,cap (overlapping)
1.30,0.270270,0.609893,0.513211,0.856440,0.818915,cap (overlapping)
1.40,0.263746,0.600923,0.505664,0.859481,0.821823,cap (overlapping)
1.50,0.257979,0.589670,0.496195,0.858262,0.820658,cap (overlapping)
0.20,0.273402,0.556390,0.468190,0.843160,0.806218,ellipsoid
0.40,0.278922,0.645303,0.543008,0.892060,0.852975,ellipsoid
0.60,0.282841,0.662750,0.557690,0.893800,0.854639,ellipsoid
0.80,0.286058,0.656563,0.552484,0.879956,0.841401,ellipsoid
0.90,0.287377,0.655932,0.551952,0.875271,0.836922,ellipsoid
