family,lens_shape,aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag
B,trunc,0.20,0.269649,0.331227,0.278720,0.557450,0.533025
B,trunc,0.30,0.271934,0.465952,0.392089,0.768558,0.734884
B,trunc,0.40,0.275385,0.569703,0.479393,0.852242,0.814901
B,trunc,0.50,0.279055,0.627847,0.528319,0.885160,0.846377
B,trunc,0.60,0.282958,0.656727,0.552622,0.898109,0.858758
B,trunc,0.70,0.285680,0.661769,0.556864,0.895793,0.856544
B,trunc,0.80,0.287192,0.659702,0.555125,0.886741,0.847889
B,trunc,0.90,0.288252,0.658414,0.554041,0.878349,0.839865
B,trunc,1.00,0.288471,0.659264,0.554756,0.875381,0.837027
B,bullet,1.10,0.288568,0.660732,0.555992,0.877617,0.839164
B,bullet,1.20,0.288313,0.661077,0.556282,0.878954,0.840443
B,bullet,1.30,0.288351,0.660776,0.556029,0.879197,0.840675
B,bullet,1.40,0.288220,0.659947,0.555331,0.878539,0.840046
B,bullet,1.50,0.288173,0.658836,0.554396,0.877654,0.839200
C,ellipsoid,0.20,0.273468,0.556448,0.468239,0.843194,0.806249
C,ellipsoid,0.30,0.276278,0.615214,0.517689,0.878419,0.839931
C,ellipsoid,0.40,0.279121,0.645550,0.543216,0.892236,0.853143
C,ellipsoid,0.50,0.281249,0.659345,0.554824,0.896058,0.856798
C,ellipsoid,0.60,0.283201,0.662872,0.557792,0.893910,0.854744
C,ellipsoid,0.70,0.284661,0.660286,0.555616,0.887580,0.848691
C,ellipsoid,0.80,0.286110,0.656734,0.552627,0.880195,0.841630
C,ellipsoid,0.90,0.287352,0.655493,0.551583,0.875060,0.836719
C,ellipsoid,1.00,0.288471,0.659264,0.554756,0.875381,0.837027
C,ellipsoid,1.10,0.289098,0.659358,0.554835,0.873405,0.835137
C,ellipsoid,1.20,0.290103,0.656777,0.552664,0.872448,0.834222
C,ellipsoid,1.30,0.290657,0.651103,0.547889,0.869844,0.831732
C,ellipsoid,1.40,0.291496,0.646014,0.543606,0.868078,0.830043
C,ellipsoid,1.50,0.292329,0.641090,0.539464,0.865825,0.827889
