family,lens_shape,aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag
A,cap,0.20,0.411326,0.730651,0.290055,0.916207,0.434339
A,cap,0.30,0.415518,0.778698,0.309128,0.941540,0.446349
A,cap,0.40,0.418880,0.797511,0.316597,0.949938,0.450330
A,cap,0.50,0.421514,0.801571,0.318209,0.950839,0.450757
A,cap,0.60,0.423948,0.797825,0.316721,0.947146,0.449006
A,cap,0.70,0.425988,0.791990,0.314405,0.939171,0.445225
A,cap,0.80,0.426914,0.790512,0.313819,0.929855,0.440809
A,cap,0.90,0.427400,0.787516,0.312629,0.921433,0.436817
A,cap,1.00,0.427444,0.781968,0.310427,0.911044,0.431892
A,ellipsoid,1.10,0.428204,0.781056,0.310065,0.911170,0.431951
A,ellipsoid,1.20,0.429010,0.778397,0.309009,0.909595,0.431205
A,ellipsoid,1.30,0.429717,0.775003,0.307662,0.906830,0.429894
A,ellipsoid,1.40,0.430130,0.772824,0.306796,0.905623,0.429322
A,ellipsoid,1.50,0.431187,0.771084,0.306106,0.904264,0.428678
B,trunc,0.20,0.406572,0.571166,0.226742,0.737818,0.349772
B,trunc,0.30,0.410085,0.670993,0.266372,0.871839,0.413306
B,trunc,0.40,0.414597,0.741767,0.294467,0.920697,0.436468
B,trunc,0.50,0.418939,0.776931,0.308427,0.937800,0.444576
B,trunc,0.60,0.422746,0.788790,0.313135,0.941193,0.446184
B,trunc,0.70,0.425681,0.791737,0.314305,0.937632,0.444496
B,trunc,0.80,0.426952,0.793122,0.314854,0.930786,0.441251
B,trunc,0.90,0.427380,0.788303,0.312941,0.922049,0.437109
B,trunc,1.00,0.427444,0.781968,0.310427,0.911044,0.431892
B,bullet,1.10,0.427501,0.783251,0.310936,0.913986,0.433286
B,bullet,1.20,0.427339,0.783623,0.311084,0.914409,0.433487
B,bullet,1.30,0.427451,0.784941,0.311607,0.914686,0.433618
B,bullet,1.40,0.427507,0.784857,0.311573,0.913600,0.433103
B,bullet,1.50,0.427587,0.784292,0.311349,0.912887,0.432765
