pitch_over_r,lens_shape,aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag
2.4,cap,0.20,0.271920,0.495646,0.417076,0.797042,0.762120
2.4,cap,0.30,0.274718,0.580185,0.488213,0.859671,0.822005
2.4,cap,0.40,0.277254,0.618675,0.520601,0.881544,0.842919
2.4,cap,0.50,0.279743,0.637096,0.536103,0.890129,0.851128
2.4,cap,0.60,0.282373,0.647498,0.544856,0.893004,0.853877
2.4,cap,0.70,0.284595,0.650398,0.547296,0.888647,0.849711
2.4,cap,0.80,0.286216,0.657157,0.552983,0.882548,0.843880
2.4,cap,0.90,0.287904,0.677234,0.569877,0.889419,0.850449
2.4,cap,1.00,0.289101,0.694735,0.584604,0.900324,0.860876
2.4,ellipsoid,1.10,0.289858,0.695257,0.585044,0.898498,0.859131
2.4,ellipsoid,1.20,0.290306,0.693434,0.583510,0.896597,0.857313
2.4,ellipsoid,1.30,0.290913,0.691851,0.582178,0.895679,0.856435
2.4,ellipsoid,1.40,0.291482,0.690294,0.580868,0.894973,0.855760
2.4,ellipsoid,1.50,0.292068,0.687812,0.578778,0.893231,0.854094
