reflector,aspect_ratio,p_cos_sin,p_Psub_weighted,eta_ext_series,EQE_series,EQE_closedform_p_cos_sin,EQE_closedform_p_Psub
Ag,0.10,0.269280,0.228120,0.674317,0.644772,0.882063,0.865496
Ag,0.15,0.270897,0.223612,0.778736,0.744616,0.882622,0.863358
Ag,0.20,0.272682,0.218405,0.834345,0.797788,0.883232,0.860792
Ag,0.25,0.274359,0.213322,0.865856,0.827919,0.883799,0.858181
Ag,0.30,0.275978,0.209235,0.884073,0.845338,0.884340,0.856003
Ag,0.35,0.277609,0.206690,0.894261,0.855079,0.884879,0.854609
Ag,0.40,0.279087,0.205621,0.899672,0.860253,0.885364,0.854015
Ag,0.45,0.280436,0.205933,0.902723,0.863171,0.885801,0.854188
Ag,0.50,0.281869,0.207704,0.904590,0.864956,0.886262,0.855168
Ag,0.55,0.283096,0.210599,0.905204,0.865543,0.886654,0.856738
Ag,0.60,0.284205,0.214252,0.904194,0.864577,0.887005,0.858667
Ag,0.65,0.285190,0.218311,0.901224,0.861737,0.887314,0.860744
Ag,0.70,0.286052,0.222723,0.896763,0.857471,0.887584,0.862927
Ag,0.75,0.286687,0.227349,0.891397,0.852340,0.887782,0.865136
Ag,0.80,0.287285,0.231917,0.885674,0.846868,0.887967,0.867241
Ag,0.85,0.287752,0.235993,0.880689,0.842102,0.888111,0.869059
Ag,0.90,0.288078,0.239378,0.877409,0.838966,0.888212,0.870527
Ag,0.95,0.288138,0.241815,0.876030,0.837647,0.888230,0.871562
Ag,1.00,0.288424,0.243617,0.875462,0.837104,0.888318,0.872315
Ag,1.05,0.289090,0.244867,0.874281,0.835975,0.888522,0.872832
Ag,1.10,0.289453,0.245205,0.873599,0.835323,0.888633,0.872970
Ag,1.15,0.289852,0.244578,0.872998,0.834748,0.888755,0.872712
Ag,1.20,0.290285,0.243169,0.872415,0.834191,0.888886,0.872128
Ag,1.25,0.290691,0.241388,0.871353,0.833175,0.889010,0.871381
Ag,1.30,0.291170,0.239610,0.870091,0.831968,0.889154,0.870626
Ag,1.35,0.291510,0.237737,0.868983,0.830909,0.889257,0.869820
Ag,1.40,0.291913,0.236048,0.867902,0.829875,0.889378,0.869083
Ag,1.45,0.292271,0.234462,0.866703,0.828728,0.889486,0.868383
Ag,1.50,0.292603,0.233042,0.865575,0.827650,0.889585,0.867749
Al,0.10,0.269280,0.224759,0.388907,0.327257,0.598409,0.554953
Al,0.15,0.270897,0.220125,0.475041,0.399737,0.599824,0.549869
Al,0.20,0.272682,0.215070,0.542713,0.456681,0.601375,0.544186
Al,0.25,0.274359,0.210421,0.590649,0.497019,0.602820,0.538827
Al,0.30,0.275978,0.206944,0.622365,0.523707,0.604205,0.534735
Al,0.35,0.277609,0.205115,0.641913,0.540156,0.605591,0.532552
Al,0.40,0.279087,0.204811,0.653288,0.549727,0.606838,0.532187
Al,0.45,0.280436,0.205908,0.660176,0.555524,0.607969,0.533501
Al,0.50,0.281869,0.208479,0.664760,0.559381,0.609164,0.536551
Al,0.55,0.283096,0.212165,0.667183,0.561420,0.610181,0.540852
Al,0.60,0.284205,0.216608,0.667310,0.561527,0.611095,0.545930
Al,0.65,0.285190,0.221462,0.665166,0.559722,0.611903,0.551348
Al,0.70,0.286052,0.226637,0.661865,0.556945,0.612608,0.556981
Al,0.75,0.286687,0.231945,0.658792,0.554359,0.613125,0.562610
Al,0.80,0.287285,0.237094,0.656649,0.552556,0.613611,0.567931
Al,0.85,0.287752,0.241622,0.656076,0.552074,0.613990,0.572502
Al,0.90,0.288078,0.245335,0.656954,0.552812,0.614254,0.576178
Al,0.95,0.288138,0.247980,0.658480,0.554097,0.614302,0.578757
Al,1.00,0.288424,0.249892,0.659690,0.555115,0.614533,0.580602
Al,1.05,0.289090,0.251644,0.660044,0.555412,0.615070,0.582277
Al,1.10,0.289453,0.252381,0.659841,0.555242,0.615362,0.582977
Al,1.15,0.289852,0.252114,0.658686,0.554270,0.615683,0.582724
Al,1.20,0.290285,0.250929,0.656773,0.552660,0.616030,0.581595
Al,1.25,0.290691,0.249209,0.654268,0.550553,0.616355,0.579944
Al,1.30,0.291170,0.247361,0.651534,0.548252,0.616737,0.578156
Al,1.35,0.291510,0.245325,0.648763,0.545920,0.617009,0.576168
Al,1.40,0.291913,0.243416,0.646111,0.543689,0.617330,0.574287
Al,1.45,0.292271,0.241603,0.643521,0.541509,0.617614,0.572483
Al,1.50,0.292603,0.239943,0.641070,0.539447,0.617878,0.570819
